M_genalis	C_calcarata	Orthogroup	C_australensis	D_melanogaster	A_mellifera	C_calcarata_locusID	M_genalis_locusID
XP_033342825.1	XP_017877577.1	OG0003724	Caust.v2_001326	FBgn0037578	XP_006570436.2	LOC108623527	LOC117229966
XP_033342827.1	XP_017879985.1	OG0003723	Caust.v2_001327	FBgn0036838	XP_006570432.1	LOC108624895	LOC117229967
XP_033342867.1	XP_017878502.1	OG0003475	Caust.v2_003099	FBgn0263005	XP_003250876.2	LOC108624047	LOC117229987
XP_033342917.1	XP_026668174.1	OG0003952	Caust.v2_001322	FBgn0263132	XP_026299383.1	LOC108623524	LOC117230007
XP_033342970.1	XP_017890494.1	OG0003671	Caust.v2_003812	FBgn0021796	XP_006566705.2	LOC108631239	LOC117230032
XP_033342991.1	XP_026299564.1	OG0003961	Caust.v2_001334	FBgn0027617	XP_017879929.1	NA	LOC117230042
XP_391818.3	XP_033323098.1	OG0004030	Caust.v2_015462	FBgn0005771	XP_017888953.1	NA	NA
XP_391880.2	XP_033342445.1	OG0004031	Caust.v2_001342	FBgn0024556	XP_017879975.1	NA	NA
XP_391940.2	XP_033325114.1	OG0004033	Caust.v2_011889	FBgn0027088	XP_017875339.1	NA	NA
XP_391963.3	XP_033332236.1	OG0004036	Caust.v2_000444	FBgn0034921	XP_026668087.1	NA	NA
XP_391996.4	XP_033330943.1	OG0004037	Caust.v2_004079	FBgn0020407	XP_017884469.1	NA	NA
XP_392262.4	XP_033341711.1	OG0004041	Caust.v2_001970	FBgn0033633	XP_017886108.1	NA	NA
XP_392371.3	XP_033339263.1	OG0004042	Caust.v2_008913	FBgn0031868	XP_017883576.1	NA	NA
XP_392754.3	XP_033330197.1	OG0004053	Caust.v2_002026	FBgn0039056	XP_017881331.1	NA	NA
XP_392800.3	XP_033334359.1	OG0004055	Caust.v2_000376	FBgn0033260	XP_017881237.1	NA	NA
XP_392810.3	XP_033323780.1	OG0004057	Caust.v2_012268	FBgn0038286	XP_026675593.1	NA	NA
XP_392814.2	XP_033322819.1	OG0004058	Caust.v2_006076	FBgn0015019	XP_017879695.1	NA	NA
XP_392830.2	XP_033328528.1	OG0004060	Caust.v2_004162	FBgn0027569	XP_017888232.1	NA	NA
XP_393000.3	XP_033333140.1	OG0004065	Caust.v2_003622	FBgn0261679	XP_017892408.1	NA	NA
XP_393037.2	XP_033334606.1	OG0004066	Caust.v2_001054	FBgn0030791	XP_017888334.1	NA	NA
XP_393072.2	XP_033321494.1	OG0004067	Caust.v2_008369	FBgn0011715	XP_026675119.1	NA	NA
XP_393174.1	XP_033321263.1	OG0004070	Caust.v2_001221	FBgn0004381	XP_017888036.1	NA	NA
XP_393194.2	XP_033339205.1	OG0004071	Caust.v2_002549	FBgn0086683	XP_017881870.1	NA	NA
XP_393397.5	XP_033329852.1	OG0004073	Caust.v2_002160	FBgn0011836	XP_026669886.1	NA	NA
XP_393450.3	XP_033339442.1	OG0004074	Caust.v2_011085	FBgn0004107	XP_017891612.1	NA	NA
XP_393469.2	XP_033338309.1	OG0004076	Caust.v2_006412	FBgn0020633	XP_017882557.1	NA	NA
XP_393553.4	XP_033321318.1	OG0004078	Caust.v2_003546	FBgn0033095	XP_017892522.1	NA	NA
XP_393743.4	XP_033334799.1	OG0004079	Caust.v2_001005	FBgn0259704	XP_026669434.1	NA	NA
XP_393796.4	XP_033335035.1	OG0004080	Caust.v2_003132	FBgn0040080	XP_017876279.1	NA	NA
XP_393867.2	XP_033330032.1	OG0004083	Caust.v2_015828	FBgn0031536	XP_017877548.1	NA	NA
XP_393868.4	XP_033330012.1	OG0004084	Caust.v2_015826	FBgn0037816	XP_017877601.1	NA	NA
XP_394416.4	XP_033326690.1	OG0004087	Caust.v2_007942	FBgn0002878	XP_017886285.1	NA	NA
XP_394434.2	XP_033321683.1	OG0004088	Caust.v2_002118	FBgn0023143	XP_017887348.1	NA	NA
XP_394443.5	XP_033322033.1	OG0004089	Caust.v2_002684	FBgn0020445	XP_017886853.1	NA	NA
XP_394516.2	XP_033337077.1	OG0004090	Caust.v2_014277	FBgn0038578	XP_017877795.1	NA	NA
XP_394517.4	XP_033324149.1	OG0004091	Caust.v2_004452	FBgn0038546	XP_017881728.1	NA	NA
XP_394546.3	XP_033324353.1	OG0004092	Caust.v2_004338	FBgn0032691	XP_026669058.1	NA	NA
XP_394547.4	XP_033323342.1	OG0004093	Caust.v2_004961	FBgn0034745	XP_017883097.1	NA	NA
XP_394574.3	XP_033328109.1	OG0004094	Caust.v2_006554	FBgn0035484	XP_017890174.1	NA	NA
XP_394692.3	XP_033328728.1	OG0004098	Caust.v2_010686	FBgn0024998	XP_017887973.1	NA	NA
XP_394711.4	XP_033326331.1	OG0004099	Caust.v2_012463	FBgn0037622	XP_026666629.1	NA	NA
XP_394746.4	XP_033337799.1	OG0004100	Caust.v2_010335	FBgn0040601	XP_017893080.1	NA	NA
XP_395210.2	XP_033324638.1	OG0004105	Caust.v2_002400	FBgn0022724	XP_017889467.1	NA	NA
XP_395236.2	XP_033334510.1	OG0004106	Caust.v2_001051	FBgn0001308	XP_026674503.1	NA	NA
XP_395256.3	XP_033326798.1	OG0004107	Caust.v2_002267	FBgn0250753	XP_017878298.1	NA	NA
XP_395373.3	XP_033341557.1	OG0004109	Caust.v2_000102	FBgn0003444	XP_017877506.1	NA	NA
XP_395614.3	XP_033337607.1	OG0004111	Caust.v2_010349	FBgn0039562	XP_017877302.1	NA	NA
XP_395653.2	XP_033330409.1	OG0004112	Caust.v2_009036	FBgn0032919	XP_017883272.1	NA	NA
XP_395694.2	XP_033324389.1	OG0004114	Caust.v2_014290	FBgn0037580	XP_017883596.1	NA	NA
XP_395724.2	XP_033340119.1	OG0004116	Caust.v2_008660	FBgn0001202	XP_017883329.1	NA	NA
XP_395757.3	XP_033335678.1	OG0004118	Caust.v2_017283	FBgn0013799	XP_026671788.1	NA	NA
XP_395866.2	XP_033342395.1	OG0004119	Caust.v2_003833	FBgn0038683	XP_017879925.1	NA	NA
XP_395903.3	XP_033337656.1	OG0004120	Caust.v2_008117	FBgn0039623	XP_017892500.1	NA	NA
XP_395921.4	XP_033326444.1	OG0004121	Caust.v2_002744	FBgn0010660	XP_017880713.1	NA	NA
XP_396003.4	XP_033327985.1	OG0004124	Caust.v2_004362	FBgn0037709	XP_017879569.1	NA	NA
XP_396024.6	XP_033331445.1	OG0004125	Caust.v2_007132	FBgn0039827	XP_017891896.2	NA	NA
XP_396035.2	XP_033326088.1	OG0004126	Caust.v2_006459	FBgn0038306	XP_017886920.1	NA	NA
XP_396280.4	XP_033325335.1	OG0004129	Caust.v2_012751	FBgn0030973	XP_017877343.1	NA	NA
XP_396315.6	XP_033339596.1	OG0004130	Caust.v2_012532	FBgn0260749	XP_017881976.1	NA	NA
XP_396491.1	XP_033322696.1	OG0004132	Caust.v2_019660	FBgn0035538	XP_017888519.1	NA	NA
XP_396499.5	XP_033329993.1	OG0004133	Caust.v2_005029	FBgn0020389	XP_017885674.1	NA	NA
XP_396690.2	XP_033333511.1	OG0004134	Caust.v2_006963	FBgn0037297	XP_017889150.1	NA	NA
XP_396696.4	XP_033322220.1	OG0004135	Caust.v2_002558	FBgn0034214	XP_017875891.1	NA	NA
XP_396738.2	XP_033337463.1	OG0004137	Caust.v2_000079	FBgn0034231	XP_017883440.1	NA	NA
XP_396874.5	XP_033334802.1	OG0004138	Caust.v2_002888	FBgn0010379	XP_017878388.1	NA	NA
XP_396937.4	XP_033328723.1	OG0004139	Caust.v2_010695	FBgn0086657	XP_017887859.1	NA	NA
XP_397030.3	XP_033338310.1	OG0004141	Caust.v2_006413	FBgn0010292	XP_017882612.1	NA	NA
XP_397043.2	XP_033336412.1	OG0004142	Caust.v2_009792	FBgn0000109	XP_017888132.1	NA	NA
XP_397060.3	XP_033329258.1	OG0004144	Caust.v2_009538	FBgn0046222	XP_017880300.1	NA	NA
XP_397094.2	XP_033337419.1	OG0004145	Caust.v2_000067	FBgn0036888	XP_026667386.1	NA	NA
XP_397233.2	XP_033336570.1	OG0004146	Caust.v2_017790	FBgn0033528	XP_026667168.1	NA	NA
XP_397235.3	XP_033343117.1	OG0004147	Caust.v2_014663	FBgn0034401	XP_017889841.1	NA	NA
XP_397399.2	XP_033341641.1	OG0004149	Caust.v2_002399	FBgn0014366	XP_017889712.1	NA	NA
XP_623216.3	XP_033325750.1	OG0004152	Caust.v2_005373	FBgn0044323	XP_017883915.1	NA	NA
XP_623506.1	XP_033331863.1	OG0004156	Caust.v2_006304	FBgn0015756	XP_017885844.1	NA	NA
XP_623602.3	XP_033321375.1	OG0004160	Caust.v2_002272	FBgn0032907	XP_017879405.1	NA	NA
XP_623732.1	XP_033321774.1	OG0004162	Caust.v2_002751	FBgn0031266	XP_017880840.1	NA	NA
XP_623764.2	XP_033321542.1	OG0004164	Caust.v2_013676	FBgn0025360	XP_017884279.1	NA	NA
XP_623797.2	XP_033329270.1	OG0004165	Caust.v2_003689	FBgn0031040	XP_017880095.1	NA	NA
XP_623803.3	XP_033340476.1	OG0004166	Caust.v2_012772	FBgn0033507	XP_017887666.1	NA	NA
XP_623810.1	XP_033321957.1	OG0004167	Caust.v2_005372	FBgn0037543	XP_017886980.1	NA	NA
XP_623878.1	XP_033337250.1	OG0004168	Caust.v2_004491	FBgn0036771	XP_017891323.1	NA	NA
XP_623918.4	XP_033324127.1	OG0004169	Caust.v2_004941	FBgn0034697	XP_017883110.1	NA	NA
XP_624023.2	XP_033322570.1	OG0004170	Caust.v2_007573	FBgn0027086	XP_017877924.1	NA	NA
XP_624047.2	XP_033325908.1	OG0004171	Caust.v2_002683	FBgn0035148	XP_026672030.1	NA	NA
XP_624053.4	XP_033342541.1	OG0004172	Caust.v2_000372	FBgn0038163	XP_026669887.1	NA	NA
XP_624074.1	XP_033340968.1	OG0004173	Caust.v2_006161	FBgn0036685	XP_017881973.1	NA	NA
XP_624215.4	XP_033321656.1	OG0004174	Caust.v2_002071	FBgn0032250	XP_017880884.1	NA	NA
XP_624231.2	XP_033328856.1	OG0004175	Caust.v2_013161	FBgn0284252	XP_017881055.1	NA	NA
XP_624277.2	XP_033329944.1	OG0004178	Caust.v2_001437	FBgn0030739	XP_017888891.1	NA	NA
XP_624382.3	XP_033330710.1	OG0004181	Caust.v2_006261	FBgn0024698	XP_017876916.1	NA	NA
XP_624513.2	XP_033334795.1	OG0004184	Caust.v2_019429	FBgn0286198	XP_017879696.2	NA	NA
XP_624678.1	XP_033328032.1	OG0004190	Caust.v2_009186	FBgn0086347	XP_017890083.1	NA	NA
XP_624707.2	XP_033338442.1	OG0004191	Caust.v2_007027	FBgn0266064	XP_017889996.1	NA	NA
XP_624710.1	XP_033333517.1	OG0004192	Caust.v2_013512	FBgn0036697	XP_026667922.1	NA	NA
XP_624713.1	XP_033338586.1	OG0004193	Caust.v2_011263	FBgn0036314	XP_017886892.1	NA	NA
XP_624741.2	XP_033322846.1	OG0004194	Caust.v2_014898	FBgn0031304	XP_017875181.1	NA	NA
XP_624805.1	XP_033338127.1	OG0004195	Caust.v2_007106	FBgn0051195	XP_017885340.1	NA	NA
XP_624806.3	XP_033326445.1	OG0004196	Caust.v2_006483	FBgn0038570	XP_017876733.1	NA	NA
XP_624872.2	XP_033337505.1	OG0004199	Caust.v2_008575	FBgn0031069	XP_017881412.1	NA	NA
XP_624970.2	XP_033335887.1	OG0004202	Caust.v2_010575	FBgn0034909	XP_017875465.1	NA	NA
XP_625050.3	XP_033335761.1	OG0004204	Caust.v2_004918	FBgn0250814	XP_017885018.1	NA	NA
XP_625070.3	XP_033321214.1	OG0004205	Caust.v2_001533	FBgn0027550	XP_017886994.1	NA	NA
XP_625102.3	XP_033336534.1	OG0004207	Caust.v2_009760	FBgn0035844	XP_017884936.1	NA	NA
XP_625134.3	XP_033335274.1	OG0004208	Caust.v2_005852	FBgn0267823	XP_017879902.1	NA	NA
XP_625226.1	XP_033340933.1	OG0004212	Caust.v2_002428	FBgn0264712	XP_026674120.1	NA	NA
XP_625227.2	XP_033340790.1	OG0004213	Caust.v2_002429	FBgn0037301	XP_017889512.1	NA	NA
