P_dominula	P_canadensis	Orthogroup	D_melanogaster	L_flavolineata	A_mellifera	P_canadensis_locusID	P_dominula_locusID
XP_015185998.1	XP_014611670.1	OG0003318	FBgn0026417	Lflavo2a004038	XP_003251418.2	LOC106790921	LOC107071479
XP_015186036.1	XP_014612424.1	OG0003271	FBgn0033782	Lflavo2a010508	XP_003249307.1	LOC106791360	LOC107071508
XP_015186216.1	XP_014615173.1	OG0003193	FBgn0031403	Lflavo2a011189	XP_001120666.1	LOC106793075	LOC107071603
XP_015186250.1	XP_014615181.1	OG0003137	FBgn0011676	Lflavo2a005628	NP_001012980.1	LOC106793080	LOC107071617
XP_015186376.1	XP_014614788.1	OG0003388	FBgn0001083	Lflavo2a009542	XP_006559048.2	LOC106792783	LOC107071686
XP_015186560.1	XP_014607395.1	OG0003443	FBgn0030289	Lflavo2a004460	XP_006560738.1	LOC106788557	LOC107071782
XP_015186572.1	XP_014613870.1	OG0003189	FBgn0035675	Lflavo2a011310	XP_001120607.1	LOC106792172	LOC107071788
XP_015186607.1	XP_014607399.1	OG0003292	FBgn0035407	Lflavo2a001819	XP_003249908.1	LOC106788561	LOC107071804
XP_015186619.1	XP_014598662.1	OG0003269	FBgn0037899	Lflavo2a008699	XP_003249153.1	LOC106784062	LOC107071814
XP_015187004.1	XP_014597971.1	OG0003359	FBgn0026431	Lflavo2a012878	XP_006557949.1	LOC106783704	LOC107071987
XP_015187077.1	XP_014612790.1	OG0003229	FBgn0031455	Lflavo2a008584	XP_001121556.1	LOC106791586	LOC107072025
XP_015187085.1	XP_014598505.1	OG0003665	FBgn0261396	Lflavo2a005438	XP_006572172.1	LOC106783981	LOC107072027
XP_015187183.1	XP_014608417.1	OG0003221	FBgn0037901	Lflavo2a006014	XP_001121410.2	LOC106789087	LOC107072085
XP_015187322.1	XP_014604471.1	OG0003146	FBgn0022770	Lflavo2a012768	NP_001165850.1	LOC106787011	LOC107072143
XP_015187324.1	XP_014601311.1	OG0003502	FBgn0034534	Lflavo2a000900	XP_006563010.1	LOC106785403	LOC107072141
XP_015187386.1	XP_014613635.1	OG0003453	FBgn0002941	Lflavo2a000352	XP_006561049.3	LOC106792041	LOC107072176
XP_015187403.1	XP_014613627.1	OG0003232	FBgn0032397	Lflavo2a011015	XP_001121853.2	LOC106792034	LOC107072184
XP_015187507.1	XP_014610595.1	OG0003407	FBgn0036671	Lflavo2a000551	XP_006559706.2	LOC106790311	LOC107072245
XP_015187556.1	XP_014599306.1	OG0003270	FBgn0003267	Lflavo2a000285	XP_003249297.2	LOC106784371	LOC107072283
XP_015187559.1	XP_014599353.1	OG0003201	FBgn0033033	Lflavo2a013357	XP_001120817.2	LOC106784394	LOC107072286
XP_015187695.1	XP_014616800.1	OG0003460	FBgn0267977	Lflavo2a010130	XP_006561175.2	LOC106793977	LOC107072349
XP_015187779.1	XP_014605113.1	OG0003619	FBgn0043900	Lflavo2a000996	XP_006568836.1	LOC106787340	LOC107072399
XP_015187907.1	XP_014614574.1	OG0003195	FBgn0036450	Lflavo2a006999	XP_001120674.3	LOC106792614	LOC107072454
XP_015187912.1	XP_014614040.1	OG0003625	FBgn0034177	Lflavo2a006961	XP_006569056.2	LOC106792267	LOC107072457
XP_015187930.1	XP_014606171.1	OG0003240	FBgn0031766	Lflavo2a004504	XP_001122164.3	LOC106787915	LOC107072472
XP_015187958.1	XP_014602261.1	OG0003583	FBgn0034933	Lflavo2a002687	XP_006567785.2	LOC106785928	LOC107072485
XP_015187959.1	XP_014606200.1	OG0003588	FBgn0037891	Lflavo2a004508	XP_006567925.2	LOC106787931	LOC107072489
XP_015188117.1	XP_014613363.1	OG0003293	FBgn0050185	Lflavo2a006528	XP_003250023.2	LOC106791888	LOC107072580
XP_015188162.1	XP_014610206.1	OG0003616	FBgn0031664	Lflavo2a003204	XP_006568815.1	LOC106790054	LOC107072606
XP_015188282.1	XP_014608916.1	OG0003367	FBgn0038446	Lflavo2a000878	XP_006558376.1	LOC106789321	LOC107072668
XP_015188502.1	XP_014613171.1	OG0003324	FBgn0001259	Lflavo2a011092	XP_003251640.1	LOC106791777	LOC107072798
XP_015188698.1	XP_014611505.1	OG0003305	FBgn0036780	Lflavo2a004009	XP_003250776.1	LOC106790834	LOC107072901
XP_015188731.1	XP_014598035.1	OG0003667	FBgn0031971	Lflavo2a008734	XP_006572307.1	LOC106783745	LOC107072922
XP_015188782.1	XP_014610239.1	OG0003514	FBgn0032797	Lflavo2a010061	XP_006564112.2	LOC106790077	LOC107072955
XP_015188841.1	XP_014610704.1	OG0003440	FBgn0030504	Lflavo2a004420	XP_006560698.2	LOC106790386	LOC107072990
XP_015188892.1	XP_014614359.1	OG0003467	FBgn0032517	Lflavo2a004778	XP_006561386.2	LOC106792446	LOC107073022
XP_015188910.1	XP_014612968.1	OG0003147	FBgn0044050	Lflavo2a010384	NP_001171374.1	LOC106791661	LOC107073034
XP_015188939.1	XP_014611847.1	OG0003526	FBgn0261238	Lflavo2a009013	XP_006564753.2	LOC106791022	LOC107073048
XP_015188974.1	XP_014613351.1	OG0003493	FBgn0019890	Lflavo2a006375	XP_006562525.1	LOC106791881	LOC107073065
XP_015189004.1	XP_014613619.1	OG0003230	FBgn0038722	Lflavo2a007836	XP_001121690.3	LOC106792025	LOC107073079
XP_015189045.1	XP_014608984.1	OG0003231	FBgn0011232	Lflavo2a014223	XP_001121762.2	LOC106789357	LOC107073105
XP_015189136.1	XP_014608859.1	OG0003550	FBgn0016076	Lflavo2a012494	XP_006566549.1	LOC106789284	LOC107073153
XP_015189480.1	XP_014607214.1	OG0003405	FBgn0032516	Lflavo2a014144	XP_006559576.1	LOC106788458	LOC107073373
XP_015189535.1	XP_014609385.1	OG0003161	FBgn0040697	Lflavo2a000460	NP_001314878.1	LOC106789567	LOC107073410
XP_015189773.1	XP_014607199.1	OG0003155	FBgn0022023	Lflavo2a009113	NP_001229449.1	LOC106788449	LOC107073591
XP_015190017.1	XP_014605629.1	OG0003307	FBgn0263005	Lflavo2a006302	XP_003250876.2	LOC106787614	LOC107073812
XP_015190185.1	XP_014606454.1	OG0003178	FBgn0029789	Lflavo2a005248	XP_001120182.3	LOC106788049	LOC107073872
XP_015190253.1	XP_014600650.1	OG0003223	FBgn0027296	Lflavo2a006512	XP_001121418.2	LOC106785037	LOC107073896
XP_015190364.1	XP_014608228.1	OG0003299	FBgn0026702	Lflavo2a013395	XP_003250476.1	LOC106788976	LOC107073929
XP_015190366.1	XP_014604733.1	OG0003666	FBgn0038396	Lflavo2a009978	XP_006572272.1	LOC106787132	LOC107073932
XP_015190376.1	XP_014607483.1	OG0003329	FBgn0266580	Lflavo2a010268	XP_003251725.1	LOC106788590	LOC107073936
XP_015190399.1	XP_014602244.1	OG0003539	FBgn0036038	Lflavo2a001624	XP_006565978.1	LOC106785922	LOC107073944
XP_015190528.1	XP_014600608.1	OG0003421	FBgn0039937	Lflavo2a011233	XP_006559945.2	LOC106785025	LOC107074024
XP_015190824.1	XP_014609444.1	OG0003156	FBgn0053303	Lflavo2a008594	NP_001229451.1	LOC106789596	LOC107074165
XP_015190967.1	XP_014600598.1	OG0003181	FBgn0030063	Lflavo2a005968	XP_001120245.2	LOC106785013	LOC107074226
XP_015191023.1	XP_014598044.1	OG0003435	FBgn0016919	Lflavo2a006118	XP_006560607.2	LOC106783755	LOC107074278
XP_015191042.1	XP_014614871.1	OG0003249	FBgn0260933	Lflavo2a012996	XP_001122512.3	LOC106792851	LOC107074285
XP_015191143.1	XP_014608315.1	OG0003158	FBgn0036660	Lflavo2a000289	NP_001229483.1	LOC106789029	LOC107074316
XP_015191184.1	XP_014598027.1	OG0003557	FBgn0032467	Lflavo2a000047	XP_006566703.1	LOC106783742	LOC107074346
XP_015191223.1	XP_014611555.1	OG0003361	FBgn0051999	Lflavo2a011379	XP_006558164.2	LOC106790856	LOC107074368
XP_015191250.1	XP_014598106.1	OG0003584	FBgn0243512	Lflavo2a005489	XP_006567837.2	LOC106783779	LOC107074382
XP_015191283.1	XP_014609012.1	OG0003306	FBgn0261270	Lflavo2a012606	XP_003250866.2	LOC106789376	LOC107074399
XP_015191302.1	XP_014609007.1	OG0003558	FBgn0021796	Lflavo2a000028	XP_006566705.2	LOC106789371	LOC107074408
XP_015191351.1	XP_014609035.1	OG0003238	FBgn0284255	Lflavo2a012582	XP_001122049.2	LOC106789390	LOC107074436
XP_015191360.1	XP_014611563.1	OG0003543	FBgn0265974	Lflavo2a004810	XP_006566066.1	LOC106790860	LOC107074439
XP_015191395.1	XP_014615153.1	OG0003547	FBgn0030055	Lflavo2a012531	XP_006566358.1	LOC106793059	LOC107074455
XP_015191515.1	XP_014614389.1	OG0003285	FBgn0031375	Lflavo2a012537	XP_003249678.1	LOC106792470	LOC107074519
XP_015191541.1	XP_014615043.1	OG0003639	FBgn0036018	Lflavo2a011281	XP_006570437.2	LOC106793002	LOC107074535
XP_015191633.1	XP_014601075.1	OG0003273	FBgn0260750	Lflavo2a006094	XP_003249380.1	LOC106785277	LOC107074591
XP_015191634.1	XP_014601040.1	OG0003165	FBgn0026250	Lflavo2a005912	XP_001120011.1	LOC106785256	LOC107074592
XP_015191635.1	XP_014603616.1	OG0003311	FBgn0052442	Lflavo2a007082	XP_003251001.1	LOC106786581	LOC107074589
XP_015191659.1	XP_014616652.1	OG0003217	FBgn0037747	Lflavo2a003455	XP_001121320.1	LOC106793890	LOC107074603
XP_015191824.1	XP_014602208.1	OG0003506	FBgn0033897	Lflavo2a004286	XP_006563441.2	LOC106785899	LOC107074679
XP_015191845.1	XP_014606692.1	OG0003280	FBgn0034243	Lflavo2a006486	XP_003249581.1	LOC106788183	LOC107074694
XP_016766194.1	XP_015181407.1	OG0003669	FBgn0259150	Lflavo2a000164	XP_014601562.1	NA	NA
XP_016766513.2	XP_015187006.1	OG0003672	FBgn0036725	Lflavo2a014030	XP_014609562.1	NA	NA
XP_016766755.1	XP_015174435.1	OG0003675	FBgn0011207	Lflavo2a000703	XP_014604970.1	NA	NA
XP_016767252.1	XP_015183127.1	OG0003680	FBgn0085432	Lflavo2a007181	XP_014616702.1	NA	NA
XP_016767343.2	XP_015180954.1	OG0003682	FBgn0036036	Lflavo2a003822	XP_014604875.1	NA	NA
XP_016767363.2	XP_015185796.1	OG0003684	FBgn0053978	Lflavo2a010776	XP_014601323.1	NA	NA
XP_016767403.1	XP_015181711.1	OG0003686	FBgn0262473	Lflavo2a005971	XP_014613497.1	NA	NA
XP_016767597.1	XP_015184552.1	OG0003688	FBgn0034859	Lflavo2a010753	XP_014599384.1	NA	NA
XP_016767623.1	XP_015175902.1	OG0003689	FBgn0029896	Lflavo2a007166	XP_014610694.1	NA	NA
XP_016767723.2	XP_015179839.1	OG0003692	FBgn0033913	Lflavo2a005444	XP_014615785.1	NA	NA
XP_016767773.1	XP_015180400.1	OG0003693	FBgn0000559	Lflavo2a010758	XP_014599720.1	NA	NA
XP_016767801.2	XP_015178061.1	OG0003694	FBgn0030477	Lflavo2a007971	XP_014609807.1	NA	NA
XP_016767837.1	XP_015182610.1	OG0003695	FBgn0083946	Lflavo2a004564	XP_014610460.1	NA	NA
XP_016768215.2	XP_015178176.1	OG0003699	FBgn0267435	Lflavo2a002798	XP_014609867.1	NA	NA
XP_016768533.2	XP_015180876.1	OG0003705	FBgn0031869	Lflavo2a001949	XP_014610151.1	NA	NA
XP_016768711.1	XP_015188637.1	OG0003706	FBgn0013718	Lflavo2a005247	XP_014606594.1	NA	NA
XP_016768845.1	XP_015191653.1	OG0003708	FBgn0030701	Lflavo2a003144	XP_014616646.1	NA	NA
XP_016769113.2	XP_015171280.1	OG0003711	FBgn0036147	Lflavo2a012271	XP_014603907.1	NA	NA
XP_016769141.2	XP_015183960.1	OG0003712	FBgn0264954	Lflavo2a007880	XP_014611940.1	NA	NA
XP_016769188.1	XP_015182657.1	OG0003713	FBgn0000524	Lflavo2a009230	XP_014605185.1	NA	NA
XP_016769189.1	XP_015182648.1	OG0003714	FBgn0029819	Lflavo2a009243	XP_014605233.1	NA	NA
XP_016769245.2	XP_015173222.1	OG0003716	FBgn0033741	Lflavo2a004290	XP_014606967.1	NA	NA
XP_016769286.1	XP_015175129.1	OG0003718	FBgn0037021	Lflavo2a004514	XP_014611259.1	NA	NA
XP_016769563.1	XP_015182855.1	OG0003721	FBgn0000320	Lflavo2a008075	XP_014612227.1	NA	NA
XP_016769849.1	XP_015176779.1	OG0003726	FBgn0030327	Lflavo2a007121	XP_014598757.1	NA	NA
XP_016769867.1	XP_015186415.1	OG0003727	FBgn0033426	Lflavo2a000219	XP_014601916.1	NA	NA
XP_016770251.2	XP_015175056.1	OG0003732	FBgn0032210	Lflavo2a000763	XP_014602814.1	NA	NA
XP_016770454.2	XP_015189168.1	OG0003734	FBgn0031762	Lflavo2a010464	XP_014606083.1	NA	NA
XP_016770683.1	XP_015186872.1	OG0003736	FBgn0003124	Lflavo2a006113	XP_014611604.1	NA	NA
XP_016770688.2	XP_015190181.1	OG0003737	FBgn0260444	Lflavo2a005191	XP_014606391.1	NA	NA
XP_016770777.2	XP_015191449.1	OG0003738	FBgn0034279	Lflavo2a000586	XP_014615017.1	NA	NA
XP_016770895.1	XP_015188895.1	OG0003740	FBgn0039358	Lflavo2a009043	XP_014607164.1	NA	NA
XP_016770906.1	XP_015175346.1	OG0003742	FBgn0031401	Lflavo2a007193	XP_014609942.1	NA	NA
XP_016771167.1	XP_015187249.1	OG0003746	FBgn0038738	Lflavo2a005349	XP_014615114.1	NA	NA
XP_016771641.1	XP_015173409.1	OG0003747	FBgn0261266	Lflavo2a009470	XP_014598257.1	NA	NA
XP_016771656.2	XP_015189207.1	OG0003748	FBgn0032221	Lflavo2a002663	XP_014612459.1	NA	NA
XP_016771800.1	XP_015179290.1	OG0003751	FBgn0032689	Lflavo2a010292	XP_014601225.1	NA	NA
XP_016771930.2	XP_015180863.1	OG0003753	FBgn0031782	Lflavo2a011923	XP_014610118.1	NA	NA
XP_016772079.1	XP_015172059.1	OG0003755	FBgn0035575	Lflavo2a004501	XP_014598851.1	NA	NA
XP_016772146.2	XP_015184942.1	OG0003756	FBgn0039709	Lflavo2a000844	XP_014612131.1	NA	NA
XP_016772174.1	XP_015173237.1	OG0003757	FBgn0037414	Lflavo2a000396	XP_014599912.1	NA	NA
XP_016772434.2	XP_015187369.1	OG0003758	FBgn0264894	Lflavo2a001363	XP_014601943.1	NA	NA
XP_016772832.1	XP_015186254.1	OG0003762	FBgn0086904	Lflavo2a010491	XP_014597989.1	NA	NA
XP_016773031.1	XP_015180745.1	OG0003763	FBgn0035422	Lflavo2a006127	XP_014607670.1	NA	NA
XP_016773304.2	XP_015188907.1	OG0003765	FBgn0024182	Lflavo2a010390	XP_014612965.1	NA	NA
XP_016773319.1	XP_015171504.1	OG0003767	FBgn0036754	Lflavo2a002867	XP_014600706.1	NA	NA
XP_016773405.1	XP_015190421.1	OG0003770	FBgn0011742	Lflavo2a004916	XP_014608201.1	NA	NA
XP_016773411.1	XP_015191434.1	OG0003771	FBgn0036031	Lflavo2a000043	XP_014608989.1	NA	NA
XP_016773435.2	XP_015190926.1	OG0003772	FBgn0028990	Lflavo2a014011	XP_014603277.1	NA	NA
XP_016773452.1	XP_015190854.1	OG0003773	FBgn0032633	Lflavo2a012010	XP_014600588.1	NA	NA
XP_026294630.1	XP_015173204.1	OG0003775	FBgn0052850	Lflavo2a001524	XP_014604725.1	NA	NA
XP_026294719.1	XP_015171531.1	OG0003777	FBgn0031631	Lflavo2a006393	XP_014616060.1	NA	NA
XP_026294726.1	XP_015190085.1	OG0003778	FBgn0010380	Lflavo2a005711	XP_014605281.1	NA	NA
XP_026294732.1	XP_015185949.1	OG0003779	FBgn0033451	Lflavo2a000160	XP_014601652.1	NA	NA
XP_026294803.1	XP_015191010.1	OG0003782	FBgn0260748	Lflavo2a013981	XP_014613232.1	NA	NA
XP_026294818.1	XP_015178803.1	OG0003783	FBgn0030217	Lflavo2a012083	XP_014615468.1	NA	NA
XP_026294819.1	XP_015189491.1	OG0003784	FBgn0052037	Lflavo2a003057	XP_014614784.1	NA	NA
XP_026294849.1	XP_015182297.1	OG0003785	FBgn0053505	Lflavo2a004041	XP_014601195.1	NA	NA
XP_026294878.1	XP_015184098.1	OG0003786	FBgn0034452	Lflavo2a001085	XP_014605443.1	NA	NA
XP_026294963.1	XP_015183991.1	OG0003787	FBgn0037659	Lflavo2a006965	XP_014605383.1	NA	NA
XP_026295008.1	XP_015189518.1	OG0003790	FBgn0035704	Lflavo2a004974	XP_014614484.1	NA	NA
XP_026295012.1	XP_015183954.1	OG0003791	FBgn0027780	Lflavo2a003825	XP_014605434.1	NA	NA
XP_026295020.1	XP_015187940.1	OG0003792	FBgn0259216	Lflavo2a009015	XP_014606230.1	NA	NA
XP_026295166.1	XP_015191167.1	OG0003794	FBgn0041004	Lflavo2a011139	XP_014613772.1	NA	NA
XP_026295460.1	XP_015190983.1	OG0003801	FBgn0015905	Lflavo2a013864	XP_014615050.1	NA	NA
XP_026295498.1	XP_015187551.1	OG0003804	FBgn0033379	Lflavo2a013176	XP_014599425.1	NA	NA
XP_026295500.1	XP_015174134.1	OG0003805	FBgn0033010	Lflavo2a013414	XP_014601005.1	NA	NA
XP_026295501.1	XP_015174282.1	OG0003806	FBgn0038805	Lflavo2a013417	XP_014600970.1	NA	NA
XP_026295521.1	XP_015178974.1	OG0003807	FBgn0036032	Lflavo2a007622	XP_014600383.1	NA	NA
XP_026295650.1	XP_015186488.1	OG0003809	FBgn0030004	Lflavo2a000839	XP_014602609.1	NA	NA
XP_026295664.1	XP_015176939.1	OG0003810	FBgn0030037	Lflavo2a003669	XP_014600421.1	NA	NA
XP_026295803.1	XP_015191742.1	OG0003812	FBgn0024291	Lflavo2a002464	XP_014602162.1	NA	NA
XP_026295807.1	XP_015171733.1	OG0003813	FBgn0053100	Lflavo2a010116	XP_014600724.1	NA	NA
XP_026295901.1	XP_015188924.1	OG0003818	FBgn0038511	Lflavo2a012809	XP_014612962.1	NA	NA
XP_026295906.1	XP_015177702.1	OG0003819	FBgn0020912	Lflavo2a006204	XP_014614628.1	NA	NA
XP_026295978.1	XP_015180817.1	OG0003821	FBgn0052579	Lflavo2a000359	XP_014613414.1	NA	NA
XP_026295986.1	XP_015180874.1	OG0003822	FBgn0030057	Lflavo2a001932	XP_014610156.1	NA	NA
XP_026296031.1	XP_015190466.1	OG0003823	FBgn0038247	Lflavo2a011711	XP_014609711.1	NA	NA
XP_026296135.1	XP_015181585.1	OG0003824	FBgn0037240	Lflavo2a003178	XP_014603516.1	NA	NA
XP_026296191.1	XP_015179422.1	OG0003826	FBgn0261284	Lflavo2a004859	XP_014613009.1	NA	NA
XP_026296195.1	XP_015183261.1	OG0003827	FBgn0031571	Lflavo2a007239	XP_014616853.1	NA	NA
XP_026296222.1	XP_015173531.1	OG0003829	FBgn0260866	Lflavo2a012867	XP_014613052.1	NA	NA
XP_026296432.1	XP_015176510.1	OG0003833	FBgn0000709	Lflavo2a008368	XP_014610510.1	NA	NA
XP_026296438.1	XP_015178127.1	OG0003834	FBgn0037215	Lflavo2a005467	XP_014609885.1	NA	NA
XP_026296546.1	XP_015191786.1	OG0003837	FBgn0036099	Lflavo2a008016	XP_014616673.1	NA	NA
XP_026296574.1	XP_015175264.1	OG0003839	FBgn0030013	Lflavo2a007028	XP_014607487.1	NA	NA
XP_026296602.1	XP_015185367.1	OG0003840	FBgn0038857	Lflavo2a003516	XP_014616721.1	NA	NA
XP_026296620.1	XP_015176493.1	OG0003841	FBgn0033900	Lflavo2a011431	XP_014613825.1	NA	NA
XP_026296623.1	XP_015191784.1	OG0003842	FBgn0262866	Lflavo2a007963	XP_014616670.1	NA	NA
XP_026296625.1	XP_015171960.1	OG0003843	FBgn0034002	Lflavo2a007950	XP_014609680.1	NA	NA
XP_026296629.1	XP_015180552.1	OG0003844	FBgn0037743	Lflavo2a011161	XP_014608173.1	NA	NA
XP_026296653.1	XP_015188115.1	OG0003845	FBgn0001075	Lflavo2a007779	XP_014607462.1	NA	NA
XP_026296663.1	XP_015180263.1	OG0003846	FBgn0031114	Lflavo2a010782	XP_014599721.1	NA	NA
XP_026296680.1	XP_015186822.1	OG0003848	FBgn0033247	Lflavo2a007682	XP_014604323.1	NA	NA
XP_026296684.1	XP_015181289.1	OG0003849	FBgn0003861	Lflavo2a006862	XP_014612553.1	NA	NA
XP_026296696.1	XP_015185900.1	OG0003850	FBgn0038221	Lflavo2a004608	XP_014597926.1	NA	NA
XP_026296828.1	XP_015188395.1	OG0003853	FBgn0037305	Lflavo2a012856	XP_014615781.1	NA	NA
XP_026296831.1	XP_015183522.1	OG0003854	FBgn0005612	Lflavo2a014061	XP_014613502.1	NA	NA
XP_026296832.1	XP_015183513.1	OG0003855	FBgn0032048	Lflavo2a014008	XP_014614608.1	NA	NA
XP_026296841.1	XP_015184444.1	OG0003856	FBgn0038532	Lflavo2a010798	XP_014599346.1	NA	NA
XP_026296856.1	XP_015185566.1	OG0003858	FBgn0031534	Lflavo2a012881	XP_014597973.1	NA	NA
XP_026296924.1	XP_015185653.1	OG0003860	FBgn0014010	Lflavo2a001719	XP_014606311.1	NA	NA
XP_026296989.1	XP_015180202.1	OG0003861	FBgn0266724	Lflavo2a001987	XP_014608070.1	NA	NA
XP_026297063.1	XP_015181337.1	OG0003865	FBgn0027106	Lflavo2a012714	XP_014601547.1	NA	NA
XP_026297132.1	XP_015183139.1	OG0003866	FBgn0270926	Lflavo2a011904	XP_014616764.1	NA	NA
XP_026297151.1	XP_015184228.1	OG0003867	FBgn0000115	Lflavo2a010362	XP_014603793.1	NA	NA
XP_026297156.1	XP_015185043.1	OG0003868	FBgn0023096	Lflavo2a002813	XP_014611048.1	NA	NA
XP_026297223.1	XP_015186631.1	OG0003870	FBgn0037896	Lflavo2a009864	XP_014598676.1	NA	NA
XP_026297233.1	XP_015185928.1	OG0003871	FBgn0263237	Lflavo2a000337	XP_014610345.1	NA	NA
XP_026297259.1	XP_015176709.1	OG0003872	FBgn0087011	Lflavo2a014162	XP_014600340.1	NA	NA
XP_026297358.1	XP_015186793.1	OG0003873	FBgn0037023	Lflavo2a011003	XP_014604265.1	NA	NA
XP_026297409.1	XP_015171246.1	OG0003875	FBgn0037238	Lflavo2a011831	XP_014600022.1	NA	NA
XP_026297432.1	XP_015182867.1	OG0003876	FBgn0034734	Lflavo2a011337	XP_014612256.1	NA	NA
XP_026297452.1	XP_015187176.1	OG0003878	FBgn0037244	Lflavo2a004400	XP_014608418.1	NA	NA
XP_026297481.1	XP_015171773.1	OG0003880	FBgn0259108	Lflavo2a009078	XP_014613380.1	NA	NA
XP_026297546.1	XP_015188309.1	OG0003883	FBgn0261934	Lflavo2a012731	XP_014611797.1	NA	NA
XP_026297740.1	XP_015188643.1	OG0003886	FBgn0035590	Lflavo2a005194	XP_014606598.1	NA	NA
XP_026297751.1	XP_015181434.1	OG0003887	FBgn0250820	Lflavo2a009409	XP_014601604.1	NA	NA
XP_026297767.1	XP_015173986.1	OG0003888	FBgn0012034	Lflavo2a004386	XP_014601986.1	NA	NA
XP_026297790.1	XP_015173707.1	OG0003889	FBgn0033376	Lflavo2a004959	XP_014602064.1	NA	NA
XP_026297808.1	XP_015171686.1	OG0003890	FBgn0286809	Lflavo2a011457	XP_014600800.1	NA	NA
XP_026297867.1	XP_015182637.1	OG0003891	FBgn0033316	Lflavo2a009250	XP_014605198.1	NA	NA
XP_026297914.1	XP_015184706.1	OG0003892	FBgn0260798	Lflavo2a001981	XP_014598267.1	NA	NA
XP_026297927.1	XP_015176587.1	OG0003893	FBgn0034496	Lflavo2a005144	XP_014610639.1	NA	NA
XP_026298008.1	XP_015183700.1	OG0003894	FBgn0266668	Lflavo2a000549	XP_014608027.1	NA	NA
XP_026298017.1	XP_015184626.1	OG0003895	FBgn0002926	Lflavo2a011336	XP_014616401.1	NA	NA
XP_026298031.1	XP_015173242.1	OG0003896	FBgn0036462	Lflavo2a000230	XP_014606969.1	NA	NA
XP_026298087.1	XP_015182553.1	OG0003897	FBgn0026206	Lflavo2a001854	XP_014605212.1	NA	NA
XP_026298096.1	XP_015187514.1	OG0003899	FBgn0037801	Lflavo2a012075	XP_014610598.1	NA	NA
XP_026298104.1	XP_015190350.1	OG0003900	FBgn0037379	Lflavo2a008849	XP_014602294.1	NA	NA
XP_026298107.1	XP_015183598.1	OG0003901	FBgn0003513	Lflavo2a014106	XP_014607784.1	NA	NA
XP_026298161.1	XP_015187489.1	OG0003903	FBgn0262647	Lflavo2a012096	XP_014610576.1	NA	NA
XP_026298285.1	XP_015184655.1	OG0003905	FBgn0087002	Lflavo2a000429	XP_014614514.1	NA	NA
XP_026298304.1	XP_015181446.1	OG0003907	FBgn0033661	Lflavo2a012058	XP_014610356.1	NA	NA
XP_026298371.1	XP_015172585.1	OG0003909	FBgn0034568	Lflavo2a000411	XP_014602435.1	NA	NA
XP_026298452.1	XP_015185345.1	OG0003910	FBgn0083960	Lflavo2a005460	XP_014613650.1	NA	NA
XP_026298474.1	XP_015187758.1	OG0003912	FBgn0052685	Lflavo2a012091	XP_014605093.1	NA	NA
XP_026298485.1	XP_015184354.1	OG0003913	FBgn0286070	Lflavo2a002878	XP_014610622.1	NA	NA
XP_026298493.1	XP_015173579.1	OG0003914	FBgn0028475	Lflavo2a008945	XP_014603632.1	NA	NA
XP_026298542.1	XP_015177933.1	OG0003915	FBgn0031535	Lflavo2a008371	XP_014604416.1	NA	NA
XP_026298555.1	XP_015184343.1	OG0003917	FBgn0024947	Lflavo2a004835	XP_014597979.1	NA	NA
XP_026298728.1	XP_015174602.1	OG0003921	FBgn0036962	Lflavo2a008949	XP_014603631.1	NA	NA
XP_026298732.1	XP_015188661.1	OG0003922	FBgn0030887	Lflavo2a011440	XP_014606562.1	NA	NA
XP_026298789.1	XP_015174969.1	OG0003923	FBgn0010235	Lflavo2a012196	XP_014604952.1	NA	NA
XP_026298856.1	XP_015190826.1	OG0003926	FBgn0033117	Lflavo2a008527	XP_014609446.1	NA	NA
XP_026298871.1	XP_015191119.1	OG0003927	FBgn0010114	Lflavo2a003055	XP_014609023.1	NA	NA
XP_026299206.1	XP_015183413.1	OG0003936	FBgn0031265	Lflavo2a004149	XP_014616519.1	NA	NA
XP_026299221.1	XP_015191001.1	OG0003937	FBgn0035640	Lflavo2a010693	XP_014598005.1	NA	NA
XP_026299342.1	XP_015175780.1	OG0003939	FBgn0003742	Lflavo2a009861	XP_014605007.1	NA	NA
XP_026299400.1	XP_015188600.1	OG0003940	FBgn0035162	Lflavo2a010874	XP_014606981.1	NA	NA
XP_026299562.1	XP_015182198.1	OG0003944	FBgn0263038	Lflavo2a003382	XP_014616986.1	NA	NA
XP_026299612.1	XP_015185508.1	OG0003945	FBgn0011774	Lflavo2a002833	XP_014607026.1	NA	NA
XP_026299653.1	XP_015185776.1	OG0003947	FBgn0040347	Lflavo2a010185	XP_014601404.1	NA	NA
XP_026299686.1	XP_015184442.1	OG0003948	FBgn0032685	Lflavo2a013287	XP_014611762.1	NA	NA
XP_026299709.1	XP_015189437.1	OG0003949	FBgn0037445	Lflavo2a004754	XP_014605003.1	NA	NA
XP_026299720.1	XP_015189370.1	OG0003950	FBgn0027500	Lflavo2a007329	XP_014600003.1	NA	NA
XP_026299728.1	XP_015189373.1	OG0003951	FBgn0265192	Lflavo2a007284	XP_014600037.1	NA	NA
XP_026299800.1	XP_015171672.1	OG0003953	FBgn0035435	Lflavo2a000573	XP_014600789.1	NA	NA
XP_026299855.1	XP_015191163.1	OG0003955	FBgn0031189	Lflavo2a008226	XP_014613765.1	NA	NA
XP_026299925.1	XP_015177948.1	OG0003956	FBgn0003277	Lflavo2a013664	XP_014615227.1	NA	NA
