Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	Polistes_canadensis	Polistes_dominula	Liostenogaster_flavolineata
OG0002469	Caust.v2_003504	gene-LOC108622836	gene-LOC117221397	gene-LOC106793709	gene-LOC107066964	Lflavo2a008946
OG0002470	Caust.v2_012541	gene-LOC108624672	gene-LOC117219352	gene-LOC106793399	gene-LOC107072735	Lflavo2a012856
OG0002472	Caust.v2_017592	gene-LOC108632572	gene-LOC117226102	gene-LOC106787422	gene-LOC107065556	Lflavo2a003580
OG0002473	Caust.v2_012256	gene-LOC108632582	gene-LOC117226586	gene-LOC106793740	gene-LOC107071153	Lflavo2a003071
OG0002474	Caust.v2_020239	gene-LOC108632572	gene-LOC117218486	gene-LOC106783827	gene-LOC107066291	Lflavo2a000099
OG0002475	Caust.v2_005110	gene-LOC108628525	gene-LOC117218584	gene-LOC106784416	gene-LOC107070667	Lflavo2a007068
OG0002476	Caust.v2_003688	gene-LOC108621902	gene-LOC117221979	gene-LOC106787939	gene-LOC107070280	Lflavo2a010708
OG0002477	Caust.v2_009532	gene-LOC108626843	gene-LOC117224194	gene-LOC106791592	gene-LOC107070130	Lflavo2a014036
OG0002478	Caust.v2_008554	gene-LOC108630803	gene-LOC117219401	gene-LOC106789780	gene-LOC107073253	Lflavo2a002343
OG0002479	Caust.v2_015419	gene-LOC108626568	gene-LOC117219822	gene-LOC106791231	gene-LOC107073824	Lflavo2a011083
OG0002480	Caust.v2_012126	gene-LOC108622453	gene-LOC117229116	gene-LOC106787434	gene-LOC107073824	Lflavo2a001072
OG0002481	Caust.v2_012425	gene-LOC108629537	gene-LOC117228419	gene-LOC106786223	gene-LOC107070351	Lflavo2a004146
OG0002482	Caust.v2_014953	gene-LOC108632572	gene-LOC117225488	gene-LOC106786463	gene-LOC107069145	Lflavo2a007730
OG0002483	Caust.v2_009964	gene-LOC108622548	gene-LOC117218568	gene-LOC106792390	gene-LOC107064754	Lflavo2a008484
OG0002484	Caust.v2_012072	gene-LOC108621983	gene-LOC117220029	gene-LOC106783861	gene-LOC107070744	Lflavo2a001981
OG0002486	Caust.v2_008594	gene-LOC108625705	gene-LOC117226947	gene-LOC106788362	gene-LOC107071230	Lflavo2a001260
OG0002487	Caust.v2_010019	gene-LOC108628248	gene-LOC117221990	gene-LOC106788754	gene-LOC107070175	Lflavo2a014106
OG0002488	Caust.v2_009806	gene-LOC108627860	gene-LOC117222360	gene-LOC106790362	gene-LOC107065810	Lflavo2a002140
OG0002489	Caust.v2_006584	gene-LOC108625740	gene-LOC117219045	gene-LOC106793928	gene-LOC107069962	Lflavo2a003411
OG0002490	Caust.v2_002666	gene-LOC108627935	gene-LOC117219052	gene-LOC106793631	gene-LOC107070161	Lflavo2a010706
OG0002491	Caust.v2_001616	gene-LOC108630646	gene-LOC117218151	gene-LOC106786981	gene-LOC107067178	Lflavo2a008371
OG0002493	Caust.v2_014526	gene-LOC108632558	gene-LOC117217678	gene-LOC106784173	gene-LOC107065339	Lflavo2a012574
OG0002494	Caust.v2_018496	gene-LOC108632143	gene-LOC117224111	gene-LOC106785796	gene-LOC107064353	Lflavo2a003721
OG0002495	Caust.v2_009938	gene-LOC108622878	gene-LOC117220302	gene-LOC106787974	gene-LOC107071312	Lflavo2a007068
OG0002496	Caust.v2_007490	gene-LOC108622975	gene-LOC117227401	gene-LOC106784173	gene-LOC107064039	Lflavo2a010698
OG0002497	Caust.v2_012229	gene-LOC108625459	gene-LOC117228900	gene-LOC106791964	gene-LOC107071897	Lflavo2a010754
OG0002498	Caust.v2_015487	gene-LOC108632572	gene-LOC117228029	gene-LOC106788549	gene-LOC107071776	Lflavo2a002755
OG0002499	Caust.v2_009532	gene-LOC108631919	gene-LOC117220078	gene-LOC106788000	gene-LOC107071293	Lflavo2a002623
OG0002500	Caust.v2_005551	gene-LOC108626209	gene-LOC117220210	gene-LOC106784173	gene-LOC107067129	Lflavo2a006328
OG0002501	Caust.v2_005130	gene-LOC108627236	gene-LOC117220119	gene-LOC106788666	gene-LOC107073824	Lflavo2a010700
OG0002502	Caust.v2_007558	gene-LOC108622881	gene-LOC117220110	gene-LOC106790130	gene-LOC107073824	Lflavo2a001570
OG0002505	Caust.v2_006282	gene-LOC108628454	gene-LOC117228866	gene-LOC106790923	gene-LOC107073824	Lflavo2a003987
OG0002506	Caust.v2_001000	gene-LOC108632572	gene-LOC117225290	gene-LOC106786400	gene-LOC107065484	Lflavo2a005582
OG0002507	Caust.v2_002824	gene-LOC108632572	gene-LOC117225551	gene-LOC106787864	gene-LOC107065355	Lflavo2a014092
OG0002508	Caust.v2_016116	gene-LOC108632700	gene-LOC117229764	gene-LOC106785634	gene-LOC107065898	Lflavo2a010760
OG0002509	Caust.v2_004841	gene-LOC108622800	gene-LOC117225476	gene-LOC106785622	gene-LOC107065902	Lflavo2a000383
OG0002510	Caust.v2_004851	gene-LOC108623104	gene-LOC117229840	gene-LOC106789850	gene-LOC107067346	Lflavo2a007068
OG0002512	Caust.v2_018148	gene-LOC108631766	gene-LOC117226586	gene-LOC106785831	gene-LOC107063847	Lflavo2a000607
OG0002513	Caust.v2_001083	gene-LOC108632572	gene-LOC117225467	gene-LOC106784617	gene-LOC107065180	Lflavo2a012425
OG0002515	Caust.v2_013176	gene-LOC108624347	gene-LOC117220496	gene-LOC106793941	gene-LOC107069952	Lflavo2a003374
OG0002516	Caust.v2_001043	gene-LOC108632572	gene-LOC117225281	gene-LOC106793953	gene-LOC107071351	Lflavo2a013800
OG0002517	Caust.v2_000791	gene-LOC108626231	gene-LOC117229697	gene-LOC106784721	gene-LOC107071670	Lflavo2a007300
OG0002518	Caust.v2_000819	gene-LOC108632708	gene-LOC117225314	gene-LOC106791937	gene-LOC107068683	Lflavo2a007068
OG0002519	Caust.v2_011440	gene-LOC108632662	gene-LOC117230061	gene-LOC106789681	gene-LOC107064399	Lflavo2a003022
OG0002521	Caust.v2_007305	gene-LOC108630379	gene-LOC117229237	gene-LOC106786423	gene-LOC107074178	Lflavo2a014042
OG0002522	Caust.v2_003914	gene-LOC108629951	gene-LOC117225730	gene-LOC106789368	gene-LOC107074453	Lflavo2a011950
OG0002524	Caust.v2_009676	gene-LOC108628976	gene-LOC117225727	gene-LOC106784168	gene-LOC107068926	Lflavo2a007068
OG0002525	Caust.v2_019309	gene-LOC108632047	gene-LOC117222543	gene-LOC106786608	gene-LOC107068847	Lflavo2a012098
OG0002527	Caust.v2_004741	gene-LOC108632985	gene-LOC117222507	gene-LOC106786819	gene-LOC107068863	Lflavo2a005783
OG0002528	Caust.v2_014432	gene-LOC108627044	gene-LOC117218037	gene-LOC106785449	gene-LOC107066983	Lflavo2a004992
OG0002529	Caust.v2_012754	gene-LOC108623400	gene-LOC117226005	gene-LOC106785401	gene-LOC107072155	Lflavo2a013758
OG0002530	Caust.v2_006811	gene-LOC108627650	gene-LOC117226212	gene-LOC106784173	gene-LOC107064205	Lflavo2a007095
OG0002531	Caust.v2_012658	gene-LOC108622797	gene-LOC117222982	gene-LOC106790014	gene-LOC107063953	Lflavo2a010150
OG0002532	Caust.v2_004074	gene-LOC108627799	gene-LOC117226025	gene-LOC106788398	gene-LOC107068056	Lflavo2a012696
OG0002533	Caust.v2_019279	gene-LOC108627853	gene-LOC117226209	gene-LOC106788491	gene-LOC107064162	Lflavo2a003375
OG0002534	Caust.v2_009532	gene-LOC108627707	gene-LOC117225928	gene-LOC106786124	gene-LOC107064306	Lflavo2a007310
OG0002535	Caust.v2_014920	gene-LOC108626900	gene-LOC117220941	gene-LOC106789297	gene-LOC107071037	Lflavo2a005466
OG0002536	Caust.v2_011216	gene-LOC108632238	gene-LOC117226225	gene-LOC106791379	gene-LOC107071247	Lflavo2a010286
OG0002537	Caust.v2_007663	gene-LOC108627627	gene-LOC117226394	gene-LOC106789543	gene-LOC107070038	Lflavo2a005033
OG0002538	Caust.v2_006799	gene-LOC108627932	gene-LOC117226164	gene-LOC106786123	gene-LOC107064322	Lflavo2a011548
OG0002539	Caust.v2_007644	gene-LOC108627835	gene-LOC117226374	gene-LOC106783588	gene-LOC107069896	Lflavo2a014233
OG0002542	Caust.v2_006002	gene-LOC108630712	gene-LOC117229279	gene-LOC106792167	gene-LOC107070901	Lflavo2a013771
OG0002543	Caust.v2_004676	gene-LOC108630612	gene-LOC117223207	gene-LOC106786066	gene-LOC107065138	Lflavo2a005756
OG0002544	Caust.v2_018085	gene-LOC108630659	gene-LOC117217360	gene-LOC106785910	gene-LOC107072330	Lflavo2a008445
OG0002545	Caust.v2_002406	gene-LOC108630606	gene-LOC117224696	gene-LOC106784732	gene-LOC107068472	Lflavo2a000650
OG0002546	Caust.v2_005808	gene-LOC108624500	gene-LOC117229436	gene-LOC106784321	gene-LOC107066597	Lflavo2a004171
OG0002547	Caust.v2_003245	gene-LOC108628759	gene-LOC117219670	gene-LOC106793874	gene-LOC107070094	Lflavo2a005702
OG0002548	Caust.v2_003361	gene-LOC108627156	gene-LOC117227470	gene-LOC106784544	gene-LOC107068504	Lflavo2a011263
OG0002549	Caust.v2_003392	gene-LOC108627136	gene-LOC117225809	gene-LOC106783822	gene-LOC107072214	Lflavo2a002112
OG0002550	Caust.v2_001675	gene-LOC108628153	gene-LOC117222424	gene-LOC106784173	gene-LOC107066932	Lflavo2a013020
OG0002552	Caust.v2_008343	gene-LOC108631412	gene-LOC117226586	gene-LOC106792123	gene-LOC107074131	Lflavo2a010024
OG0002553	Caust.v2_008375	gene-LOC108631741	gene-LOC117221172	gene-LOC106792191	gene-LOC107073077	Lflavo2a010008
OG0002554	Caust.v2_003722	gene-LOC108625194	gene-LOC117222812	gene-LOC106791615	gene-LOC107071526	Lflavo2a003023
OG0002555	Caust.v2_006225	gene-LOC108633091	gene-LOC117217735	gene-LOC106791078	gene-LOC107063706	Lflavo2a001267
OG0002556	Caust.v2_014885	gene-LOC108628143	gene-LOC117217586	gene-LOC106793358	gene-LOC107068181	Lflavo2a005427
OG0002557	Caust.v2_004249	gene-LOC113465035	gene-LOC117224723	gene-LOC106783960	gene-LOC107069953	Lflavo2a003733
OG0002558	Caust.v2_015038	gene-LOC108628639	gene-LOC117217835	gene-LOC106787042	gene-LOC107068580	Lflavo2a012016
OG0002559	Caust.v2_008259	gene-LOC108631471	gene-LOC117221905	gene-LOC106784837	gene-LOC107066521	Lflavo2a012290
OG0002561	Caust.v2_009005	gene-LOC108631616	gene-LOC117222050	gene-LOC106792062	gene-LOC107071160	Lflavo2a005452
OG0002562	Caust.v2_001263	gene-LOC108632572	gene-LOC117225306	gene-LOC106792058	gene-LOC107064359	Lflavo2a005439
OG0002563	Caust.v2_006509	gene-LOC108622888	gene-LOC117226586	gene-LOC106791361	gene-LOC107071499	Lflavo2a010445
OG0002564	Caust.v2_000651	gene-LOC108624085	gene-LOC117230025	gene-LOC106784868	gene-LOC107066643	Lflavo2a012608
OG0002565	Caust.v2_018195	gene-LOC108626961	gene-LOC117224720	gene-LOC106784173	gene-LOC107067162	Lflavo2a012669
OG0002566	Caust.v2_009532	gene-LOC108625173	gene-LOC117223582	gene-LOC106786855	gene-LOC107071088	Lflavo2a002354
OG0002567	Caust.v2_005242	gene-LOC108627540	gene-LOC117226586	gene-LOC106787499	gene-LOC107070367	Lflavo2a007023
OG0002568	Caust.v2_007942	gene-LOC108628699	gene-LOC117220623	gene-LOC106785176	gene-LOC107065736	Lflavo2a010922
OG0002569	Caust.v2_019388	gene-LOC108626570	gene-LOC117218710	gene-LOC106787093	gene-LOC107065031	Lflavo2a005262
OG0002570	Caust.v2_006554	gene-LOC108631018	gene-LOC117221335	gene-LOC106788618	gene-LOC107065802	Lflavo2a007017
OG0002572	Caust.v2_002665	gene-LOC108627925	gene-LOC117226586	gene-LOC106792347	gene-LOC107072381	Lflavo2a008637
OG0002573	Caust.v2_008000	gene-LOC113464065	gene-LOC117229029	gene-LOC106788097	gene-LOC107063729	Lflavo2a008836
OG0002574	Caust.v2_010552	gene-LOC108624320	gene-LOC117225423	gene-LOC106785133	gene-LOC107063905	Lflavo2a000532
OG0002575	Caust.v2_017941	gene-LOC108624931	gene-LOC117227787	gene-LOC106784173	gene-LOC107070681	Lflavo2a008532
OG0002576	Caust.v2_003362	gene-LOC108627145	gene-LOC117226586	gene-LOC106786880	gene-LOC107066199	Lflavo2a002224
OG0002577	Caust.v2_004142	gene-LOC108632572	gene-LOC117217520	gene-LOC106791466	gene-LOC107071393	Lflavo2a010968
OG0002578	Caust.v2_011366	gene-LOC108628046	gene-LOC117223455	gene-LOC106787367	gene-LOC107069646	Lflavo2a014339
OG0002579	Caust.v2_003341	gene-LOC108627132	gene-LOC117227468	gene-LOC106789203	gene-LOC107071215	Lflavo2a001494
OG0002581	Caust.v2_007489	gene-LOC108632668	gene-LOC117225313	gene-LOC106789264	gene-LOC107073154	Lflavo2a006868
OG0002583	Caust.v2_001353	gene-LOC108624915	gene-LOC117229714	gene-LOC106789417	gene-LOC107069294	Lflavo2a000433
OG0002584	Caust.v2_018204	gene-LOC108626448	gene-LOC117217420	gene-LOC106785188	gene-LOC107065161	Lflavo2a013522
OG0002585	Caust.v2_004490	gene-LOC108631734	gene-LOC117226690	gene-LOC106784716	gene-LOC107073282	Lflavo2a009731
OG0002587	Caust.v2_002399	gene-LOC108630751	gene-LOC117229326	gene-LOC106786907	gene-LOC107071734	Lflavo2a011806
OG0002588	Caust.v2_015136	gene-LOC108629477	gene-LOC117228855	gene-LOC106792000	gene-LOC107072251	Lflavo2a000220
OG0002589	Caust.v2_011183	gene-LOC108626770	gene-LOC117221294	gene-LOC106790950	gene-LOC107063790	Lflavo2a010204
OG0002590	Caust.v2_014491	gene-LOC108631504	gene-LOC117229426	gene-LOC106787363	gene-LOC107069648	Lflavo2a002147
OG0002591	Caust.v2_015187	gene-LOC108624949	gene-LOC117224064	gene-LOC106792002	gene-LOC107072252	Lflavo2a007793
OG0002592	Caust.v2_009532	gene-LOC108631580	gene-LOC117224346	gene-LOC106793274	gene-LOC107067641	Lflavo2a000320
OG0002593	Caust.v2_014311	gene-LOC113465165	gene-LOC117226586	gene-LOC106789982	gene-LOC107071294	Lflavo2a004628
OG0002594	Caust.v2_012445	gene-LOC108624452	gene-LOC117229538	gene-LOC106787653	gene-LOC107071118	Lflavo2a004488
OG0002597	Caust.v2_003800	gene-LOC108632572	gene-LOC117226379	gene-LOC106783633	gene-LOC107069880	Lflavo2a014258
OG0002598	Caust.v2_011962	gene-LOC108627466	gene-LOC117229488	gene-LOC106787118	gene-LOC107064707	Lflavo2a011572
OG0002599	Caust.v2_008992	gene-LOC108631592	gene-LOC117224247	gene-LOC106784433	gene-LOC107065916	Lflavo2a009075
OG0002600	Caust.v2_005167	gene-LOC108632572	gene-LOC117220186	gene-LOC106790879	gene-LOC107074440	Lflavo2a004819
OG0002601	Caust.v2_009186	gene-LOC108630975	gene-LOC117221302	gene-LOC106788748	gene-LOC107070313	Lflavo2a012347
OG0002602	Caust.v2_004268	gene-LOC108628159	gene-LOC117217723	gene-LOC106789705	gene-LOC107064443	Lflavo2a012557
OG0002603	Caust.v2_007106	gene-LOC108628125	gene-LOC117227207	gene-LOC106792311	gene-LOC107065321	Lflavo2a007456
OG0002604	Caust.v2_003585	gene-LOC108632442	gene-LOC117228661	gene-LOC106785083	gene-LOC107063942	Lflavo2a002522
OG0002605	Caust.v2_002119	gene-LOC108632572	gene-LOC117218126	gene-LOC106792966	gene-LOC107074361	Lflavo2a009193
OG0002607	Caust.v2_015572	gene-LOC108623772	gene-LOC117226602	gene-LOC106787208	gene-LOC107068812	Lflavo2a003802
OG0002608	Caust.v2_010643	gene-LOC108623698	gene-LOC117219816	gene-LOC106790758	gene-LOC107073824	Lflavo2a009811
OG0002610	Caust.v2_014307	gene-LOC108632572	gene-LOC117227275	gene-LOC106793656	gene-LOC107070157	Lflavo2a010677
OG0002611	Caust.v2_009648	gene-LOC108630221	gene-LOC117226955	gene-LOC106784674	gene-LOC107066475	Lflavo2a004296
OG0002612	Caust.v2_009633	gene-LOC108622656	gene-LOC117219946	gene-LOC106789553	gene-LOC107070049	Lflavo2a007068
OG0002613	Caust.v2_014670	gene-LOC108630737	gene-LOC117218479	gene-LOC106789678	gene-LOC107073824	Lflavo2a000133
OG0002616	Caust.v2_011929	gene-LOC108624195	gene-LOC117220782	gene-LOC106792969	gene-LOC107074355	Lflavo2a012908
OG0002617	Caust.v2_002092	gene-LOC108625409	gene-LOC117218099	gene-LOC106784173	gene-LOC107064613	Lflavo2a007059
OG0002618	Caust.v2_014090	gene-LOC108631796	gene-LOC117229109	gene-LOC106791732	gene-LOC107072999	Lflavo2a000343
OG0002619	Caust.v2_005412	gene-LOC108632572	gene-LOC117227274	gene-LOC106792375	gene-LOC107070852	Lflavo2a013070
OG0002620	Caust.v2_017594	gene-LOC108624506	gene-LOC117224971	gene-LOC106785140	gene-LOC107063930	Lflavo2a001569
OG0002621	Caust.v2_015900	gene-LOC108632820	gene-LOC117221444	gene-LOC106792327	gene-LOC107071847	Lflavo2a003739
OG0002622	Caust.v2_018434	gene-LOC108631485	gene-LOC117221208	gene-LOC106784173	gene-LOC107066576	Lflavo2a014123
OG0002623	Caust.v2_009010	gene-LOC108631539	gene-LOC117222182	gene-LOC106784173	gene-LOC107066249	Lflavo2a006423
OG0002624	Caust.v2_020089	gene-LOC108626592	gene-LOC117222783	gene-LOC106791169	gene-LOC107070864	Lflavo2a000953
OG0002625	Caust.v2_016859	gene-LOC108627409	gene-LOC117218268	gene-LOC106785613	gene-LOC107065935	Lflavo2a010987
OG0002626	Caust.v2_017619	gene-LOC108630416	gene-LOC117225703	gene-LOC106787851	gene-LOC107064606	Lflavo2a006364
OG0002627	Caust.v2_011659	gene-LOC108631610	gene-LOC117228718	gene-LOC106784917	gene-LOC107067583	Lflavo2a007594
OG0002628	Caust.v2_016562	gene-LOC108622130	gene-LOC117227609	gene-LOC106785556	gene-LOC107069029	Lflavo2a009397
OG0002630	Caust.v2_007712	gene-LOC108627001	gene-LOC117223736	gene-LOC106789210	gene-LOC107071223	Lflavo2a002510
OG0002631	Caust.v2_014964	gene-LOC108621939	gene-LOC117219013	gene-LOC106787484	gene-LOC107069031	Lflavo2a005163
OG0002632	Caust.v2_014895	gene-LOC108632957	gene-LOC117226586	gene-LOC106785790	gene-LOC107063710	Lflavo2a001265
OG0002633	Caust.v2_013143	gene-LOC108632572	gene-LOC117219834	gene-LOC106784461	gene-LOC107068822	Lflavo2a009888
OG0002634	Caust.v2_003396	gene-LOC108627134	gene-LOC117225846	gene-LOC106786670	gene-LOC107069772	Lflavo2a002098
OG0002636	Caust.v2_007458	gene-LOC108631013	gene-LOC117227993	gene-LOC106785713	gene-LOC107070636	Lflavo2a013240
OG0002639	Caust.v2_007188	gene-LOC108628262	gene-LOC117222030	gene-LOC106784109	gene-LOC107069204	Lflavo2a009411
OG0002640	Caust.v2_004213	gene-LOC108632572	gene-LOC117227239	gene-LOC106787243	gene-LOC107069685	Lflavo2a012107
OG0002644	Caust.v2_010219	gene-LOC108625486	gene-LOC117218548	gene-LOC106791698	gene-LOC107070293	Lflavo2a013924
OG0002646	Caust.v2_007670	gene-LOC108627628	gene-LOC117225884	gene-LOC106785049	gene-LOC107074014	Lflavo2a011285
OG0002647	Caust.v2_003971	gene-LOC108632572	gene-LOC117223530	gene-LOC106784349	gene-LOC107066590	Lflavo2a009301
OG0002648	Caust.v2_002245	gene-LOC108628791	gene-LOC117226586	gene-LOC106786984	gene-LOC107067987	Lflavo2a000924
OG0002650	Caust.v2_001443	gene-LOC108632181	gene-LOC117222408	gene-LOC106789581	gene-LOC107074041	Lflavo2a008974
OG0002651	Caust.v2_006400	gene-LOC108626453	gene-LOC117225687	gene-LOC106791145	gene-LOC107069296	Lflavo2a004276
OG0002652	Caust.v2_017557	gene-LOC108625830	gene-LOC117217349	gene-LOC106789846	gene-LOC107067242	Lflavo2a006679
OG0002653	Caust.v2_010548	gene-LOC108624339	gene-LOC117225481	gene-LOC106784607	gene-LOC107065129	Lflavo2a000760
OG0002654	Caust.v2_003847	gene-LOC108632572	gene-LOC117224745	gene-LOC106788783	gene-LOC107070271	Lflavo2a004580
OG0002655	Caust.v2_009131	gene-LOC108628888	gene-LOC117219947	gene-LOC106785722	gene-LOC107072815	Lflavo2a000317
OG0002656	Caust.v2_014565	gene-LOC108624567	gene-LOC117229311	gene-LOC106789328	gene-LOC107072669	Lflavo2a004748
OG0002657	Caust.v2_011848	gene-LOC108623617	gene-LOC117220796	gene-LOC106789228	gene-LOC107070491	Lflavo2a010173
OG0002658	Caust.v2_008661	gene-LOC108626907	gene-LOC117228396	gene-LOC106793556	gene-LOC107066198	Lflavo2a009782
OG0002659	Caust.v2_003416	gene-LOC108631994	gene-LOC117226665	gene-LOC106787408	gene-LOC107073824	Lflavo2a005478
OG0002660	Caust.v2_004667	gene-LOC108630543	gene-LOC117221099	gene-LOC106793404	gene-LOC107068253	Lflavo2a010144
OG0002661	Caust.v2_004688	gene-LOC108630689	gene-LOC117229337	gene-LOC106784173	gene-LOC107066278	Lflavo2a000448
OG0002662	Caust.v2_001567	gene-LOC108622133	gene-LOC117226586	gene-LOC106786000	gene-LOC107063783	Lflavo2a005403
OG0002663	Caust.v2_013014	gene-LOC108624211	gene-LOC117227168	gene-LOC106791944	gene-LOC107064866	Lflavo2a004664
OG0002665	Caust.v2_008768	gene-LOC108626371	gene-LOC117220212	gene-LOC106784173	gene-LOC107066038	Lflavo2a012351
OG0002666	Caust.v2_006317	gene-LOC108628883	gene-LOC117226586	gene-LOC106785948	gene-LOC107073954	Lflavo2a007632
OG0002667	Caust.v2_002724	gene-LOC108625334	gene-LOC117227669	gene-LOC106784173	gene-LOC107067886	Lflavo2a010521
OG0002668	Caust.v2_000649	gene-LOC108624000	gene-LOC117230053	gene-LOC106790510	gene-LOC107067474	Lflavo2a000592
OG0002670	Caust.v2_005805	gene-LOC108624442	gene-LOC117229466	gene-LOC106793225	gene-LOC107067653	Lflavo2a004180
OG0002671	Caust.v2_003843	gene-LOC108632572	gene-LOC117228977	gene-LOC106785757	gene-LOC107072825	Lflavo2a001537
OG0002673	Caust.v2_000014	gene-LOC108624963	gene-LOC117226786	gene-LOC106788236	gene-LOC107073824	Lflavo2a008210
OG0002674	Caust.v2_000360	gene-LOC108625647	gene-LOC117229811	gene-LOC106786486	gene-LOC107069090	Lflavo2a007751
OG0002675	Caust.v2_000402	gene-LOC108623475	gene-LOC117220181	gene-LOC106787492	gene-LOC107070878	Lflavo2a007148
OG0002677	Caust.v2_011919	gene-LOC108625828	gene-LOC117221894	gene-LOC106789854	gene-LOC107067360	Lflavo2a006687
OG0002678	Caust.v2_012432	gene-LOC108623887	gene-LOC117229480	gene-LOC106785999	gene-LOC107066772	Lflavo2a000993
OG0002679	Caust.v2_011498	gene-LOC108630086	gene-LOC117219389	gene-LOC106787979	gene-LOC107073824	Lflavo2a006719
OG0002680	Caust.v2_008889	gene-LOC108622380	gene-LOC117220234	gene-LOC106790865	gene-LOC107074447	Lflavo2a007068
OG0002681	Caust.v2_015752	gene-LOC108625039	gene-LOC117227419	gene-LOC106790797	gene-LOC107068362	Lflavo2a013407
OG0002682	Caust.v2_005598	gene-LOC108632593	gene-LOC117222705	gene-LOC106785535	gene-LOC107069007	Lflavo2a012721
OG0002683	Caust.v2_013460	gene-LOC113464972	gene-LOC117220950	gene-LOC106784173	gene-LOC107073206	Lflavo2a000484
OG0002685	Caust.v2_012785	gene-LOC108624796	gene-LOC117227335	gene-LOC106789062	gene-LOC107066007	Lflavo2a008004
OG0002687	Caust.v2_008942	gene-LOC108629191	gene-LOC117222176	gene-LOC106783890	gene-LOC107070835	Lflavo2a009472
OG0002688	Caust.v2_002149	gene-LOC108629227	gene-LOC117227687	gene-LOC106787576	gene-LOC107065334	Lflavo2a011637
OG0002689	Caust.v2_002158	gene-LOC108625671	gene-LOC117222328	gene-LOC106783898	gene-LOC107066244	Lflavo2a005317
OG0002690	Caust.v2_007560	gene-LOC108622892	gene-LOC117229023	gene-LOC106790152	gene-LOC107067457	Lflavo2a001559
OG0002691	Caust.v2_002616	gene-LOC108629364	gene-LOC117217709	gene-LOC106793456	gene-LOC107064584	Lflavo2a007068
OG0002692	Caust.v2_019265	gene-LOC108630834	gene-LOC117227318	gene-LOC106789067	gene-LOC107066043	Lflavo2a007687
OG0002695	Caust.v2_003919	gene-LOC108629956	gene-LOC117226586	gene-LOC106784237	gene-LOC107064160	Lflavo2a008146
OG0002696	Caust.v2_004853	gene-LOC108623133	gene-LOC117229851	gene-LOC106789851	gene-LOC107067362	Lflavo2a013654
OG0002697	Caust.v2_004843	gene-LOC108622835	gene-LOC117225480	gene-LOC106785636	gene-LOC107065896	Lflavo2a010793
OG0002699	Caust.v2_003785	gene-LOC108631907	gene-LOC117227242	gene-LOC106787989	gene-LOC107064471	Lflavo2a007849
OG0002700	Caust.v2_016002	gene-LOC108622065	gene-LOC117226586	gene-LOC106791911	gene-LOC107068674	Lflavo2a010103
OG0002701	Caust.v2_009532	gene-LOC108623101	gene-LOC117225057	gene-LOC106789721	gene-LOC107063673	Lflavo2a006897
OG0002705	Caust.v2_009532	gene-LOC108625275	gene-LOC117218656	gene-LOC106783614	gene-LOC107069900	Lflavo2a007061
OG0002709	Caust.v2_009532	gene-LOC108627341	gene-LOC117217998	gene-LOC106788880	gene-LOC107068304	Lflavo2a007236
OG0002711	Caust.v2_009532	gene-LOC108628194	gene-LOC117225570	gene-LOC106793652	gene-LOC107066880	Lflavo2a007738
OG0002715	Caust.v2_009532	gene-LOC108632588	gene-LOC117219037	gene-LOC106790442	gene-LOC107069854	Lflavo2a006283
OG0002717	Caust.v2_009532	gene-LOC108627551	gene-LOC117217765	gene-LOC106790994	gene-LOC107071963	Lflavo2a013941
OG0002729	Caust.v2_001658	gene-LOC108632790	gene-LOC117221085	gene-LOC106788269	gene-LOC107066676	Lflavo2a000753
OG0002731	Caust.v2_009532	gene-LOC108628589	gene-LOC117228444	gene-LOC106792007	gene-LOC107073721	Lflavo2a008427
OG0002732	Caust.v2_001080	gene-LOC108626049	gene-LOC117225471	gene-LOC106784577	gene-LOC107065160	Lflavo2a012427
OG0002733	Caust.v2_009532	gene-LOC108630707	gene-LOC117229324	gene-LOC106787635	gene-LOC107072158	Lflavo2a009065
OG0002738	Caust.v2_013299	gene-LOC108632729	gene-LOC117226993	gene-LOC106791130	gene-LOC107072195	Lflavo2a012188
OG0002739	Caust.v2_009532	gene-LOC108622394	gene-LOC117221575	gene-LOC106789856	gene-LOC107067379	Lflavo2a005120
OG0002740	Caust.v2_010627	gene-LOC108632572	gene-LOC117218407	gene-LOC106784878	gene-LOC107071949	Lflavo2a008181
OG0002741	Caust.v2_009923	gene-LOC108632572	gene-LOC117228185	gene-LOC106792068	gene-LOC107064283	Lflavo2a004604
OG0002742	Caust.v2_000989	gene-LOC108625129	gene-LOC117225582	gene-LOC106783666	gene-LOC107070020	Lflavo2a005464
OG0002743	Caust.v2_014798	gene-LOC108632572	gene-LOC117221258	gene-LOC106793376	gene-LOC107072726	Lflavo2a006900
OG0002744	Caust.v2_005084	gene-LOC108629525	gene-LOC117219162	gene-LOC106784173	gene-LOC107066949	Lflavo2a010174
OG0002746	Caust.v2_007565	gene-LOC108623758	gene-LOC117226489	gene-LOC106792460	gene-LOC107064718	Lflavo2a002618
OG0002747	Caust.v2_010590	gene-LOC113464185	gene-LOC117221152	gene-LOC106790640	gene-LOC107071418	Lflavo2a007156
OG0002749	Caust.v2_022577	gene-LOC108632572	gene-LOC117220732	gene-LOC106784879	gene-LOC107064823	Lflavo2a008171
OG0002750	Caust.v2_001711	gene-LOC108628536	gene-LOC117217879	gene-LOC106786166	gene-LOC107069686	Lflavo2a002022
