OG0003335 Caust.v2_010930 Lflavo2a009797P1 XP_014615259.1 XP_015176212.1 XP_017879800.1 XP_033340136.1
OG0003976 Caust.v2_011952 Lflavo2a008259P1 XP_014599515.1 XP_015181940.1 XP_017877007.1 XP_033342202.1
OG0003978 Caust.v2_011949 Lflavo2a003542P1 XP_014604328.1 XP_015186767.1 XP_017877074.1 XP_033323576.1
OG0003979 Caust.v2_011960 Lflavo2a009654P1 XP_014610764.1 XP_015189009.1 XP_026673853.1 XP_033323054.1
OG0003981 Caust.v2_009989 Lflavo2a001900P1 XP_014612784.1 XP_015187086.1 XP_017881521.1 XP_033331873.1
OG0003982 Caust.v2_009994 Lflavo2a010452P3 XP_014599938.1 XP_015173855.1 XP_017881458.1 XP_033331919.1
OG0003984 Caust.v2_004890 Lflavo2a011774P1 XP_014616831.1 XP_015183152.1 XP_017890284.1 XP_033330814.1
OG0003985 Caust.v2_004912 Lflavo2a006793P1 XP_014615950.1 XP_015172785.1 XP_017875480.1 XP_033336514.1
OG0003990 Caust.v2_001437 Lflavo2a012899P1 XP_014598250.1 XP_015176116.1 XP_017888891.1 XP_033329944.1
OG0003992 Caust.v2_001431 Lflavo2a003301P1 XP_014613507.1 XP_015186803.1 XP_017888798.1 XP_033327468.1
OG0003995 Caust.v2_001458 Lflavo2a001337P1 XP_014603540.1 XP_015177075.1 XP_017877232.1 XP_033337609.1
OG0003998 Caust.v2_001473 Lflavo2a010908P1 XP_014601193.1 XP_015182372.1 XP_017890395.1 XP_033341895.1
OG0004002 Caust.v2_001486 Lflavo2a006977P1 XP_014603898.1 XP_015179780.1 XP_026674673.1 XP_033332653.1
OG0004003 Caust.v2_001493 Lflavo2a011412P1 XP_014600780.1 XP_015171749.1 XP_017877125.1 XP_033330367.1
OG0004005 Caust.v2_001531 Lflavo2a009786P1 XP_014598579.1 XP_015185716.1 XP_017887110.1 XP_033321154.1
OG0004008 Caust.v2_001625 Lflavo2a004290P1 XP_014606967.1 XP_015173222.1 XP_026673687.1 XP_033337566.1
OG0004010 Caust.v2_001640 Lflavo2a011969P1 XP_014610786.1 XP_015182912.1 XP_026673726.1 XP_033337543.1
OG0004011 Caust.v2_001658 Lflavo2a000753P1 XP_014606889.1 XP_015177003.1 XP_026666539.1 XP_033327630.1
OG0004012 Caust.v2_001692 Lflavo2a000113P1 XP_014601076.1 XP_015176361.1 XP_017883386.1 XP_033337382.1
OG0004014 Caust.v2_001676 Lflavo2a012271P1 XP_014603907.1 XP_015171280.1 XP_017885394.2 XP_033337403.1
OG0004015 Caust.v2_001681 Lflavo2a012279P2 XP_014599415.1 XP_015184563.1 XP_026672589.1 XP_033337395.1
OG0004017 Caust.v2_015812 Lflavo2a002697P2 XP_014611885.1 XP_015184667.1 XP_017882288.1 XP_033323932.1
OG0004018 Caust.v2_013022 Lflavo2a008526P1 XP_014599155.1 XP_015176974.1 XP_026675079.1 XP_033339621.1
OG0004019 Caust.v2_011625 Lflavo2a010673P1 XP_014600391.1 XP_015176808.1 XP_026674690.1 XP_033341830.1
OG0004022 Caust.v2_009717 Lflavo2a003556P2 XP_014604097.1 XP_015181160.1 XP_017877223.1 XP_033338553.1
OG0004023 Caust.v2_009720 Lflavo2a004611P2 XP_014603724.1 XP_015184197.1 XP_017889982.1 XP_033335469.1
OG0004026 Caust.v2_010456 Lflavo2a013532P1 XP_014600905.1 XP_015174019.1 XP_026670628.1 XP_033320895.1
OG0004030 Caust.v2_004163 Lflavo2a010268P1 XP_014607483.1 XP_015190376.1 XP_017888230.1 XP_033341527.1
OG0004033 Caust.v2_010522 Lflavo2a010365P1 XP_014609688.1 XP_015177483.1 XP_026667180.1 XP_033329079.1
OG0004035 Caust.v2_014085 Lflavo2a008307P1 XP_014612043.1 XP_015181802.1 XP_017891032.1 XP_033321091.1
OG0004039 Caust.v2_006290 Lflavo2a012294P1 XP_014603765.1 XP_015184184.1 XP_017885978.1 XP_033340637.1
OG0004040 Caust.v2_006306 Lflavo2a010735P1 XP_014608796.1 XP_015178287.1 XP_017885833.1 XP_033331885.1
OG0004042 Caust.v2_010190 Lflavo2a001478P1 XP_014604706.1 XP_015173164.1 XP_026671389.1 XP_033342070.1
OG0004044 Caust.v2_018722 Lflavo2a013985P1 XP_014613021.1 XP_015183833.1 XP_017881026.1 XP_033322941.1
OG0004047 Caust.v2_015376 Lflavo2a003211P2 XP_014610029.1 XP_015179115.1 XP_017893627.1 XP_033336767.1
OG0004050 Caust.v2_013595 Lflavo2a004502P1 XP_014606169.1 XP_015187928.1 XP_017882013.1 XP_033339606.1
OG0004052 Caust.v2_005891 Lflavo2a007779P1 XP_014607462.1 XP_015188115.1 XP_017875765.1 XP_033341284.1
OG0004054 Caust.v2_006002 Lflavo2a013771P1 XP_014613860.1 XP_015184937.1 XP_017889643.1 XP_033341565.1
OG0004055 Caust.v2_006005 Lflavo2a012003P1 XP_014613844.1 XP_015184938.1 XP_017889808.1 XP_033341568.1
OG0004057 Caust.v2_006011 Lflavo2a012005P1 XP_014613854.1 XP_015184914.1 XP_017889504.1 XP_033321009.1
OG0004059 Caust.v2_002649 Lflavo2a009772P1 XP_014611232.1 XP_015175021.1 XP_017876048.1 XP_033330330.1
OG0004062 Caust.v2_002682 Lflavo2a000703P1 XP_014604970.1 XP_015174435.1 XP_017886315.1 XP_033321840.1
OG0004063 Caust.v2_002683 Lflavo2a004554P1 XP_014612638.1 XP_015189120.1 XP_026672030.1 XP_033325908.1
OG0004066 Caust.v2_002752 Lflavo2a001650P1 XP_014603053.1 XP_015174900.1 XP_026669656.1 XP_033323094.1
OG0004068 Caust.v2_002744 Lflavo2a002071P1 XP_014609179.1 XP_015182699.1 XP_017880713.1 XP_033326444.1
OG0004069 Caust.v2_002751 Lflavo2a010122P1 XP_014602697.1 XP_015181286.1 XP_017880840.1 XP_033321774.1
OG0004072 Caust.v2_015400 Lflavo2a007866P1 XP_014612504.1 XP_015173390.1 XP_026671829.1 XP_033336151.1
OG0004075 Caust.v2_010661 Lflavo2a008568P1 XP_014598252.1 XP_015176004.1 XP_017887879.1 XP_033330196.1
OG0004076 Caust.v2_010666 Lflavo2a010910P1 XP_014610820.1 XP_015177515.1 XP_017887977.1 XP_033340311.1
OG0004085 Caust.v2_005503 Lflavo2a005036P1 XP_014609801.1 XP_015175977.1 XP_026674240.1 XP_033326099.1
OG0004086 Caust.v2_005506 Lflavo2a011635P1 XP_014605516.1 XP_015174364.1 XP_017889357.1 XP_033340003.1
OG0004087 Caust.v2_000633 Lflavo2a012538P1 XP_014598126.1 XP_015191222.1 XP_017878704.1 XP_033335072.1
OG0004088 Caust.v2_000652 Lflavo2a002266P1 XP_014600328.1 XP_015176945.1 XP_017878618.1 XP_033342527.1
OG0004091 Caust.v2_000784 Lflavo2a001991P1 XP_014600895.1 XP_015174248.1 XP_017881071.1 XP_033334480.1
OG0004094 Caust.v2_000835 Lflavo2a009881P1 XP_014605017.1 XP_015175798.1 XP_017886273.1 XP_033335127.1
OG0004095 Caust.v2_000976 Lflavo2a006129P1 XP_014611622.1 XP_015186831.1 XP_017880398.1 XP_033342610.1
OG0004096 Caust.v2_001012 Lflavo2a003640P1 XP_014599358.1 XP_015172179.1 XP_017880325.2 XP_033332905.1
OG0004097 Caust.v2_001005 Lflavo2a005398P1 XP_014608218.1 XP_015190481.1 XP_026669434.1 XP_033334799.1
OG0004098 Caust.v2_001023 Lflavo2a009510P1 XP_014611624.1 XP_015186825.1 XP_017890609.1 XP_033335111.1
OG0004101 Caust.v2_001080 Lflavo2a012427P1 XP_014599783.1 XP_015174087.1 XP_026670452.1 XP_033334942.1
OG0004102 Caust.v2_001167 Lflavo2a013460P1 XP_014603523.1 XP_015179113.1 XP_017879803.1 XP_033332889.1
OG0004103 Caust.v2_001177 Lflavo2a013481P1 XP_014603457.1 XP_015179057.1 XP_017877321.1 XP_033339275.1
OG0004105 Caust.v2_017360 Lflavo2a000460P1 XP_014609385.1 XP_015189535.1 XP_026673285.1 XP_033328645.1
OG0004106 Caust.v2_010999 Lflavo2a014223P1 XP_014608984.1 XP_015189045.1 XP_017875868.1 XP_033322468.1
OG0004112 Caust.v2_018747 Lflavo2a011419P1 XP_014613830.1 XP_015176497.1 XP_017878376.1 XP_033335588.1
OG0004113 Caust.v2_012006 Lflavo2a000308P1 XP_014613400.1 XP_015171816.1 XP_017889272.1 XP_033324038.1
OG0004116 Caust.v2_014192 Lflavo2a004564P1 XP_014610460.1 XP_015182610.1 XP_026674293.1 XP_033339152.1
OG0004117 Caust.v2_016326 Lflavo2a007326P1 XP_014600343.1 XP_015175022.1 XP_026669145.1 XP_033340194.1
OG0004118 Caust.v2_003812 Lflavo2a000028P3 XP_014609007.1 XP_015191302.1 XP_017890494.1 XP_033342970.1
OG0004120 Caust.v2_003836 Lflavo2a012564P2 XP_014607814.1 XP_015183781.1 XP_017879971.1 XP_033334879.1
OG0004121 Caust.v2_003851 Lflavo2a011326P1 XP_014604627.1 XP_015189789.1 XP_017890479.1 XP_033342745.1
OG0004122 Caust.v2_003857 Lflavo2a005791P1 XP_014604811.1 XP_015180520.1 XP_017890538.1 XP_033342227.1
OG0004123 Caust.v2_003840 Lflavo2a009946P1 XP_014601713.1 XP_015175578.1 XP_026668797.1 XP_033329910.1
OG0004127 Caust.v2_014770 Lflavo2a011861P1 XP_014600000.1 XP_015171028.1 XP_026675339.1 XP_033329534.1
OG0004131 Caust.v2_008125 Lflavo2a011189P1 XP_014615173.1 XP_015186216.1 XP_017887609.1 XP_033326824.1
OG0004133 Caust.v2_011785 Lflavo2a009559P1 XP_014606474.1 XP_015173607.1 XP_026669791.1 XP_033339145.1
OG0004136 Caust.v2_006902 Lflavo2a013328P1 XP_014602542.1 XP_015174124.1 XP_017887536.1 XP_033340383.1
OG0004140 Caust.v2_000006 Lflavo2a008334P1 XP_014608080.1 XP_015180238.1 XP_017880052.1 XP_033327284.1
OG0004141 Caust.v2_000001 Lflavo2a004287P1 XP_014601398.1 XP_015176983.1 XP_017880075.1 XP_033337564.1
OG0004143 Caust.v2_000030 Lflavo2a013871P1 XP_014615063.1 XP_015191297.1 XP_017878085.1 XP_033337702.1
OG0004147 Caust.v2_000064 Lflavo2a012920P1 XP_014608296.1 XP_015186199.1 XP_017876026.1 XP_033327386.1
OG0004148 Caust.v2_000067 Lflavo2a013576P1 XP_014598653.1 XP_015182187.1 XP_026667386.1 XP_033337419.1
OG0004151 Caust.v2_000102 Lflavo2a012800P1 XP_014599867.1 XP_015173735.1 XP_017877506.1 XP_033341557.1
OG0004152 Caust.v2_000123 Lflavo2a012757P1 XP_014604341.1 XP_015187258.1 XP_026666817.1 XP_033323125.1
OG0004155 Caust.v2_000163 Lflavo2a014274P1 XP_014610683.1 XP_015182038.1 XP_017893389.1 XP_033331980.1
OG0004160 Caust.v2_000372 Lflavo2a007767P1 XP_014603469.1 XP_015181675.1 XP_026669887.1 XP_033342541.1
OG0004161 Caust.v2_000396 Lflavo2a002741P1 XP_014602726.1 XP_015181247.1 XP_026669909.1 XP_033339233.1
OG0004166 Caust.v2_000444 Lflavo2a005928P1 XP_014607601.1 XP_015180757.1 XP_026668087.1 XP_033332236.1
OG0004173 Caust.v2_000583 Lflavo2a004930P1 XP_014603529.1 XP_015181561.1 XP_017882412.1 XP_033329848.1
OG0004174 Caust.v2_000602 Lflavo2a010056P1 XP_014606761.1 XP_015180184.1 XP_017882494.1 XP_033329819.1
OG0004175 Caust.v2_011262 Lflavo2a011333P4 XP_014612179.1 XP_015174935.1 XP_017886720.1 XP_033338822.1
OG0004176 Caust.v2_011258 Lflavo2a011294P1 XP_014612180.1 XP_015174938.1 XP_017874992.1 XP_033338820.1
OG0004180 Caust.v2_006413 Lflavo2a007274P1 XP_014609919.1 XP_015175462.1 XP_017882612.1 XP_033338310.1
OG0004182 Caust.v2_006417 Lflavo2a007260P1 XP_014609293.1 XP_015172805.1 XP_017890006.1 XP_033338295.1
OG0004183 Caust.v2_006424 Lflavo2a000832P1 XP_014609317.1 XP_015172831.1 XP_017889977.1 XP_033338283.1
OG0004186 Caust.v2_011912 Lflavo2a007645P2 XP_014604320.1 XP_015186766.1 XP_017879425.1 XP_033325601.1
OG0004188 Caust.v2_011911 Lflavo2a002328P1 XP_014602465.1 XP_015184433.1 XP_017888200.1 XP_033328970.1
OG0004189 Caust.v2_007065 Lflavo2a005006P1 XP_014601073.1 XP_015191821.1 XP_017877882.1 XP_033333888.1
OG0004195 Caust.v2_007248 Lflavo2a005313P1 XP_014609276.1 XP_015172828.1 XP_017877876.1 XP_033327218.1
OG0004197 Caust.v2_015231 Lflavo2a012950P1 XP_014598464.1 XP_015181934.1 XP_017890672.2 XP_033325198.1
OG0004199 Caust.v2_012439 Lflavo2a000996P1 XP_014605113.1 XP_015187779.1 XP_017879259.1 XP_033341866.1
OG0004201 Caust.v2_011426 Lflavo2a001144P1 XP_014614600.1 XP_015178469.1 XP_026675639.1 XP_033330723.1
OG0004210 Caust.v2_008047 Lflavo2a009434P1 XP_014600687.1 XP_015171441.1 XP_026671940.1 XP_033323889.1
OG0004213 Caust.v2_013676 Lflavo2a001577P1 XP_014610647.1 XP_015182988.1 XP_017884279.1 XP_033321542.1
OG0004216 Caust.v2_006118 Lflavo2a012996P1 XP_014614871.1 XP_015191042.1 XP_017888145.1 XP_033335798.1
OG0004221 Caust.v2_007578 Lflavo2a007222P1 XP_014616782.1 XP_015183126.1 XP_017877872.1 XP_033332167.1
OG0004223 Caust.v2_007573 Lflavo2a007248P1 XP_014597773.1 XP_015175461.1 XP_017877924.1 XP_033322570.1
OG0004224 Caust.v2_015753 Lflavo2a011029P1 XP_014601128.1 XP_015181535.1 XP_017880229.1 XP_033322472.1
OG0004225 Caust.v2_005596 Lflavo2a003862P1 XP_014601607.1 XP_015181387.1 XP_017892747.1 XP_033330440.1
OG0004228 Caust.v2_021306 Lflavo2a003140P1 XP_014604035.1 XP_015178540.1 XP_026669128.1 XP_033328828.1
OG0004229 Caust.v2_021818 Lflavo2a007437P1 XP_014602955.1 XP_015175198.1 XP_017887330.1 XP_033321811.1
OG0004231 Caust.v2_011356 Lflavo2a013199P1 XP_014606976.1 XP_015177074.1 XP_017888563.1 XP_033334832.1
OG0004236 Caust.v2_007367 Lflavo2a011397P1 XP_014609987.1 XP_015178586.1 XP_026670395.1 XP_033339927.1
OG0004243 Caust.v2_011053 Lflavo2a010216P1 XP_014603824.1 XP_015184245.1 XP_017877807.1 XP_033338042.1
OG0004247 Caust.v2_009257 Lflavo2a009990P1 XP_014610440.1 XP_015183827.1 XP_017890401.1 XP_033340130.1
OG0004248 Caust.v2_009258 Lflavo2a009992P1 XP_014610441.1 XP_015183828.1 XP_026674489.1 XP_033340133.1
OG0004250 Caust.v2_003633 Lflavo2a010381P1 XP_014615513.1 XP_015178745.1 XP_017884744.1 XP_033329600.1
OG0004253 Caust.v2_003689 Lflavo2a010704P1 XP_014606215.1 XP_015183806.1 XP_017880095.1 XP_033329270.1
OG0004254 Caust.v2_003691 Lflavo2a010718P1 XP_014606228.1 XP_015183871.1 XP_017879427.1 XP_033329484.1
OG0004255 Caust.v2_003694 Lflavo2a010683P1 XP_014606224.1 XP_015183894.1 XP_017879661.1 XP_033329359.1
OG0004256 Caust.v2_019974 Lflavo2a003384P1 XP_014597807.1 XP_015183108.1 XP_017884783.1 XP_033335884.1
OG0004262 Caust.v2_016936 Lflavo2a000192P1 XP_014607666.1 XP_015180739.1 XP_017881495.1 XP_033330361.1
OG0004267 Caust.v2_013479 Lflavo2a012931P1 XP_014601709.1 XP_015175496.1 XP_017885182.1 XP_033340250.1
OG0004268 Caust.v2_010791 Lflavo2a000511P1 XP_014604086.1 XP_015181129.1 XP_026666813.1 XP_033330218.1
OG0004269 Caust.v2_010776 Lflavo2a000334P2 XP_014613464.1 XP_015187435.1 XP_017893379.1 XP_033330271.1
OG0004270 Caust.v2_010779 Lflavo2a000567P1 XP_014611895.1 XP_015181098.1 XP_017893440.1 XP_033330255.1
OG0004275 Caust.v2_004458 Lflavo2a012860P1 XP_014599068.1 XP_015172114.1 XP_026670152.1 XP_033338082.1
OG0004280 Caust.v2_005949 Lflavo2a008730P1 XP_014599001.1 XP_015188720.1 XP_017875919.1 XP_033320809.1
OG0004283 Caust.v2_005961 Lflavo2a008436P1 XP_014606921.1 XP_015173528.1 XP_017884086.1 XP_033321111.1
OG0004285 Caust.v2_002400 Lflavo2a004394P1 XP_014602567.1 XP_015174074.1 XP_017889467.1 XP_033324638.1
OG0004286 Caust.v2_002412 Lflavo2a011829P1 XP_014612143.1 XP_015186471.1 XP_017886300.1 XP_033340115.1
OG0004287 Caust.v2_002414 Lflavo2a011863P1 XP_014612145.1 XP_015186475.1 XP_017886462.1 XP_033340132.1
OG0004289 Caust.v2_002429 Lflavo2a011792P1 XP_014610170.1 XP_015188175.1 XP_017889512.1 XP_033340790.1
OG0004299 Caust.v2_004061 Lflavo2a009479P2 XP_014612331.1 XP_015175832.1 XP_026671704.1 XP_033336619.1
OG0004302 Caust.v2_004076 Lflavo2a012683P1 XP_014607041.1 XP_015179534.1 XP_017884484.1 XP_033336653.1
OG0004303 Caust.v2_004078 Lflavo2a009478P1 XP_014609445.1 XP_015190825.1 XP_017885039.1 XP_033330945.1
OG0004307 Caust.v2_014289 Lflavo2a008262P1 XP_014602508.1 XP_015184376.1 XP_017883573.1 XP_033324042.1
OG0004309 Caust.v2_014293 Lflavo2a004543P1 XP_014610266.1 XP_015171965.1 XP_017883518.1 XP_033339203.1
OG0004312 Caust.v2_018290 Lflavo2a014162P2 XP_014600340.1 XP_015176709.1 XP_026671362.1 XP_033329155.1
OG0004313 Caust.v2_013111 Lflavo2a000878P1 XP_014608916.1 XP_015188282.1 XP_026675035.1 XP_033338176.1
OG0004316 Caust.v2_008993 Lflavo2a010255P1 XP_014600381.1 XP_015175802.1 XP_017891105.1 XP_033329259.1
OG0004320 Caust.v2_005650 Lflavo2a012237P1 XP_014616345.1 XP_015177493.1 XP_017882047.1 XP_033325935.1
OG0004323 Caust.v2_002018 Lflavo2a008771P1 XP_014606655.1 XP_015176244.1 XP_026672252.1 XP_033330142.1
OG0004324 Caust.v2_002026 Lflavo2a012743P1 XP_014601411.1 XP_015185756.1 XP_017881331.1 XP_033330197.1
OG0004325 Caust.v2_002057 Lflavo2a013414P1 XP_014601005.1 XP_015174134.1 XP_026669739.1 XP_033339019.1
OG0004327 Caust.v2_002079 Lflavo2a003259P1 XP_014606444.1 XP_015171873.1 XP_017880869.1 XP_033322058.1
OG0004332 Caust.v2_010589 Lflavo2a007154P1 XP_014611168.1 XP_015185890.1 XP_017878107.1 XP_033327756.1
OG0004333 Caust.v2_010590 Lflavo2a007156P1 XP_014611190.1 XP_015185891.1 XP_026668427.1 XP_033327758.1
OG0004337 Caust.v2_011195 Lflavo2a010200P1 XP_014609705.1 XP_015171783.1 XP_017883066.1 XP_033327992.1
OG0004339 Caust.v2_015699 Lflavo2a011490P1 XP_014615308.1 XP_015186330.1 XP_026669363.1 XP_033338766.1
OG0004341 Caust.v2_004474 Lflavo2a011026P1 XP_014612559.1 XP_015181228.1 XP_017891355.1 XP_033332892.1
OG0004347 Caust.v2_006260 Lflavo2a005451P1 XP_014616057.1 XP_015171469.1 XP_026667817.1 XP_033330715.1
OG0004348 Caust.v2_006263 Lflavo2a010130P1 XP_014616800.1 XP_015187695.1 XP_017876856.1 XP_033331969.1
OG0004349 Caust.v2_007535 Lflavo2a002240P1 XP_014609732.1 XP_015182535.1 XP_017876466.1 XP_033339327.1
OG0004350 Caust.v2_017121 Lflavo2a000158P1 XP_014601548.1 XP_015181507.1 XP_017881867.1 XP_033337038.1
OG0004352 Caust.v2_015656 Lflavo2a010914P1 XP_014610836.1 XP_015177528.1 XP_017887991.1 XP_033340305.1
OG0004356 Caust.v2_008089 Lflavo2a012002P1 XP_014600532.1 XP_015190556.1 XP_017888944.1 XP_033341370.1
OG0004358 Caust.v2_008101 Lflavo2a011457P2 XP_014600800.1 XP_015171686.1 XP_017889056.1 XP_033322915.1
OG0004359 Caust.v2_005852 Lflavo2a007886P1 XP_014605993.1 XP_015173089.1 XP_017879902.1 XP_033335274.1
OG0004360 Caust.v2_005878 Lflavo2a003333P3 XP_014610707.1 XP_015185174.1 XP_017875325.1 XP_033326284.1
OG0004362 Caust.v2_019792 Lflavo2a009943P1 XP_014599857.1 XP_015173762.1 XP_026667108.1 XP_033332178.1
OG0004364 Caust.v2_002506 Lflavo2a013250P1 XP_014613592.1 XP_015173569.1 XP_017891842.1 XP_033336537.1
OG0004369 Caust.v2_002553 Lflavo2a011085P1 XP_014611221.1 XP_015175081.1 XP_017881160.2 XP_033339113.1
OG0004370 Caust.v2_002555 Lflavo2a000266P1 XP_014600838.1 XP_015171507.1 XP_026667332.1 XP_033322257.1
OG0004371 Caust.v2_002549 Lflavo2a006898P1 XP_014599355.1 XP_015187562.1 XP_017881870.1 XP_033339205.1
OG0004372 Caust.v2_002558 Lflavo2a000304P1 XP_014600839.1 XP_015171506.1 XP_017875891.1 XP_033322220.1
OG0004374 Caust.v2_013921 Lflavo2a012096P3 XP_014610576.1 XP_015187489.1 XP_017877657.1 XP_033337859.1
OG0004375 Caust.v2_006742 Lflavo2a012820P2 XP_014610275.1 XP_015171992.1 XP_017883116.1 XP_033324137.1
OG0004376 Caust.v2_006756 Lflavo2a008741P1 XP_014609888.1 XP_015177856.1 XP_017883047.1 XP_033321347.1
OG0004379 Caust.v2_006768 Lflavo2a002687P1 XP_014602261.1 XP_015187958.1 XP_017883587.1 XP_033324287.1
OG0004380 Caust.v2_015462 Lflavo2a001310P1 XP_014616139.1 XP_015185639.1 XP_017888953.1 XP_033323098.1
OG0004381 Caust.v2_012258 Lflavo2a001062P1 XP_014610790.1 XP_015182998.1 XP_017892731.1 XP_033323723.1
OG0004382 Caust.v2_013463 Lflavo2a000531P1 XP_014607130.1 XP_015189254.1 XP_017888791.1 XP_033327336.1
OG0004384 Caust.v2_022181 Lflavo2a005970P1 XP_014604907.1 XP_015180497.1 XP_017881011.1 XP_033327231.1
OG0004389 Caust.v2_004741 Lflavo2a005783P1 XP_014604100.1 XP_015181167.1 XP_017893372.1 XP_033330125.1
OG0004397 Caust.v2_015535 Lflavo2a001401P1 XP_014614207.1 XP_015190697.1 XP_017879835.1 XP_033332142.1
OG0004399 Caust.v2_003216 Lflavo2a008100P1 XP_014599080.1 XP_015176621.1 XP_017886297.1 XP_033322261.1
OG0004401 Caust.v2_003281 Lflavo2a003072P1 XP_014604392.1 XP_015179469.1 XP_017889544.2 XP_033324931.1
OG0004402 Caust.v2_003277 Lflavo2a000919P2 XP_014604424.1 XP_015179457.1 XP_017889537.1 XP_033322191.1
OG0004403 Caust.v2_003064 Lflavo2a011925P1 XP_014599228.1 XP_015181753.1 XP_017883952.1 XP_033334433.1
OG0004404 Caust.v2_003102 Lflavo2a001593P1 XP_014611326.1 XP_015180190.1 XP_017878500.1 XP_033342707.1
OG0004405 Caust.v2_003099 Lflavo2a006302P1 XP_014605629.1 XP_015190017.1 XP_017878502.1 XP_033342867.1
OG0004406 Caust.v2_003129 Lflavo2a012631P1 XP_014615129.1 XP_015191403.1 XP_026667499.1 XP_033334595.1
OG0004407 Caust.v2_003131 Lflavo2a012622P1 XP_014614547.1 XP_015190977.1 XP_017876263.1 XP_033334682.1
OG0004408 Caust.v2_003132 Lflavo2a012533P1 XP_014615149.1 XP_015191231.1 XP_017876279.1 XP_033335035.1
OG0004410 Caust.v2_014140 Lflavo2a006321P1 XP_014606144.1 XP_015190403.1 XP_017875739.1 XP_033341073.1
OG0004415 Caust.v2_021926 Lflavo2a000354P1 XP_014599952.1 XP_015173240.1 XP_017891455.1 XP_033341633.1
OG0004417 Caust.v2_015120 Lflavo2a000669P1 XP_014597999.1 XP_015177825.1 XP_026671378.1 XP_033324444.1
OG0004420 Caust.v2_003958 Lflavo2a010638P1 XP_014610995.1 XP_015191156.1 XP_017887134.1 XP_033325655.1
OG0004421 Caust.v2_012071 Lflavo2a005349P1 XP_014615114.1 XP_015187249.1 XP_017877613.1 XP_033333510.1
OG0004427 Caust.v2_009430 Lflavo2a004140P1 XP_014615297.1 XP_015186278.1 XP_017876135.1 XP_033326221.1
OG0004429 Caust.v2_004873 Lflavo2a003646P1 XP_014603909.1 XP_015179641.1 XP_026667129.1 XP_033335778.1
OG0004431 Caust.v2_003724 Lflavo2a006271P1 XP_014610759.1 XP_015185337.1 XP_026669556.1 XP_033330570.1
OG0004432 Caust.v2_003761 Lflavo2a011023P1 XP_014604767.1 XP_015179506.1 XP_017890906.1 XP_033321550.1
OG0004433 Caust.v2_003768 Lflavo2a003012P1 XP_014604784.1 XP_015179484.1 XP_026674940.1 XP_033321472.1
OG0004435 Caust.v2_017818 Lflavo2a010776P1 XP_014601323.1 XP_015185796.1 XP_026673632.1 XP_033329741.1
OG0004436 Caust.v2_012449 Lflavo2a003264P1 XP_014610533.1 XP_015179349.1 XP_017879415.1 XP_033333911.1
OG0004437 Caust.v2_012457 Lflavo2a000429P1 XP_014614514.1 XP_015184655.1 XP_017879492.1 XP_033329599.1
OG0004438 Caust.v2_015852 Lflavo2a002569P1 XP_014611864.1 XP_015174006.1 XP_017877692.2 XP_033322975.1
OG0004439 Caust.v2_015853 Lflavo2a002654P1 XP_014611866.1 XP_015174671.1 XP_017877694.1 XP_033323031.1
OG0004443 Caust.v2_009576 Lflavo2a013858P1 XP_014615080.1 XP_015191468.1 XP_017882295.1 XP_033333627.1
OG0004445 Caust.v2_017691 Lflavo2a003429P1 XP_014598610.1 XP_015182147.1 XP_017887741.2 XP_033322606.1
OG0004447 Caust.v2_010415 Lflavo2a011728P1 XP_014598452.1 XP_015176159.1 XP_017889172.1 XP_033328759.1
OG0004449 Caust.v2_019918 Lflavo2a004974P3 XP_014614484.1 XP_015189518.1 XP_017885655.1 XP_033321301.1
