Orthogroup	Apis_mellifera-longest-isoforms	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Drosophila_melanogaster	Megalopta_genalis-longest-isoforms
OG0000493	XP_016770725.1, XP_016770727.1, XP_016770728.1	Caust.v2_003856	XP_017890595.1, XP_017890599.1, XP_017890600.1, XP_017890601.1, XP_017890603.1	FBgn0032473, FBgn0262160	XP_033342248.1
OG0000494	XP_016771094.1, XP_026300087.1, XP_026300088.1, XP_392624.5	Caust.v2_012230, Caust.v2_018405	XP_017890661.1, XP_026674605.1	FBgn0086908, FBgn0262103	XP_033332468.1, XP_033332470.1
OG0000495	XP_016771512.2, XP_016771514.2, XP_392015.3	Caust.v2_016781, Caust.v2_016786, Caust.v2_021599	XP_017875447.1, XP_026667131.1, XP_026667134.1, XP_026667137.1	FBgn0051116	XP_033336268.1
OG0000496	XP_016772474.2	Caust.v2_008625, Caust.v2_008630, Caust.v2_019763, Caust.v2_021215	XP_017886209.1, XP_026670486.1	FBgn0015609, FBgn0262018	XP_033339365.1, XP_033339374.1, XP_033339375.1
OG0000497	XP_016772523.1, XP_026299472.1	Caust.v2_003128	XP_017876261.1, XP_026671104.1	FBgn0030525, FBgn0032372, FBgn0035679, FBgn0043783, FBgn0052445	XP_033324369.1, XP_033324388.1
OG0000498	XP_016773222.2, XP_026298377.1, XP_392119.3	Caust.v2_007418	XP_017888284.1, XP_017888285.1, XP_026673431.1, XP_026673432.1, XP_026673433.1, XP_026673434.1	FBgn0020622	XP_033341421.1
OG0000499	XP_026294891.1, XP_026294892.1, XP_026294893.1	Caust.v2_014307	XP_026667520.1	FBgn0031002, FBgn0031011, FBgn0031012, FBgn0034063, FBgn0259834	XP_033324547.1, XP_033330635.1
OG0000500	XP_026295467.1, XP_026295468.1, XP_026295469.1, XP_026295471.1, XP_026295472.1, XP_026295475.1	Caust.v2_005374	XP_017887095.1, XP_026672897.1	FBgn0036663	XP_033321884.1, XP_033321890.1
OG0000501	XP_026295670.1, XP_026295671.1, XP_026295673.1		XP_017893532.1, XP_026666712.1, XP_026666713.1, XP_026666714.1, XP_026666715.1, XP_026666716.1	FBgn0037955	XP_033321815.1, XP_033321821.1
OG0000502	XP_026295927.1	Caust.v2_019591, Caust.v2_019605	XP_017891685.1, XP_026675072.1, XP_026675073.1, XP_026675074.1, XP_026675075.1, XP_026675076.1	FBgn0031275	XP_033338057.1, XP_033338058.1
OG0000503	XP_026295940.1		XP_026675050.1, XP_026675051.1, XP_026675053.1, XP_026675054.1, XP_026675055.1, XP_026675057.1, XP_026675058.1	FBgn0265988	XP_033336906.1, XP_033336909.1, XP_033337090.1
OG0000504	XP_026296037.1, XP_026296038.1, XP_026296039.1, XP_026296040.1	Caust.v2_004417	XP_017885797.1, XP_017885798.1, XP_017885799.1, XP_026672264.1	FBgn0010482	XP_033329789.1, XP_033329793.1
OG0000505	XP_026296778.1, XP_026296779.1	Caust.v2_014734	XP_017878279.1, XP_017878286.1, XP_017878316.1, XP_026668272.1, XP_026668275.1, XP_026668284.1	FBgn0261561	XP_033339666.1, XP_033339670.1
OG0000506	XP_026296782.1	Caust.v2_015677, Caust.v2_018174, Caust.v2_020505, Caust.v2_021089	XP_017891959.1, XP_017891960.1, XP_026675251.1, XP_026675252.1	FBgn0001134, FBgn0030707	XP_033337535.1
OG0000507	XP_026296841.1	Caust.v2_006527, Caust.v2_006528, Caust.v2_020032, Caust.v2_020683	XP_017891585.1, XP_017891586.1, XP_026675015.1, XP_026675016.1	FBgn0038532	XP_033328164.1, XP_033328165.1
OG0000508	XP_026296931.1	Caust.v2_015702	XP_017889060.1, XP_017889069.1, XP_017889078.1, XP_026674065.1	FBgn0000287, FBgn0036522, FBgn0261648	XP_033325539.1, XP_033325540.1, XP_033325542.1
OG0000509	XP_026297157.1, XP_026297158.1	Caust.v2_013522	XP_017878668.1, XP_017878669.1, XP_026668667.1, XP_026668668.1	FBgn0031016, FBgn0032484	XP_033323687.1, XP_033323689.1, XP_033323694.1
OG0000510	XP_026297477.1, XP_396475.5	Caust.v2_009734, Caust.v2_009739, Caust.v2_009741	XP_026671998.1, XP_026671999.1, XP_026672000.1, XP_026672001.1, XP_026672003.1	FBgn0261555	XP_033328372.1
OG0000511	XP_026297660.1, XP_026297662.1, XP_026297663.1	Caust.v2_013318	XP_017887947.1, XP_017887948.1, XP_017887949.1, XP_017887951.1, XP_017887952.1	FBgn0016081	XP_033331926.1, XP_033331939.1
OG0000512	XP_026297882.1, XP_026297883.1, XP_026297887.1, XP_026297888.1, XP_026297889.1	Caust.v2_012468, Caust.v2_012469, Caust.v2_019493	XP_017878880.1, XP_026668766.1	FBgn0036333	XP_033323280.1
OG0000513	XP_026298321.1, XP_026298326.1	Caust.v2_011573	XP_017891072.1, XP_017891075.1, XP_017891076.1, XP_017891077.1, XP_017891078.1, XP_026674784.1, XP_026674785.1	FBgn0033194	XP_033339311.1
OG0000514	XP_026298405.1, XP_026298407.1, XP_026298409.1, XP_026298413.1	Caust.v2_005477	XP_017888266.1, XP_017888268.1, XP_017888269.1, XP_017888270.1, XP_017888272.1	FBgn0005564	XP_033341396.1
OG0000515	XP_026298643.1, XP_026298645.1, XP_026298650.1, XP_026298651.1, XP_026298652.1	Caust.v2_000537	XP_017881320.1, XP_026669899.1, XP_026669900.1	FBgn0010548	XP_033321157.1, XP_033321158.1
OG0000516	XP_026298966.1, XP_026298967.1, XP_026298968.1	Caust.v2_005570, Caust.v2_005572		FBgn0029890, FBgn0036162, FBgn0051874, FBgn0286222	XP_033325509.1, XP_033325510.1, XP_033325511.1
OG0000517	XP_026299352.1, XP_026299353.1, XP_624060.4	Caust.v2_001014	XP_017880326.1, XP_017880327.1, XP_017880328.1, XP_017880330.1	FBgn0029840	XP_033335010.1, XP_033335020.1, XP_033335030.1
OG0000518	XP_026299548.1, XP_026301209.1	Caust.v2_006024, Caust.v2_018057	XP_017889554.1, XP_026673985.1, XP_026673986.1, XP_026673987.1, XP_026673989.1	FBgn0039201	XP_033322480.1, XP_033341609.1
OG0000519	XP_026299711.1, XP_392911.2		XP_017882206.1, XP_017882214.1, XP_017882232.1, XP_017882241.1, XP_017882250.1, XP_017882270.1, XP_017882279.1	FBgn0031637	XP_033342474.1, XP_033342475.1
OG0000520	XP_026299833.1, XP_026299835.1, XP_026299836.1, XP_026299837.1, XP_026299839.1, XP_026299840.1, XP_026299841.1	Caust.v2_017167	XP_017875093.1, XP_017875094.1, XP_017875095.1	FBgn0036043	
OG0000521	XP_026299956.1, XP_026299957.1	Caust.v2_005835, Caust.v2_018769, Caust.v2_020137, Caust.v2_021797	XP_026672623.1	FBgn0285926	XP_033331353.1, XP_033331354.1, XP_033331356.1, XP_033331357.1
OG0000522	XP_026300029.1, XP_026300031.1, XP_026300033.1, XP_026300034.1, XP_026300035.1	Caust.v2_006446	XP_026672626.1, XP_026672627.1, XP_026672629.1, XP_026672631.1	FBgn0030089	XP_033338514.1
OG0000523	XP_026300117.1, XP_026300119.1, XP_026300134.1, XP_026300140.1, XP_026300143.1	Caust.v2_009583	XP_017884433.1, XP_026671870.1, XP_026671873.1, XP_026671875.1	FBgn0038659	XP_033335597.1
OG0000524	XP_026300247.1, XP_026300248.1, XP_026300249.1	Caust.v2_014313, Caust.v2_016617	XP_017880258.1, XP_017880259.1, XP_017880263.1, XP_026669328.1	FBgn0033846	XP_033338663.1, XP_033338665.1
OG0000525	XP_026300273.1	Caust.v2_015830, Caust.v2_017099, Caust.v2_020072, Caust.v2_020073, Caust.v2_022283	XP_026667999.1	FBgn0001316, FBgn0262139	XP_033330020.1, XP_033330024.1, XP_033330095.1
OG0000526	XP_026300561.1, XP_026300562.1, XP_026300564.1, XP_026300566.1, XP_026300567.1	Caust.v2_007944	XP_017880927.1, XP_026669742.1, XP_026669743.1, XP_026669744.1	FBgn0261397	XP_033330286.1
OG0000527	XP_026300939.1, XP_026300940.1, XP_026300941.1, XP_392006.3	Caust.v2_011210, Caust.v2_011213	XP_026675311.1, XP_026675312.1, XP_026675314.1	FBgn0035851	XP_033336246.1, XP_033336247.1
OG0000528	XP_026300943.1, XP_026300944.1, XP_026300945.1, XP_026300946.1	Caust.v2_007860	XP_017884765.1, XP_026671714.1, XP_026671715.1, XP_026671716.1, XP_026671718.1	FBgn0261554	XP_033335868.1
OG0000529	XP_026301020.1, XP_026301022.1, XP_026301023.1, XP_026301026.1, XP_026301028.1	Caust.v2_004927	XP_017884827.1, XP_017884828.1, XP_017884832.1, XP_017884833.1	FBgn0004395	XP_033330883.1
OG0000530	XP_026302246.1	Caust.v2_006624, Caust.v2_006988, Caust.v2_021130, Caust.v2_021144	XP_017881717.1, XP_017881726.1, XP_026669762.1	FBgn0262738	XP_033339161.1, XP_033339162.1, XP_033339480.1
OG0000531	XP_392390.1	Caust.v2_007234	XP_026669350.1, XP_026669351.1, XP_026669352.1, XP_026669353.1, XP_026669354.1	FBgn0015781, FBgn0038516	XP_033332377.1, XP_033338549.1, XP_033338551.1
OG0000532	XP_393772.4, XP_623520.4	Caust.v2_006384, Caust.v2_008181	XP_017884840.1, XP_026672452.1	FBgn0039420, FBgn0261804, FBgn0266100	XP_033323609.1, XP_033323610.1, XP_033331879.1
OG0000533	XP_394018.2	Caust.v2_004046	XP_017884501.1, XP_017884502.1, XP_017884505.1, XP_017884508.1, XP_026671517.1	FBgn0033538, FBgn0034225, FBgn0050103, FBgn0050104	XP_033336682.1
OG0000534	XP_394855.4, XP_395697.2	Caust.v2_010883, Caust.v2_021947	XP_017880113.1, XP_026669344.1	FBgn0010501, FBgn0019972, FBgn0028381	XP_033332397.1, XP_033338475.1, XP_033339920.1
OG0000535		Caust.v2_010918, Caust.v2_010924	XP_017876093.1, XP_017876097.1, XP_017876098.1, XP_017876099.1, XP_017876100.1, XP_017876104.1, XP_026667440.1	FBgn0037012, FBgn0037015	XP_033341456.1
OG0000536		Caust.v2_007948, Caust.v2_021563	XP_017880838.1, XP_017880937.1, XP_017880939.1	FBgn0015776, FBgn0015777, FBgn0032946, FBgn0038690, FBgn0038691, FBgn0053310	XP_033341699.1
OG0000537		Caust.v2_006055	XP_017881585.1, XP_017881588.1, XP_026670064.1, XP_026670070.1, XP_026670071.1, XP_026670072.1, XP_026670073.1, XP_026670074.1	FBgn0085420	XP_033341194.1, XP_033341197.1
OG0000538		Caust.v2_013519, Caust.v2_021450	XP_017886138.1, XP_017886148.1, XP_017886156.1, XP_026672653.1, XP_026672678.1	FBgn0031851, FBgn0263198	XP_033325602.1, XP_033339781.1, XP_033339782.1
OG0000539		Caust.v2_017518	XP_017885703.1, XP_017885706.1, XP_017885710.1, XP_026672212.1, XP_026672214.1, XP_026672215.1	FBgn0019968	XP_033321006.1, XP_033321007.1, XP_033321010.1, XP_033321011.1
OG0000540		Caust.v2_007962, Caust.v2_017529	XP_017876967.1, XP_017876968.1	FBgn0041180, FBgn0041181, FBgn0041182, FBgn0041183	XP_033333651.1, XP_033333652.1, XP_033333653.1, XP_033333659.1
OG0000541		Caust.v2_017399, Caust.v2_019088, Caust.v2_020923	XP_017884135.1, XP_017884138.1, XP_017884141.1, XP_017884145.1, XP_026671383.1, XP_026671384.1	FBgn0033250	XP_033330028.1, XP_033330029.1
OG0000542			XP_026667334.1	FBgn0053143	XP_033324691.1, XP_033324779.1, XP_033324863.1, XP_033324945.1, XP_033325291.1, XP_033325442.1, XP_033325520.1, XP_033325603.1, XP_033325760.1, XP_033325837.1
OG0000543				FBgn0033733, FBgn0034552, FBgn0034553, FBgn0035006, FBgn0035641, FBgn0035642, FBgn0037996, FBgn0038730, FBgn0038731, FBgn0038732, FBgn0038733, FBgn0038734	
OG0000544				FBgn0030163, FBgn0030164, FBgn0030880, FBgn0031804, FBgn0033312, FBgn0034160, FBgn0035452, FBgn0036929, FBgn0038365, FBgn0050280, FBgn0050281, FBgn0051832	
OG0000545				FBgn0020637, FBgn0020638, FBgn0020639, FBgn0020640, FBgn0020641, FBgn0020642, FBgn0020643, FBgn0020644, FBgn0020645, FBgn0042118, FBgn0086611, FBgn0086900	
OG0000546	NP_001011563.1, NP_001119716.1	Caust.v2_008745, Caust.v2_008748	XP_017878197.1, XP_017882448.1, XP_026670613.1	FBgn0000592, FBgn0000594, FBgn0029690	XP_033321839.1
OG0000547	NP_001011568.1, XP_016768775.2, XP_026297796.1, XP_026297797.1, XP_026297802.1	Caust.v2_009876	XP_017885483.1, XP_017885484.1	FBgn0263397	XP_033333128.1, XP_033333136.1
OG0000548	NP_001011596.1, XP_026299915.1, XP_026299917.1, XP_026299918.1, XP_026299921.1	Caust.v2_005856, Caust.v2_005857, Caust.v2_005858		FBgn0003068	XP_033325155.1, XP_033325159.1
OG0000549	NP_001011628.1, NP_001014993.1, XP_006569954.1	Caust.v2_015420	XP_026670731.1, XP_026670734.1	FBgn0000557, FBgn0284245	XP_033322850.1, XP_033322859.1, XP_033322868.1
OG0000550	NP_001011643.1	Caust.v2_009433	XP_017875158.1, XP_017875160.1, XP_017875161.1, XP_017876164.1	FBgn0039915	XP_033326151.1, XP_033326155.1, XP_033331054.1, XP_033331055.1
OG0000551	NP_001091693.1	Caust.v2_006902, Caust.v2_013848	XP_017887536.1	FBgn0004034, FBgn0038105, FBgn0039896, FBgn0041710, FBgn0041713	XP_033324553.1, XP_033340383.1
OG0000552	NP_001155985.1, XP_026295123.1, XP_026295124.1	Caust.v2_006381, Caust.v2_022601	XP_017885324.1, XP_017885342.1, XP_017885359.1	FBgn0026379	XP_033321641.1, XP_033321642.1
OG0000553	NP_001229913.1, XP_006563549.2, XP_016772002.2, XP_016772004.2	Caust.v2_021606	XP_017889350.1, XP_026674182.1, XP_026674208.1, XP_026674209.1		XP_033339803.1, XP_033339806.1
OG0000554	XP_001120289.2, XP_006564858.1, XP_026296846.1	Caust.v2_007685, Caust.v2_020170, Caust.v2_022482	XP_017883535.1, XP_017883537.1, XP_017883539.1	FBgn0039277	XP_033333978.1
OG0000555	XP_001120383.2, XP_006558471.1, XP_016766596.1, XP_016766597.1	Caust.v2_002736	XP_017880715.1	FBgn0003656	XP_033340249.1, XP_033340329.1, XP_033340410.1, XP_033340498.1
OG0000556	XP_001121177.2, XP_006562003.1	Caust.v2_008510	XP_017891288.1, XP_017891292.1, XP_026674874.1, XP_026674875.1, XP_026674877.1	FBgn0029861	XP_033331704.1, XP_033331707.1
OG0000557	XP_001122053.2, XP_006557409.1, XP_016767497.1		XP_026668740.1, XP_026668741.1, XP_026668742.1, XP_026668743.1, XP_026668746.1, XP_026668747.1, XP_026668748.1		XP_033326803.1
OG0000558	XP_003250051.2, XP_016771426.1	Caust.v2_010874, Caust.v2_014322	XP_026672114.1, XP_026675560.1	FBgn0036279, FBgn0051547	XP_033325034.1, XP_033326430.1, XP_033326433.1
OG0000559	XP_003250061.2	Caust.v2_000146	XP_017881098.1, XP_017881099.1, XP_017889788.1, XP_026666719.1, XP_026666720.1	FBgn0260942	XP_033329994.1, XP_033330079.1, XP_033332539.1
OG0000560	XP_003250600.1, XP_006565241.1, XP_016770919.1, XP_026300109.1, XP_624665.2	Caust.v2_011487	XP_026673591.1, XP_026673593.1, XP_026673606.1	FBgn0033246	XP_033325005.1
OG0000561	XP_003251645.1, XP_006570822.1, XP_006570823.1, XP_016766806.1		XP_017889072.1, XP_017889075.1, XP_026673835.1, XP_026673837.1	FBgn0037702	XP_033341218.1, XP_033341219.1
OG0000562	XP_006557287.1	Caust.v2_004330	XP_017883498.1, XP_026671035.1, XP_026671036.1, XP_026671037.1	FBgn0004360, FBgn0038134	XP_033324641.1, XP_033324648.1, XP_033324664.1
OG0000563	XP_006557348.1, XP_026301662.1, XP_026301663.1, XP_395046.3	Caust.v2_003351	XP_017883654.1, XP_017883655.1, XP_017883656.1, XP_017883657.1	FBgn0039908	XP_033338834.1
OG0000564	XP_006557720.1	Caust.v2_016495	XP_017892919.1, XP_026666466.1, XP_026666468.1, XP_026666469.1, XP_026666470.1		XP_033330674.1, XP_033330675.1, XP_033330677.1, XP_033330678.1
OG0000565	XP_006557783.1, XP_006557784.1, XP_006557786.1, XP_006557790.1, XP_006557791.1, XP_026301723.1	Caust.v2_011259	XP_017893672.1, XP_017893674.1, XP_026666887.1		XP_033338810.1
OG0000566	XP_006558167.2, XP_006558169.2	Caust.v2_016608, Caust.v2_022666	XP_017879451.1, XP_026669005.1, XP_026669006.1	FBgn0038439	XP_033341618.1, XP_033341620.1, XP_033341621.1
OG0000567	XP_006558279.1, XP_006558281.1, XP_006558284.1, XP_026298156.1	Caust.v2_007197, Caust.v2_022509	XP_017885551.2, XP_017885552.1, XP_017885554.1	FBgn0013764	XP_033329652.1
OG0000568	XP_006558444.1, XP_006558445.1, XP_006558446.1, XP_006558447.1, XP_623442.2	Caust.v2_001823	XP_026672426.1, XP_026672428.1, XP_026672429.1, XP_026672430.1		XP_033321789.1
OG0000569	XP_006558857.1, XP_006558858.1, XP_006558859.1	Caust.v2_012036	XP_026666607.1, XP_026666608.1, XP_026666609.1, XP_026666610.1, XP_026666611.1	FBgn0264075	XP_033333162.1
OG0000570	XP_006559074.2	Caust.v2_010682	XP_017875075.1, XP_026666916.1	FBgn0034758, FBgn0050269, FBgn0050273, FBgn0085475, FBgn0260767, FBgn0260768	XP_033329851.1
OG0000571	XP_006559138.1, XP_006559139.1, XP_006559140.1, XP_006559141.1, XP_006559142.1	Caust.v2_005824	XP_017886614.1	FBgn0085376	XP_033332288.1, XP_033332289.1, XP_033332293.1
OG0000572	XP_006559436.1		XP_017890016.1, XP_017890017.1	FBgn0028968	XP_033330766.1, XP_033330767.1, XP_033330768.1, XP_033330769.1, XP_033338464.1, XP_033343098.1, XP_033343100.1
OG0000573	XP_006559702.2, XP_006559704.2, XP_016769234.2, XP_016769235.2, XP_016769236.2, XP_026297993.1	Caust.v2_009491	XP_017883207.1	FBgn0035229	XP_033333937.1, XP_033333943.1
OG0000574	XP_006559813.1, XP_006559815.1, XP_026295622.1, XP_392288.1	Caust.v2_020014	XP_026670586.1, XP_026670587.1, XP_026670588.1	FBgn0026319	XP_033329885.1, XP_033329886.1
OG0000575	XP_006560477.1, XP_016771406.1, XP_026300523.1, XP_026300524.1	Caust.v2_000465	XP_017893447.1, XP_017893448.1, XP_017893449.1, XP_017893450.1	FBgn0053481	XP_033332001.1
OG0000576	XP_006560662.2, XP_006560663.2, XP_006560664.2, XP_026296192.1	Caust.v2_004390, Caust.v2_010873		FBgn0265935	XP_033336845.1, XP_033336846.1, XP_033337897.1, XP_033337898.1
OG0000577	XP_006561339.1, XP_006561340.1	Caust.v2_011725	XP_017877029.1, XP_017877030.1, XP_017877031.1, XP_017877033.1, XP_017877034.1, XP_026667884.1	FBgn0037980	XP_033342016.1
OG0000578	XP_006561362.2, XP_006561365.2, XP_016768138.2, XP_016768139.2, XP_026297208.1	Caust.v2_013736	XP_017877092.1	FBgn0035798, FBgn0052373	XP_033341840.1, XP_033341842.1
OG0000579	XP_006561713.1, XP_006561714.1, XP_006561715.1, XP_006561716.1		XP_026673221.1, XP_026673222.1, XP_026673223.1	FBgn0011766	XP_033333385.1, XP_033333388.1, XP_033333389.1
OG0000580	XP_006562106.1, XP_006562107.1	Caust.v2_013596	XP_017882017.1, XP_017882018.2, XP_017882019.1, XP_026670295.1, XP_026670296.1	FBgn0032200	XP_033339619.1, XP_033339620.1
OG0000581	XP_006562291.2, XP_006562293.2, XP_016770836.2	Caust.v2_003892	XP_017888467.1, XP_017888468.1, XP_017888469.1, XP_017888471.1	FBgn0036814	XP_033335341.1, XP_033335344.1
OG0000582	XP_006562308.2, XP_006562310.2, XP_006562311.2, XP_016771028.2, XP_026300281.1	Caust.v2_019442	XP_017881349.1, XP_026669966.1, XP_026669967.1	FBgn0261928	XP_033335504.1
OG0000583	XP_006562381.1, XP_006562382.1, XP_016771813.1, XP_396078.4	Caust.v2_012109	XP_017882225.1, XP_026670229.1, XP_026670232.1, XP_026670235.1	FBgn0022153	XP_033336580.1
OG0000584	XP_006562493.2, XP_016768340.2, XP_026296917.1, XP_396813.5	Caust.v2_010082, Caust.v2_010084	XP_026668160.1, XP_026673461.1, XP_026673469.1	FBgn0259818	XP_033322844.1
OG0000585	XP_006562772.1, XP_006562773.1	Caust.v2_007066	XP_017877901.1, XP_017877909.1, XP_017877919.1, XP_017877927.1, XP_026668188.1	FBgn0037443	XP_033333889.1, XP_033333890.1
OG0000586	XP_006563335.1, XP_016768156.1, XP_016768157.1, XP_016768159.1, XP_397542.4	Caust.v2_015064	XP_017890921.1, XP_017890922.1, XP_017890923.1		XP_033322880.1, XP_033322881.1
OG0000587	XP_006563618.1, XP_016772021.1, XP_026301090.1	Caust.v2_002305, Caust.v2_022073	XP_017889870.1, XP_026674048.1	FBgn0051183	XP_033320857.1, XP_033320860.1, XP_033320864.1
OG0000588	XP_006564006.1, XP_006564007.1, XP_006564010.1, XP_006564011.1, XP_006564012.1, XP_006564014.1, XP_006564015.1, XP_006564017.1, XP_016766768.1		XP_026671343.1	FBgn0052423	
OG0000589	XP_006564344.2, XP_006564348.2, XP_026297789.1	Caust.v2_019788	XP_017885762.1, XP_026672256.1	FBgn0033917	XP_033321269.1, XP_033322206.1, XP_033322208.1, XP_033322221.1
OG0000590	XP_006564736.1, XP_016769177.1	Caust.v2_001683	XP_017885297.1, XP_026672011.1, XP_026672012.1, XP_026672013.1, XP_026672014.1, XP_026672015.1	FBgn0039936	XP_033337401.1
OG0000591	XP_006565039.1, XP_006565040.1, XP_026302251.1	Caust.v2_013035	XP_017891721.1, XP_017891724.1, XP_026675081.1, XP_026675082.1	FBgn0036377	XP_033329038.1, XP_033329039.1
OG0000592	XP_006565420.1, XP_006565421.1	Caust.v2_006860	XP_017886954.1, XP_017886955.1, XP_017886956.1, XP_026672778.1, XP_026672779.1	FBgn0028343	XP_033321054.1, XP_033321055.1
OG0000593	XP_006565834.1, XP_016771745.1, XP_016771746.1, XP_016771747.1, XP_016771748.1, XP_016771751.1, XP_026300786.1	Caust.v2_017403	XP_026670239.1	FBgn0262636	XP_033335848.1
OG0000594	XP_006565864.2	Caust.v2_007642, Caust.v2_008142, Caust.v2_015668	XP_017884843.1, XP_017884845.1, XP_026671548.1, XP_026671549.1	FBgn0004367	XP_033336517.1, XP_033336520.1
OG0000595	XP_006566054.1	Caust.v2_005558	XP_017883838.1, XP_017883840.1, XP_017883841.1, XP_017883842.1, XP_026671255.1	FBgn0003165	XP_033325494.1, XP_033325495.1, XP_033325497.1
OG0000596	XP_006566143.2, XP_006566149.2, XP_006566150.2, XP_016770091.2	Caust.v2_008003	XP_017882107.1, XP_026670453.1, XP_026670455.1		XP_033331429.1, XP_033331432.1, XP_033331433.1
OG0000597	XP_006566312.1	Caust.v2_014551, Caust.v2_019645	XP_017887500.1, XP_017887502.1, XP_026674616.1	FBgn0010423, FBgn0010424, FBgn0013348, FBgn0033027	XP_033335455.1
OG0000598	XP_006566441.1, XP_006566443.1, XP_006566444.1, XP_016770208.1, XP_026299423.1	Caust.v2_002834	XP_017878551.1, XP_017878553.1, XP_017878556.1	FBgn0263780	XP_033335156.1
OG0000599	XP_006566806.1, XP_006566810.1	Caust.v2_001300	XP_026668791.1, XP_026668792.1	FBgn0031872, FBgn0039431, FBgn0040388	XP_033334894.1, XP_033334898.1, XP_033334899.1
OG0000600	XP_006566835.1, XP_393289.4	Caust.v2_002165, Caust.v2_021755	XP_026668132.1, XP_026668133.1	FBgn0039260	XP_033322143.1, XP_033322144.1, XP_033322145.1, XP_033322146.1
OG0000601	XP_006566889.1, XP_016769149.1, XP_623413.2	Caust.v2_008235	XP_017877642.1, XP_017877643.1, XP_017877648.1, XP_026668198.1	FBgn0261276	XP_033332568.1, XP_033332569.1
OG0000602	XP_006567318.2, XP_006567319.2, XP_016767126.2, XP_394492.6	Caust.v2_012361	XP_017878835.1, XP_017878836.1, XP_017878838.1, XP_026668720.1	FBgn0265416	XP_033333828.1
OG0000603	XP_006567890.1, XP_006567892.1, XP_006567893.1, XP_006567895.1, XP_392370.3	Caust.v2_006563	XP_026674300.1, XP_026674301.1	FBgn0259173	XP_033328103.1, XP_033328104.1
OG0000604	XP_006567914.2, XP_006567921.2, XP_006567922.2, XP_395223.5	Caust.v2_010258, Caust.v2_021856	XP_017891616.1, XP_017891619.1	FBgn0027620	XP_033328169.1, XP_033328170.1
OG0000605	XP_006568157.1, XP_006568159.1, XP_026300511.1	Caust.v2_013060, Caust.v2_017804	XP_017879906.1	FBgn0017418, FBgn0025186, FBgn0036082	XP_033339550.1, XP_033341435.1
OG0000606	XP_006568844.1, XP_016766257.1, XP_016766259.1, XP_016766262.1	Caust.v2_018025	XP_026667744.1, XP_026667745.1, XP_026667746.1	FBgn0030992, FBgn0030993	XP_033334185.1
OG0000607	XP_006568889.1, XP_006568891.1, XP_006568893.1, XP_006568895.1, XP_016766164.1		XP_017884203.1	FBgn0036491, FBgn0036492, FBgn0040238	XP_033341916.1, XP_033341917.1
OG0000608	XP_006569011.1, XP_006569012.1, XP_006569013.1, XP_026294915.1, XP_026294916.1, XP_026294918.1	Caust.v2_008155	XP_017883998.1, XP_026671310.1	FBgn0032593	XP_033334159.1
OG0000609	XP_006569036.1, XP_026302271.1	Caust.v2_007756	XP_017880553.1, XP_026669506.1, XP_026669507.1, XP_026669509.1, XP_026669510.1, XP_026669511.1	FBgn0031575	XP_033334119.1
OG0000610	XP_006569066.1	Caust.v2_009105	XP_026667765.1, XP_026667767.1, XP_026667768.1, XP_026667776.1, XP_026667777.1, XP_026667778.1, XP_026667779.1	FBgn0250823	XP_033342128.1
OG0000611	XP_006569437.1, XP_397486.2		XP_017879115.1, XP_017879122.1, XP_017879123.1, XP_026668854.1	FBgn0020762, FBgn0025683, FBgn0031516, FBgn0052091	XP_033326721.1
OG0000612	XP_006569528.1, XP_016768632.1, XP_016768633.1	Caust.v2_015244, Caust.v2_018972	XP_017887885.1, XP_017887886.1, XP_026673252.1, XP_026673253.1		XP_033340223.1, XP_033340224.1
OG0000613	XP_006569676.1, XP_006569678.1, XP_006569679.1	Caust.v2_008483, Caust.v2_020443, Caust.v2_021376	XP_017885863.1, XP_026672312.1	FBgn0034797	XP_033340670.1, XP_033340671.1
OG0000614	XP_006570076.1, XP_006570489.2	Caust.v2_001365, Caust.v2_012769	XP_026672462.1, XP_026673143.1	FBgn0036493, FBgn0036764, FBgn0037203	XP_033340431.1, XP_033340434.1
OG0000615	XP_006570081.1, XP_016770123.1, XP_016770134.1	Caust.v2_012767	XP_017887725.1, XP_017887726.1, XP_026673135.1, XP_026673136.1	FBgn0044324	XP_033340427.1, XP_033340430.1
OG0000616	XP_006570473.1, XP_006570475.1	Caust.v2_002611, Caust.v2_002612	XP_017887456.1, XP_017887457.1, XP_026673023.1, XP_026673026.1	FBgn0264492	XP_033342443.1, XP_033342444.1
OG0000617	XP_006570772.2, XP_006570776.2, XP_016771412.2	Caust.v2_006870, Caust.v2_019559, Caust.v2_022319	XP_026667415.1	FBgn0030748, FBgn0034049	XP_033339913.1, XP_033341109.1
OG0000618	XP_006571022.3, XP_026297149.1	Caust.v2_013696, Caust.v2_016229, Caust.v2_019607, Caust.v2_019611, Caust.v2_019614	XP_026666528.1, XP_026666533.1	FBgn0036480	XP_033320789.1
OG0000619	XP_006571284.1, XP_016773285.1, XP_026298395.1, XP_624040.4	Caust.v2_007388	XP_017888281.1, XP_017888282.1, XP_026673435.1	FBgn0262869	XP_033341280.1, XP_033341281.1
OG0000620	XP_006571315.1, XP_016772622.1		XP_017889139.1, XP_017889146.1, XP_017889147.1, XP_017889148.1, XP_017889149.1, XP_026673767.1	FBgn0259174	XP_033328517.1, XP_033328520.1
