Geneid	gene_name	SRR1519115_1_cleanedAligned.sortedByCoord.out.bam	SRR1519113_1_cleanedAligned.sortedByCoord.out.bam	SRR1519114_1_cleanedAligned.sortedByCoord.out.bam	SRR1519108_1_cleanedAligned.sortedByCoord.out.bam	SRR1519111_1_cleanedAligned.sortedByCoord.out.bam	SRR1519116_1_cleanedAligned.sortedByCoord.out.bam	SRR1519109_1_cleanedAligned.sortedByCoord.out.bam	SRR1519110_1_cleanedAligned.sortedByCoord.out.bam	SRR1519117_1_cleanedAligned.sortedByCoord.out.bam	SRR1519112_1_cleanedAligned.sortedByCoord.out.bam
gene-LOC106793305	LOC106793305	0	0	6	0	1	2	0	1	5	5
gene-LOC106793306	LOC106793306	0	0	0	0	2	0	1	0	1	1
gene-LOC106793348	LOC106793348	0	0	0	0	0	0	0	0	0	0
gene-LOC106793319	LOC106793319	0	3	2	5	3	2	6	1	10	0
gene-LOC106793318	LOC106793318	9	2	9	5	6	0	20	3	18	4
gene-LOC106793387	LOC106793387	12	10	9	8	12	18	10	11	38	12
gene-LOC106793342	LOC106793342	0	0	0	0	2	0	2	0	0	1
gene-LOC106793343	LOC106793343	39	41	28	44	13	5	14	4	33	13
gene-LOC106793308	LOC106793308	416	283	322	286	721	668	715	488	908	701
gene-LOC106793403	LOC106793403	0	2	0	0	0	0	0	0	0	0
gene-LOC106793335	LOC106793335	35	29	39	63	133	86	125	101	94	109
gene-LOC106793336	LOC106793336	3	3	4	12	12	2	5	5	16	10
gene-LOC106793410	LOC106793410	2	0	0	0	2	0	0	4	0	1
gene-LOC106793378	LOC106793378	302	343	373	272	401	159	302	138	492	415
gene-LOC106793379	LOC106793379	109	143	247	490	370	527	402	681	123	275
gene-LOC106793377	LOC106793377	0	1	0	0	5	0	1	1	3	3
gene-LOC106793309	LOC106793309	0	8	0	0	3	6	0	2	1	2
gene-LOC106793341	LOC106793341	8	5	14	7	23	19	18	16	11	12
gene-LOC106793340	LOC106793340	5	7	8	13	15	3	19	10	10	7
gene-LOC106793339	LOC106793339	0	0	0	2	1	0	0	0	0	1
gene-LOC106793316	LOC106793316	1	1	0	2	0	0	0	0	0	0
gene-LOC106793390	LOC106793390	27	55	57	64	26	32	42	31	35	28
gene-LOC106793391	LOC106793391	0	2	1	7	0	0	2	0	0	3
gene-LOC106793324	LOC106793324	5	7	4	8	14	7	14	8	19	17
gene-LOC106793325	LOC106793325	36	39	38	57	29	12	40	40	44	44
gene-LOC106793322	LOC106793322	6	14	18	31	16	14	10	17	14	26
gene-LOC106793321	LOC106793321	4	8	1	7	10	10	8	11	22	10
gene-LOC106793366	LOC106793366	219	221	280	212	608	524	533	541	818	386
gene-LOC106793364	LOC106793364	1	0	2	1	0	0	0	0	0	0
gene-LOC106793363	LOC106793363	14	25	33	19	12	5	7	9	10	13
gene-LOC106793365	LOC106793365	0	0	3	3	0	0	0	0	0	0
gene-LOC106793404	LOC106793404	3	1	6	7	3	4	4	4	4	7
gene-LOC106793405	LOC106793405	0	3	1	0	0	0	1	0	17	4
gene-LOC106793315	LOC106793315	5	8	6	7	1	2	2	0	2	8
gene-LOC106793372	LOC106793372	1	0	2	9	12	0	11	2	7	4
gene-LOC106793409	LOC106793409	1	1	7	1	4	8	2	1	6	4
gene-LOC106793358	LOC106793358	3	3	0	5	1	1	0	1	2	0
gene-LOC106793357	LOC106793357	0	0	0	1	1	0	4	0	6	1
gene-LOC106793351	LOC106793351	0	0	0	0	0	0	2	0	0	0
gene-LOC106793350	LOC106793350	1	0	1	1	3	0	1	2	2	0
gene-LOC106793352	LOC106793352	92	44	80	32	121	75	77	98	156	81
gene-LOC106793349	LOC106793349	7	1	13	5	26	7	8	9	57	15
gene-LOC106793402	LOC106793402	4	0	0	0	2	3	6	4	13	2
gene-LOC106793353	LOC106793353	11	20	24	20	62	50	73	60	80	48
gene-LOC106793356	LOC106793356	57	36	61	50	151	94	116	107	100	91
gene-LOC106793355	LOC106793355	14	15	21	27	26	22	26	28	26	26
gene-LOC106793381	LOC106793381	11	9	6	11	4	1	4	2	4	2
gene-LOC106793384	LOC106793384	21	24	5	14	1	0	0	0	1	2
gene-LOC106793383	LOC106793383	10	5	9	7	0	0	1	0	0	0
gene-LOC106793369	LOC106793369	1	2	2	0	0	0	3	0	0	1
gene-LOC106793310	LOC106793310	0	0	0	0	0	0	0	0	0	0
gene-LOC106793386	LOC106793386	8	1	0	0	0	0	0	0	0	0
gene-LOC106793401	LOC106793401	1	0	0	0	0	1	3	0	3	1
gene-LOC106793337	LOC106793337	0	4	2	4	3	0	2	1	3	0
gene-LOC106793317	LOC106793317	0	0	0	0	0	0	0	0	0	0
gene-LOC106793311	LOC106793311	1	0	1	0	2	0	0	1	5	0
gene-LOC106793412	LOC106793412	0	0	2	1	2	3	3	5	3	0
gene-LOC106793400	LOC106793400	0	1	0	0	0	0	0	0	0	0
gene-LOC106793360	LOC106793360	1	2	3	0	1	0	1	2	0	1
gene-LOC106793362	LOC106793362	99	125	75	107	23	18	20	5	61	34
gene-LOC106793359	LOC106793359	0	1	7	1	1	0	0	0	2	1
gene-LOC106793408	LOC106793408	0	0	0	0	0	1	0	0	0	0
gene-LOC106793395	LOC106793395	1	0	0	0	0	0	0	0	0	0
gene-LOC106793312	LOC106793312	80	90	93	113	27	46	29	17	49	48
gene-LOC106793394	LOC106793394	0	4	0	0	0	0	0	0	0	0
gene-LOC106793407	LOC106793407	6	9	2	1	6	4	3	0	5	3
gene-LOC106793345	LOC106793345	17	43	31	43	10	1	17	0	16	13
gene-LOC106793344	LOC106793344	0	0	0	2	1	0	1	0	0	0
gene-LOC106793346	LOC106793346	4	3	7	1	1	0	0	0	0	1
gene-LOC106793331	LOC106793331	0	0	0	0	0	0	0	0	2	0
gene-LOC106793313	LOC106793313	0	0	0	0	0	0	0	0	0	0
gene-LOC106793314	LOC106793314	0	0	0	0	0	0	1	0	0	0
gene-Trnar-acg	Trnar-acg	0	0	0	0	0	0	0	1	0	2
gene-LOC106793333	LOC106793333	8	5	3	11	9	6	22	1	12	5
gene-LOC106793334	LOC106793334	0	0	0	0	3	2	3	2	4	3
gene-LOC106793397	LOC106793397	0	5	1	3	1	0	1	2	0	0
gene-LOC106793398	LOC106793398	13	12	5	10	6	3	6	1	5	3
gene-LOC106793389	LOC106793389	32	18	18	18	1	9	18	5	12	5
gene-LOC106793374	LOC106793374	0	0	2	1	0	0	0	0	2	0
gene-LOC106793373	LOC106793373	3	2	2	1	1	0	1	2	2	0
gene-LOC106793380	LOC106793380	116	130	118	128	115	147	181	124	186	182
gene-LOC106793479	LOC106793479	3	9	12	18	21	12	13	23	20	19
gene-LOC106793478	LOC106793478	2	2	0	2	10	0	4	0	3	0
gene-LOC106793442	LOC106793442	2	0	0	0	0	3	4	1	0	0
gene-LOC106793441	LOC106793441	0	0	0	0	0	0	0	0	0	0
gene-LOC106793443	LOC106793443	19	5	10	5	33	4	35	2	20	24
gene-LOC106793445	LOC106793445	0	0	0	0	0	0	2	0	0	0
gene-LOC106793467	LOC106793467	2	4	1	16	27	19	24	23	23	24
gene-LOC106793466	LOC106793466	295	239	335	406	377	277	379	282	722	440
gene-LOC106793464	LOC106793464	317	298	375	408	402	256	302	334	791	449
gene-LOC106793465	LOC106793465	2	3	0	0	0	0	0	0	1	0
gene-LOC106793514	LOC106793514	0	0	0	0	0	2	0	1	0	0
gene-LOC106793413	LOC106793413	80	111	141	181	119	109	133	99	277	163
gene-LOC106793429	LOC106793429	1	8	5	2	12	10	7	7	2	1
gene-LOC106793440	LOC106793440	6	6	0	9	3	0	6	0	5	1
gene-LOC106793434	LOC106793434	2	3	0	1	15	4	6	5	5	5
gene-LOC106793433	LOC106793433	147	216	189	217	188	120	179	183	205	142
gene-LOC106793432	LOC106793432	3	10	7	7	7	1	8	0	5	10
gene-LOC106793431	LOC106793431	28	17	23	10	1	2	4	3	4	3
gene-LOC106793438	LOC106793438	5	3	1	4	5	8	3	2	0	1
gene-LOC106793439	LOC106793439	13	8	4	17	15	7	16	8	34	17
gene-LOC106793435	LOC106793435	34	43	27	31	55	60	57	51	77	60
gene-LOC106793430	LOC106793430	14	10	21	11	16	14	11	15	18	13
gene-LOC106793437	LOC106793437	0	1	0	0	0	0	3	0	4	1
gene-LOC106793509	LOC106793509	0	0	0	0	1	0	0	0	0	0
gene-LOC106793513	LOC106793513	0	0	0	0	0	0	0	0	0	0
gene-LOC106793493	LOC106793493	0	0	0	0	0	0	0	1	0	0
gene-LOC106793494	LOC106793494	0	0	0	0	0	0	0	0	0	0
gene-LOC106793458	LOC106793458	5	8	4	12	14	13	16	9	21	9
gene-LOC106793507	LOC106793507	0	0	0	1	0	0	0	0	2	0
gene-LOC106793475	LOC106793475	1	6	0	2	4	0	0	0	1	1
gene-LOC106793414	LOC106793414	5	27	17	31	2	2	4	2	7	4
gene-LOC106793474	LOC106793474	1	0	2	0	1	1	3	0	0	0
gene-LOC106793473	LOC106793473	4	1	9	7	0	0	2	0	4	3
gene-LOC106793477	LOC106793477	203	256	203	229	0	1	0	1	0	2
gene-LOC106793415	LOC106793415	48	67	56	44	15	3	8	5	24	8
gene-LOC106793487	LOC106793487	1	5	0	5	2	1	5	0	3	2
gene-LOC106793510	LOC106793510	0	0	0	0	1	0	0	0	1	1
gene-LOC106793448	LOC106793448	184	170	158	154	304	158	163	216	337	236
gene-LOC106793446	LOC106793446	10	1	4	2	6	1	9	2	2	5
gene-LOC106793460	LOC106793460	52	42	56	42	91	76	53	80	178	86
gene-LOC106793459	LOC106793459	7	12	3	6	8	8	12	5	12	7
gene-LOC106793416	LOC106793416	141	102	121	168	107	62	115	60	209	120
gene-LOC106793417	LOC106793417	1	0	1	4	1	5	4	6	7	6
gene-LOC106793470	LOC106793470	1	0	0	1	0	0	0	0	0	0
gene-LOC106793418	LOC106793418	0	0	1	2	1	0	0	6	0	0
gene-LOC106793450	LOC106793450	2	2	5	1	0	1	2	0	2	0
gene-LOC106793419	LOC106793419	1	6	1	0	4	1	12	1	8	9
gene-LOC106793451	LOC106793451	24	36	55	24	93	70	55	106	39	54
gene-LOC106793449	LOC106793449	3	11	13	6	18	12	13	22	25	3
gene-LOC106793420	LOC106793420	0	2	0	0	2	2	0	1	4	2
gene-LOC106793427	LOC106793427	0	0	0	0	0	0	1	0	0	0
gene-LOC106793485	LOC106793485	3	0	0	0	1	0	1	2	1	0
gene-LOC106793471	LOC106793471	8	5	15	19	11	5	9	7	7	17
gene-LOC106793455	LOC106793455	1	0	1	1	2	0	2	3	0	1
gene-LOC106793456	LOC106793456	14	2	11	10	18	22	28	12	29	8
gene-LOC106793498	LOC106793498	3	5	14	13	0	0	0	1	2	1
gene-LOC106793426	LOC106793426	0	0	0	4	0	0	0	0	0	1
gene-LOC106793480	LOC106793480	18	22	37	17	50	38	46	72	52	56
gene-LOC106793481	LOC106793481	1	2	2	0	7	6	7	3	11	3
gene-LOC106793463	LOC106793463	5	0	0	2	2	3	2	1	2	0
gene-LOC106793428	LOC106793428	0	0	0	0	0	0	0	0	0	0
gene-LOC106793483	LOC106793483	41	29	40	36	11	12	10	6	10	7
gene-LOC106793482	LOC106793482	0	0	0	4	4	4	0	1	2	0
gene-LOC106793499	LOC106793499	1	2	1	3	6	4	2	7	3	7
gene-LOC106793421	LOC106793421	47	38	34	32	160	81	94	92	234	128
gene-LOC106793462	LOC106793462	1	7	8	9	11	5	17	9	8	4
gene-LOC106793488	LOC106793488	0	3	2	2	3	0	8	0	1	0
gene-LOC106793511	LOC106793511	1	3	4	0	0	0	2	0	1	3
gene-LOC106793512	LOC106793512	0	0	0	0	0	0	0	0	0	0
gene-LOC106793505	LOC106793505	16	8	15	10	0	1	0	1	1	1
gene-LOC106793506	LOC106793506	0	4	0	0	0	1	1	0	1	1
gene-LOC106793501	LOC106793501	0	0	0	1	0	0	0	0	0	0
gene-LOC106793422	LOC106793422	0	0	0	0	0	0	0	0	0	0
gene-LOC106793490	LOC106793490	3	0	0	0	1	2	1	0	0	1
gene-LOC106793489	LOC106793489	0	3	0	0	6	2	5	2	4	2
gene-LOC106793492	LOC106793492	0	0	0	3	1	0	3	0	0	2
gene-LOC106793425	LOC106793425	2	0	0	2	0	0	2	0	0	1
gene-LOC106793504	LOC106793504	5	0	0	2	9	5	8	7	1	10
gene-LOC106793495	LOC106793495	0	0	0	0	0	0	0	0	1	0
gene-LOC106793423	LOC106793423	17	4	7	14	2	0	2	1	1	0
gene-LOC106793497	LOC106793497	0	0	0	0	0	0	0	0	0	0
gene-LOC106793496	LOC106793496	1	0	2	0	0	0	2	1	1	0
gene-LOC106793502	LOC106793502	0	0	0	0	1	0	0	0	0	0
gene-LOC106793503	LOC106793503	3	0	0	1	0	1	1	0	3	0
gene-LOC106793454	LOC106793454	0	3	0	0	1	0	0	0	0	2
gene-LOC106793453	LOC106793453	2	14	3	14	6	2	11	1	1	3
gene-LOC106793452	LOC106793452	2	2	3	6	6	6	2	5	1	6
gene-LOC106793461	LOC106793461	0	6	2	2	3	3	2	0	0	5
gene-LOC106793469	LOC106793469	17	21	16	23	20	0	61	2	9	10
gene-LOC106793484	LOC106793484	2	0	0	2	10	11	7	7	1	4
gene-LOC106793515	LOC106793515	0	0	0	0	0	0	0	0	0	0
gene-LOC106793555	LOC106793555	1	1	0	0	0	0	0	0	0	0
gene-LOC106793582	LOC106793582	0	0	0	0	0	1	0	1	1	0
gene-LOC106793569	LOC106793569	0	5	1	3	2	2	1	1	4	0
gene-LOC106793568	LOC106793568	1	1	0	0	0	0	0	0	0	0
gene-LOC106793529	LOC106793529	0	0	0	0	0	0	0	0	0	0
gene-LOC106793516	LOC106793516	0	0	0	0	0	0	0	0	0	0
gene-LOC106793517	LOC106793517	0	0	0	0	0	0	0	0	0	0
gene-LOC106793525	LOC106793525	0	0	0	0	0	0	0	0	0	0
gene-LOC106793530	LOC106793530	0	0	3	0	1	11	0	5	0	0
gene-LOC106793584	LOC106793584	0	1	0	15	2	1	69	9	0	0
gene-LOC106793570	LOC106793570	0	0	0	1	1	0	0	1	0	1
gene-LOC106793571	LOC106793571	8	10	0	4	2	0	1	3	6	2
gene-LOC106793535	LOC106793535	2	4	0	1	1	2	9	3	2	2
gene-LOC106793533	LOC106793533	0	5	3	0	1	1	0	0	2	1
gene-LOC106793531	LOC106793531	2	0	2	2	1	0	1	0	3	1
gene-LOC106793532	LOC106793532	0	0	0	0	0	2	1	0	3	0
gene-LOC106793541	LOC106793541	14	13	13	6	30	0	24	0	25	19
gene-LOC106793542	LOC106793542	0	0	2	0	0	0	0	0	1	0
gene-LOC106793554	LOC106793554	1	3	0	2	3	0	10	0	5	4
gene-LOC106793551	LOC106793551	2	0	0	0	0	0	2	0	0	0
gene-LOC106793553	LOC106793553	0	0	0	0	0	0	0	0	0	0
gene-LOC106793552	LOC106793552	0	1	6	0	2	2	2	0	1	1
gene-LOC106793557	LOC106793557	1	1	1	0	0	0	2	0	1	0
gene-LOC106793546	LOC106793546	16	30	21	17	0	1	1	0	1	0
gene-LOC106793547	LOC106793547	12	18	17	11	24	21	16	16	38	17
gene-LOC106793549	LOC106793549	12	29	33	27	31	8	15	7	57	40
gene-LOC106793550	LOC106793550	37	38	53	83	172	170	169	160	153	129
gene-LOC106793545	LOC106793545	0	0	0	0	0	0	0	0	0	0
gene-LOC106793586	LOC106793586	23	9	19	21	12	16	7	16	40	25
gene-Trnam-cau	Trnam-cau	0	0	0	1	0	0	0	0	0	0
gene-LOC106793580	LOC106793580	44	71	46	71	30	30	13	43	42	29
gene-LOC106793578	LOC106793578	0	0	0	0	0	0	0	0	0	1
gene-LOC106793583	LOC106793583	0	0	0	0	0	0	0	0	0	0
gene-LOC106793587	LOC106793587	0	0	0	0	0	0	0	0	0	0
gene-LOC106793544	LOC106793544	0	1	3	0	2	0	1	0	4	0
gene-LOC106793543	LOC106793543	0	4	0	0	0	1	8	0	1	1
gene-LOC106793537	LOC106793537	7	6	2	5	9	2	15	0	12	5
gene-LOC106793536	LOC106793536	501	760	417	417	380	42	349	33	541	277
gene-LOC106793538	LOC106793538	3	14	8	4	4	9	3	3	8	0
gene-LOC106793539	LOC106793539	7	2	1	3	3	2	4	1	6	1
gene-LOC106793540	LOC106793540	0	1	0	0	0	0	0	0	0	1
gene-LOC106793565	LOC106793565	59	81	80	44	51	44	52	75	61	62
gene-LOC106793567	LOC106793567	25	25	26	38	32	31	27	30	45	32
gene-LOC106793573	LOC106793573	2	18	9	8	0	1	1	0	0	1
gene-LOC106793572	LOC106793572	14	22	40	33	6	3	3	2	6	4
gene-LOC106793527	LOC106793527	0	0	0	0	0	0	0	0	1	0
gene-LOC106793519	LOC106793519	0	0	0	0	0	0	0	0	0	0
gene-LOC106793520	LOC106793520	0	0	0	0	0	0	0	0	0	0
gene-LOC106793577	LOC106793577	0	0	0	0	0	0	0	1	0	0
gene-LOC106793576	LOC106793576	0	0	0	0	0	0	0	0	0	0
gene-LOC106793523	LOC106793523	0	0	2	0	0	0	0	0	1	0
gene-LOC106793526	LOC106793526	2	0	0	1	0	0	0	0	0	0
gene-LOC106793521	LOC106793521	0	0	0	5	1	1	0	0	0	0
gene-LOC106793522	LOC106793522	0	1	0	0	0	0	1	0	0	2
gene-LOC106793575	LOC106793575	2	1	0	6	1	0	5	0	1	5
gene-LOC106793588	LOC106793588	0	0	0	0	1	0	0	0	0	0
gene-LOC106793524	LOC106793524	0	1	0	0	0	0	0	0	0	0
gene-LOC106793574	LOC106793574	1	0	3	3	0	1	4	1	0	3
gene-LOC106793581	LOC106793581	0	1	0	2	0	0	2	0	0	0
gene-Trnaq-cug	Trnaq-cug	14	90	73	33	70	45	73	69	58	64
gene-LOC106793563	LOC106793563	1	0	0	0	0	0	0	0	0	0
gene-LOC106793564	LOC106793564	0	0	0	0	0	0	0	0	0	0
gene-LOC106793562	LOC106793562	0	0	2	0	1	0	0	0	0	0
gene-LOC106793560	LOC106793560	1	1	6	14	0	0	0	0	0	0
gene-LOC106793561	LOC106793561	7	9	3	6	4	2	2	3	8	6
gene-LOC106793559	LOC106793559	7	24	4	13	14	10	4	10	19	9
gene-LOC106793558	LOC106793558	4	2	4	4	16	2	4	3	32	14
gene-LOC106793665	LOC106793665	15	6	2	6	2	4	1	3	13	5
gene-LOC106793666	LOC106793666	3	12	14	11	0	0	7	0	4	9
gene-LOC106793604	LOC106793604	0	0	0	0	0	0	0	0	0	0
gene-LOC106793659	LOC106793659	2	5	8	13	1	1	21	20	1	0
gene-LOC106793661	LOC106793661	0	1	3	0	1	1	4	2	1	2
gene-LOC106793601	LOC106793601	0	0	0	2	0	0	0	0	0	0
gene-LOC106793589	LOC106793589	0	0	0	0	0	0	0	0	0	0
gene-LOC106793643	LOC106793643	0	3	4	0	2	0	2	0	3	1
gene-LOC106793630	LOC106793630	57	54	81	98	83	10	48	11	114	41
gene-LOC106793629	LOC106793629	47	48	70	35	5	6	8	3	8	9
gene-LOC106793639	LOC106793639	725	688	684	694	476	406	560	441	674	416
gene-LOC106793640	LOC106793640	1	1	0	0	2	0	1	2	3	0
gene-LOC106793649	LOC106793649	6	6	8	13	30	16	14	17	32	19
gene-LOC106793623	LOC106793623	3	3	10	15	0	0	0	0	0	0
gene-LOC106793621	LOC106793621	86	83	92	62	97	69	73	52	76	84
gene-LOC106793625	LOC106793625	0	0	1	1	3	2	0	2	0	1
gene-LOC106793624	LOC106793624	96	108	92	100	266	239	199	177	358	236
gene-LOC106793590	LOC106793590	2	2	1	0	0	0	0	0	2	0
gene-LOC106793655	LOC106793655	9	13	11	13	12	7	5	1	13	5
gene-LOC106793660	LOC106793660	0	0	0	0	0	0	1	0	0	0
gene-LOC106793652	LOC106793652	2	10	2	5	5	3	7	11	8	1
gene-LOC106793651	LOC106793651	12	17	12	15	13	1	10	7	14	11
gene-LOC106793650	LOC106793650	0	0	0	0	1	1	0	0	0	1
gene-LOC106793642	LOC106793642	0	1	0	0	0	0	1	1	0	0
gene-LOC106793662	LOC106793662	0	0	0	0	0	0	0	0	0	0
gene-LOC106793648	LOC106793648	0	4	0	0	5	1	4	1	0	4
gene-LOC106793613	LOC106793613	61	41	17	18	40	45	39	36	52	31
gene-LOC106793614	LOC106793614	0	1	0	2	0	0	0	0	0	0
gene-LOC106793644	LOC106793644	2	4	2	2	3	1	9	0	4	0
gene-LOC106793646	LOC106793646	0	0	0	0	0	0	0	0	0	0
gene-LOC106793669	LOC106793669	0	1	0	1	0	0	0	0	0	0
gene-LOC106793670	LOC106793670	0	0	0	1	0	0	2	0	0	0
gene-LOC106793654	LOC106793654	3	11	8	7	2	0	2	0	6	0
gene-LOC106793653	LOC106793653	3	9	4	3	0	1	1	0	1	0
gene-LOC106793628	LOC106793628	10	7	4	8	3	1	20	0	6	3
gene-LOC106793633	LOC106793633	9	6	4	11	9	5	13	7	22	4
gene-LOC106793635	LOC106793635	25	33	43	53	0	0	5	0	7	3
gene-LOC106793634	LOC106793634	3	11	19	7	10	3	5	6	6	4
gene-LOC106793657	LOC106793657	0	0	1	0	0	0	0	0	0	0
gene-LOC106793658	LOC106793658	7	3	0	5	2	1	2	0	4	0
gene-LOC106793611	LOC106793611	10	14	22	23	13	12	24	4	19	19
gene-LOC106793606	LOC106793606	0	0	3	5	4	5	2	5	4	4
gene-LOC106793610	LOC106793610	1	0	0	0	0	0	1	0	0	2
gene-LOC106793609	LOC106793609	0	1	2	0	4	0	2	5	5	4
gene-LOC106793605	LOC106793605	5	4	1	2	4	3	14	1	8	10
gene-LOC106793607	LOC106793607	0	0	0	0	1	4	2	1	1	4
gene-LOC106793603	LOC106793603	0	0	0	0	0	0	0	0	0	0
gene-LOC106793641	LOC106793641	71	46	35	37	4	6	3	0	10	6
gene-LOC106793647	LOC106793647	2	0	0	1	0	1	2	0	0	1
gene-LOC106793615	LOC106793615	8	15	15	12	26	6	23	8	12	9
gene-LOC106793619	LOC106793619	0	1	3	0	0	0	2	1	3	0
gene-LOC106793620	LOC106793620	11	18	17	5	3	3	3	4	13	4
gene-LOC106793668	LOC106793668	0	6	4	1	9	3	4	0	7	0
gene-LOC106793637	LOC106793637	125	226	186	137	10	21	14	21	13	12
gene-LOC106793636	LOC106793636	19	46	18	37	6	1	23	9	8	9
gene-LOC106793626	LOC106793626	17	34	38	15	59	45	37	48	82	87
gene-LOC106793591	LOC106793591	0	2	0	0	2	7	3	5	5	1
gene-LOC106793663	LOC106793663	0	0	0	0	0	0	0	0	0	0
gene-LOC106793592	LOC106793592	0	0	0	0	0	0	0	0	0	0
gene-LOC106793593	LOC106793593	0	0	0	0	0	0	1	0	0	0
gene-LOC106793664	LOC106793664	0	0	0	0	1	0	0	0	0	0
gene-LOC106793598	LOC106793598	0	0	0	0	0	0	0	0	0	0
gene-LOC106793599	LOC106793599	0	0	0	4	0	0	0	0	0	0
gene-LOC106793594	LOC106793594	2	3	1	0	1	2	3	2	3	0
gene-LOC106793656	LOC106793656	0	0	2	0	1	0	1	0	3	1
gene-LOC106793667	LOC106793667	3	2	9	4	2	5	2	4	7	8
gene-LOC106793602	LOC106793602	0	0	0	0	0	0	1	0	0	0
gene-LOC106793595	LOC106793595	65	158	166	107	12	16	20	21	29	29
gene-LOC106793631	LOC106793631	2	12	3	6	9	2	19	0	5	1
gene-LOC106793596	LOC106793596	0	0	0	0	0	0	0	0	0	0
gene-LOC106793597	LOC106793597	0	0	0	0	0	0	0	0	0	0
gene-LOC106793685	LOC106793685	0	0	0	0	0	0	0	0	0	0
gene-LOC106793705	LOC106793705	6	8	7	6	9	5	3	3	7	5
gene-LOC106793703	LOC106793703	0	3	0	0	0	0	3	0	2	0
gene-LOC106793741	LOC106793741	0	0	0	0	0	0	0	0	0	0
gene-LOC106793713	LOC106793713	1	3	3	1	21	11	9	1	9	7
gene-LOC106793715	LOC106793715	9	36	24	37	5	4	13	4	25	14
gene-LOC106793720	LOC106793720	7	10	0	6	7	4	9	1	6	7
gene-LOC106793718	LOC106793718	11	6	5	4	1	1	3	2	2	0
gene-LOC106793717	LOC106793717	0	1	0	0	0	0	1	0	1	0
gene-LOC106793671	LOC106793671	121	123	135	144	75	66	78	49	138	106
gene-LOC106793737	LOC106793737	0	0	0	1	0	0	0	0	0	0
gene-LOC106793722	LOC106793722	8	10	9	6	2	0	38	1	11	6
gene-LOC106793721	LOC106793721	1	1	1	0	0	0	0	0	0	0
gene-LOC106793723	LOC106793723	0	0	0	0	0	0	0	0	3	0
gene-LOC106793673	LOC106793673	0	0	0	0	0	0	0	0	0	0
gene-LOC106793716	LOC106793716	1	3	1	4	0	0	6	1	0	1
gene-LOC106793674	LOC106793674	0	0	0	0	0	0	0	0	0	0
gene-LOC106793733	LOC106793733	3	0	2	0	0	1	2	0	0	0
gene-LOC106793675	LOC106793675	0	0	0	0	0	0	0	2	0	0
gene-LOC106793686	LOC106793686	0	0	0	0	0	0	0	0	0	0
gene-LOC106793688	LOC106793688	0	0	0	0	3	3	0	0	0	0
gene-LOC106793735	LOC106793735	1	0	0	0	0	0	0	0	0	1
gene-LOC106793728	LOC106793728	2	2	2	10	2	5	4	2	9	3
gene-LOC106793676	LOC106793676	0	0	0	0	0	0	0	0	0	0
gene-LOC106793726	LOC106793726	0	2	0	7	0	0	2	1	0	1
gene-LOC106793739	LOC106793739	0	0	0	0	0	0	0	0	0	0
gene-LOC106793706	LOC106793706	6	6	0	0	4	3	3	4	1	0
gene-LOC106793708	LOC106793708	12	15	11	14	30	17	48	29	11	9
gene-LOC106793707	LOC106793707	10	22	9	21	33	20	17	12	43	19
gene-LOC106793682	LOC106793682	0	0	0	0	0	0	0	0	0	0
gene-LOC106793684	LOC106793684	0	0	0	0	0	0	0	0	0	0
gene-LOC106793689	LOC106793689	3	2	2	3	0	3	1	5	10	2
gene-LOC106793677	LOC106793677	0	0	0	0	1	2	2	0	2	2
gene-LOC106793697	LOC106793697	0	0	0	0	0	0	0	0	0	0
gene-LOC106793698	LOC106793698	0	0	0	0	0	0	0	0	0	0
gene-LOC106793702	LOC106793702	0	0	0	0	0	0	0	0	0	0
gene-LOC106793699	LOC106793699	0	0	0	0	0	0	0	1	0	0
gene-LOC106793701	LOC106793701	0	0	0	0	0	0	0	0	0	0
gene-LOC106793700	LOC106793700	0	0	0	0	0	0	0	0	0	0
gene-LOC106793725	LOC106793725	2	0	2	5	5	2	3	1	6	8
gene-LOC106793681	LOC106793681	0	0	0	0	0	0	0	0	0	0
gene-LOC106793724	LOC106793724	0	0	0	0	0	0	5	0	0	0
gene-Trnae-cuc	Trnae-cuc	0	0	0	0	0	0	0	0	0	0
gene-LOC106793692	LOC106793692	45	11	17	15	55	59	61	48	73	43
gene-Trnag-gcc	Trnag-gcc	0	0	0	0	0	0	0	0	4	0
gene-Trnag-gcc-2	Trnag-gcc	0	0	0	0	0	0	0	0	1	0
gene-Trnas-aga-2	Trnas-aga	0	0	0	0	0	0	0	0	0	0
gene-Trnar-acg-2	Trnar-acg	0	0	0	0	0	0	0	0	0	0
gene-Trnai-aau	Trnai-aau	0	0	0	4	0	0	0	0	1	0
gene-Trnai-aau-2	Trnai-aau	0	0	0	0	0	0	0	0	0	0
gene-Trnai-aau-3	Trnai-aau	0	0	0	0	0	0	0	0	0	0
gene-Trnar-acg-3	Trnar-acg	0	0	0	0	0	0	0	0	0	0
gene-Trnai-aau-4	Trnai-aau	0	0	1	0	1	0	0	0	2	0
gene-LOC106793695	LOC106793695	2	2	1	2	8	5	6	4	10	3
gene-LOC106793691	LOC106793691	22	34	27	21	58	22	40	22	71	34
gene-Trnaa-agc	Trnaa-agc	0	0	0	0	0	0	0	0	0	0
gene-LOC106793693	LOC106793693	4	0	1	2	5	2	3	1	4	5
gene-Trnaa-agc-2	Trnaa-agc	0	0	0	0	0	0	0	1	0	0
