Geneid	gene_name	SRR1519110_1Aligned.sortedByCoord.out.bam	SRR1519115_1Aligned.sortedByCoord.out.bam	SRR1519117_1Aligned.sortedByCoord.out.bam	SRR1519112_1Aligned.sortedByCoord.out.bam	SRR1519109_1Aligned.sortedByCoord.out.bam	SRR1519111_1Aligned.sortedByCoord.out.bam	SRR1519116_1Aligned.sortedByCoord.out.bam	SRR1519108_1Aligned.sortedByCoord.out.bam	SRR1519113_1Aligned.sortedByCoord.out.bam	SRR1519114_1Aligned.sortedByCoord.out.bam
gene-LOC106784923	LOC106784923	15176	7321	14217	14669	14646	16087	15021	6464	7246	7389
gene-LOC106784891	LOC106784891	27	49	17	12	8	23	14	50	37	60
gene-LOC106784960	LOC106784960	444	326	392	425	535	552	505	246	270	278
gene-LOC106784959	LOC106784959	944	361	1094	758	865	1127	1019	367	399	448
gene-LOC106784970	LOC106784970	1330	616	1673	1652	1383	1670	1518	670	773	763
gene-LOC106784896	LOC106784896	2495	1557	2822	2401	2318	3524	2043	1557	1482	1670
gene-LOC106784901	LOC106784901	9	4	2	6	4	2	0	10	4	1
gene-LOC106784899	LOC106784899	1334	408	1388	1135	1110	1244	1211	594	500	717
gene-LOC106784900	LOC106784900	185	81	222	207	237	189	289	132	140	131
gene-LOC106784895	LOC106784895	29393	16974	33476	25001	27844	31447	28387	14195	13405	16375
gene-LOC106784966	LOC106784966	134	174	142	115	159	143	123	191	172	161
gene-LOC106784893	LOC106784893	0	0	0	0	0	0	0	0	0	0
gene-LOC106784949	LOC106784949	1695	478	1348	549	1007	1219	1250	451	419	506
gene-LOC106784951	LOC106784951	4888	2166	1452	897	3794	3286	1757	2734	2497	3220
gene-Trnas-gcu-4	Trnas-gcu	0	0	0	0	0	0	0	0	0	0
gene-LOC106784961	LOC106784961	173	57	171	115	138	169	145	101	90	62
gene-LOC106784885	LOC106784885	0	0	2	1	0	0	1	2	0	1
gene-LOC106784969	LOC106784969	866	369	520	672	849	789	889	416	400	482
gene-LOC106784926	LOC106784926	1	115	62	56	60	35	1	167	119	157
gene-LOC106784924	LOC106784924	991	682	924	863	1054	1115	1017	640	714	737
gene-LOC106784927	LOC106784927	50	96	69	95	68	82	50	117	97	103
gene-LOC106784925	LOC106784925	522	273	630	455	551	585	557	216	258	337
gene-LOC106784955	LOC106784955	1867	2018	1645	1747	1417	1712	1620	977	1395	1093
gene-LOC106784967	LOC106784967	62	6	46	67	19	38	20	17	22	11
gene-LOC106784958	LOC106784958	1091	348	895	883	765	977	742	404	306	340
gene-LOC106784963	LOC106784963	3767	768	3360	2407	3347	3504	3631	1230	853	1198
gene-LOC106784962	LOC106784962	679	150	720	509	556	670	740	230	190	294
gene-LOC106784914	LOC106784914	2031	538	1349	602	3010	1064	941	1461	496	599
gene-LOC106784940	LOC106784940	4023	3361	5402	4734	4040	5142	5247	2281	2325	2651
gene-LOC106784939	LOC106784939	993	401	1245	769	832	930	1004	396	396	531
gene-LOC106784952	LOC106784952	114	129	197	176	127	147	99	177	143	167
gene-LOC106784954	LOC106784954	244	91	180	149	205	178	141	145	82	138
gene-LOC106784953	LOC106784953	581	410	458	416	584	604	593	326	360	422
gene-LOC106784945	LOC106784945	2024	2131	1663	1759	2600	2667	1959	1600	1775	2117
gene-LOC106784947	LOC106784947	3049	1811	82	60	1846	2565	4319	115	1778	730
gene-LOC106784894	LOC106784894	7	2	1	3	9	12	6	8	7	3
gene-LOC106784950	LOC106784950	7705	6010	5972	6349	7992	7531	8370	4849	6057	5028
gene-LOC106784957	LOC106784957	235	202	363	289	264	320	209	254	220	282
gene-LOC106784886	LOC106784886	0	0	0	0	0	0	0	0	0	0
gene-LOC106784887	LOC106784887	0	18	1	0	0	0	0	43	18	24
gene-LOC106784907	LOC106784907	133712	139275	85239	116131	114361	105540	118239	127550	219095	66439
gene-LOC106784905	LOC106784905	3112	1288	2474	2077	2390	3214	2532	1279	1121	1516
gene-LOC106784909	LOC106784909	369	159	331	359	337	390	354	231	198	255
gene-LOC106784888	LOC106784888	0	1	1	1	2	2	0	1	3	2
gene-LOC106784906	LOC106784906	431	256	208	207	283	408	371	352	314	380
gene-Trnad-guc-3	Trnad-guc	0	0	0	0	0	0	0	0	0	0
gene-LOC106784908	LOC106784908	87	58	144	148	117	158	62	110	70	85
gene-LOC106784903	LOC106784903	2581	1138	2291	2030	2081	2892	2315	1353	1196	1419
gene-LOC106784902	LOC106784902	5129	2126	7306	4189	4377	5667	4202	1943	1785	2281
gene-LOC106784892	LOC106784892	70	2	1	0	17	12	91	5	7	32
gene-LOC106784971	LOC106784971	120	14	12	10	30	55	143	18	31	58
gene-LOC106784964	LOC106784964	343	174	259	277	290	365	343	230	182	284
gene-LOC106784918	LOC106784918	11	6	32	23	11	18	13	9	6	5
gene-LOC106784920	LOC106784920	0	0	0	0	0	0	0	0	0	0
gene-LOC106784919	LOC106784919	2	0	3	0	0	1	0	0	0	2
gene-LOC106784915	LOC106784915	0	1	0	0	0	0	0	0	1	0
gene-LOC106784917	LOC106784917	0	0	0	2	0	0	0	0	0	0
gene-LOC106784921	LOC106784921	0	0	2	1	0	0	1	0	0	0
gene-LOC106784965	LOC106784965	0	0	0	0	0	1	1	0	0	0
gene-LOC106784936	LOC106784936	0	0	1	0	0	0	0	0	0	0
gene-LOC106784935	LOC106784935	0	0	0	1	0	0	0	0	0	0
gene-LOC106784937	LOC106784937	0	0	0	0	0	1	0	0	3	0
gene-LOC106784938	LOC106784938	0	0	0	0	0	0	0	0	0	0
gene-LOC106784889	LOC106784889	0	0	3	1	0	0	0	0	0	0
gene-LOC106785020	LOC106785020	51	9	3	5	34	59	43	17	22	19
gene-LOC106785018	LOC106785018	144	8	6	10	298	44	48	167	38	33
gene-LOC106784983	LOC106784983	6	0	0	0	0	1	9	0	3	0
gene-LOC106784982	LOC106784982	21	1	1	0	0	11	33	1	9	5
gene-LOC106784984	LOC106784984	0	0	0	0	0	2	0	0	0	0
gene-LOC106785010	LOC106785010	12191	3970	19079	21999	8796	16757	13190	5744	5028	5345
gene-LOC106785009	LOC106785009	2057	604	4097	2512	2141	3374	3148	973	658	979
gene-LOC106784998	LOC106784998	1456	1378	1980	1623	1549	1973	1696	1111	1122	1115
gene-LOC106784999	LOC106784999	1490	806	777	900	1310	1197	987	1386	1002	980
gene-LOC106785003	LOC106785003	519	204	432	281	516	405	560	276	143	177
gene-LOC106785001	LOC106785001	497	297	673	557	516	655	416	360	278	365
gene-LOC106784972	LOC106784972	32	23	27	30	24	40	51	23	21	14
gene-LOC106785000	LOC106785000	1	3	3	1	1	5	2	2	4	5
gene-LOC106784991	LOC106784991	885	580	584	554	835	1009	675	447	465	505
gene-LOC106784993	LOC106784993	889	292	921	739	851	710	985	360	309	354
gene-LOC106784992	LOC106784992	1861	1104	1848	1807	1931	2309	2120	1140	1042	1259
gene-LOC106785008	LOC106785008	1135	355	907	756	991	1047	1068	427	343	327
gene-Trnal-uag-2	Trnal-uag	0	0	0	0	0	0	0	0	0	0
gene-LOC106784973	LOC106784973	49	0	4	3	40	11	46	7	8	3
gene-LOC106785019	LOC106785019	172	12	23	24	145	31	235	41	27	48
gene-LOC106785017	LOC106785017	245	506	621	298	342	366	225	629	563	657
gene-LOC106785004	LOC106785004	2101	907	2568	1526	1947	2340	1967	935	869	959
gene-LOC106785005	LOC106785005	1127	662	1320	881	1201	1200	1471	545	663	798
gene-LOC106785012	LOC106785012	670	290	724	594	475	680	579	332	279	403
gene-LOC106785011	LOC106785011	29	17	34	29	23	12	36	11	13	12
gene-LOC106785013	LOC106785013	312	91	268	274	358	382	351	142	97	162
gene-LOC106784974	LOC106784974	0	1	2	0	0	2	0	0	0	2
gene-LOC106784981	LOC106784981	0	0	0	0	0	0	0	0	0	0
gene-LOC106784975	LOC106784975	0	0	0	0	2	0	0	0	0	0
gene-LOC106784980	LOC106784980	12	49	27	8	28	24	15	10	20	10
gene-LOC106785007	LOC106785007	25	11	19	4	24	17	13	2	12	5
gene-LOC106785006	LOC106785006	699	270	443	439	739	768	594	429	374	454
gene-LOC106784977	LOC106784977	0	0	0	0	0	0	0	0	0	0
gene-LOC106784978	LOC106784978	1	1	0	2	0	7	3	0	6	1
gene-LOC106785016	LOC106785016	566	186	294	215	442	384	691	265	211	264
gene-LOC106784994	LOC106784994	1008	576	746	801	848	1132	886	382	510	639
gene-LOC106784997	LOC106784997	567	288	600	511	572	607	589	302	293	363
gene-LOC106784995	LOC106784995	739	343	2401	990	679	1139	827	526	410	553
gene-LOC106784987	LOC106784987	445	172	426	413	432	484	389	238	221	281
gene-LOC106784990	LOC106784990	1	2	0	0	0	1	0	0	0	0
gene-LOC106784988	LOC106784988	915	266	770	649	644	991	800	374	235	381
gene-LOC106784985	LOC106784985	322	160	377	72	287	170	255	38	88	41
gene-LOC106784989	LOC106784989	33	9	22	13	16	12	19	11	2	1
gene-LOC106784979	LOC106784979	6	4	5	7	3	8	8	7	0	1
gene-LOC106785025	LOC106785025	35	8	11	19	24	27	26	11	17	12
gene-LOC106785022	LOC106785022	0	0	0	0	0	0	0	0	0	0
gene-LOC106785050	LOC106785050	25	11	19	28	23	17	24	0	13	10
gene-LOC106785038	LOC106785038	4344	3671	3452	2955	3505	4275	3447	2850	2913	3324
gene-LOC106785045	LOC106785045	1461	567	1244	1116	1351	1440	1342	701	632	785
gene-LOC106785049	LOC106785049	8820	1775	7747	5923	7646	8618	9649	3339	2228	2929
gene-LOC106785023	LOC106785023	2	4	0	1	0	0	1	10	3	4
gene-LOC106785047	LOC106785047	2280	59	313	222	1022	594	2797	110	308	423
gene-LOC106785035	LOC106785035	10867	3580	10252	6450	7001	8966	7731	3393	3288	3503
gene-LOC106785037	LOC106785037	1005	413	974	899	933	977	1098	353	431	548
gene-LOC106785042	LOC106785042	322	208	348	319	355	394	385	174	191	169
gene-LOC106785041	LOC106785041	437	489	790	688	611	640	458	515	539	520
gene-LOC106785040	LOC106785040	507	344	431	463	425	553	449	387	318	393
gene-LOC106785031	LOC106785031	1767	622	1108	1212	1745	2394	1506	795	879	1051
gene-LOC106785033	LOC106785033	158	65	165	143	162	147	178	79	72	115
gene-LOC106785029	LOC106785029	2213	1846	2046	2248	2373	2964	2025	1919	1557	1744
gene-LOC106785046	LOC106785046	3617	1208	1606	2497	2845	3321	2501	1827	1613	1652
gene-LOC106785043	LOC106785043	98	132	152	109	144	141	91	146	115	143
gene-LOC106785044	LOC106785044	118	5	2	13	84	9	20	432	104	232
gene-LOC106785024	LOC106785024	1	0	0	1	0	2	1	0	0	0
gene-LOC106785034	LOC106785034	877	378	524	472	806	793	989	252	313	338
gene-LOC106785048	LOC106785048	240	226	304	252	277	304	286	206	202	167
gene-LOC106785027	LOC106785027	451	142	323	282	314	488	335	193	139	162
gene-LOC106785028	LOC106785028	121	19	51	99	74	94	85	32	29	64
gene-LOC106785026	LOC106785026	17	1	5	9	12	30	20	0	3	4
gene-LOC106785134	LOC106785134	2674	734	1153	1075	2512	2084	1683	1159	920	843
gene-LOC106785142	LOC106785142	2032	871	1289	1382	1728	2066	1855	1064	885	1181
gene-LOC106785138	LOC106785138	1120	603	1151	1044	1016	1562	1114	614	526	562
gene-LOC106785066	LOC106785066	121	35	114	50	128	90	74	138	82	64
gene-LOC106785082	LOC106785082	2818	818	1973	1158	2108	2019	2431	1177	957	887
gene-LOC106785089	LOC106785089	113	176	215	201	217	214	67	257	224	286
gene-LOC106785087	LOC106785087	287	124	365	270	275	331	335	115	119	172
gene-LOC106785088	LOC106785088	275	153	348	198	287	318	294	210	179	228
gene-LOC106785086	LOC106785086	417	247	412	355	449	491	461	280	272	351
gene-LOC106785083	LOC106785083	1220	615	1261	890	1156	1236	1274	595	565	679
gene-LOC106785106	LOC106785106	212	60	50	30	182	192	137	123	59	49
gene-LOC106785051	LOC106785051	1268	170	130	203	894	1039	885	299	173	225
gene-LOC106785052	LOC106785052	2	0	0	2	6	1	1	0	0	0
gene-LOC106785107	LOC106785107	6368	2808	3827	5493	6492	7261	7315	2712	3880	4471
gene-LOC106785053	LOC106785053	4	0	0	1	5	0	3	12	1	4
gene-LOC106785054	LOC106785054	43	1	2	0	14	6	11	7	0	0
gene-LOC106785055	LOC106785055	146	24	185	76	133	194	150	19	48	43
gene-LOC106785109	LOC106785109	1594	768	771	971	1727	1378	1537	970	1117	1226
gene-LOC106785056	LOC106785056	15	6	0	0	3	4	3	13	20	5
gene-LOC106785110	LOC106785110	165	116	20	62	141	162	98	307	159	194
gene-LOC106785115	LOC106785115	166	24	104	91	96	151	209	66	65	97
gene-LOC106785116	LOC106785116	1629	787	1709	1138	1441	2079	1383	739	646	726
gene-LOC106785120	LOC106785120	184	113	199	199	193	279	190	106	118	106
gene-LOC106785118	LOC106785118	440	253	516	420	442	417	492	283	291	314
gene-LOC106785117	LOC106785117	2253	1066	1601	1611	2237	2282	2039	1281	1187	1494
gene-LOC106785119	LOC106785119	0	43	0	0	0	0	0	42	33	50
gene-LOC106785130	LOC106785130	1537	1085	1608	1467	1627	1770	1455	1052	832	1115
gene-LOC106785145	LOC106785145	1084	509	1022	1053	1152	1135	1062	483	527	556
gene-LOC106785133	LOC106785133	478	409	515	499	584	632	394	450	419	602
gene-LOC106785103	LOC106785103	317	107	260	253	285	333	245	153	148	159
gene-LOC106785105	LOC106785105	713	339	477	577	635	674	631	489	460	620
gene-LOC106785104	LOC106785104	136	124	144	116	107	135	115	165	137	150
gene-LOC106785102	LOC106785102	586	591	665	702	782	660	622	710	589	654
gene-LOC106785125	LOC106785125	588	441	757	536	679	754	582	439	429	504
gene-LOC106785124	LOC106785124	1402	1023	1059	1036	1339	1528	1245	778	938	1065
gene-LOC106785141	LOC106785141	426	218	176	305	356	370	425	265	228	348
gene-LOC106785074	LOC106785074	19	20	23	13	21	20	7	28	19	24
gene-LOC106785073	LOC106785073	70	27	90	60	61	77	87	33	24	48
gene-LOC106785068	LOC106785068	6286	2623	8388	4542	6028	7389	5713	1962	2150	2294
gene-LOC106785071	LOC106785071	199	128	437	229	262	266	283	183	178	151
gene-LOC106785072	LOC106785072	342	142	358	331	334	351	312	162	155	190
gene-LOC106785070	LOC106785070	74	49	107	53	100	90	71	60	50	65
gene-LOC106785076	LOC106785076	544	591	1070	915	603	705	577	557	760	735
gene-LOC106785148	LOC106785148	550	258	569	480	549	539	555	315	313	341
gene-LOC106785078	LOC106785078	349	186	340	265	268	376	293	176	126	216
gene-LOC106785080	LOC106785080	310	165	257	266	320	301	303	160	154	191
gene-LOC106785079	LOC106785079	3	66	3	7	8	7	3	98	67	76
gene-LOC106785077	LOC106785077	1497	728	1706	1205	1257	1574	1281	848	621	813
gene-LOC106785081	LOC106785081	3086	1872	2221	2406	2716	3049	3451	1715	1818	2041
gene-LOC106785144	LOC106785144	3269	1404	3359	2864	3146	3516	3668	1211	1279	1554
gene-LOC106785137	LOC106785137	173	162	193	169	158	174	185	160	189	161
gene-LOC106785136	LOC106785136	815	842	1246	882	862	981	645	940	966	887
gene-LOC106785114	LOC106785114	1531	450	1397	1080	1453	1336	1696	675	464	575
gene-LOC106785113	LOC106785113	261	257	375	300	359	361	210	247	269	284
gene-LOC106785111	LOC106785111	941	783	927	896	926	955	750	913	816	824
gene-LOC106785112	LOC106785112	624	412	504	544	679	692	622	364	467	408
gene-LOC106785149	LOC106785149	277	81	247	205	248	305	217	93	68	134
gene-LOC106785129	LOC106785129	1028	752	954	1175	1321	1233	1065	668	735	976
gene-LOC106785128	LOC106785128	238	171	320	272	280	290	161	205	216	258
gene-LOC106785127	LOC106785127	205	460	316	286	304	260	149	473	444	564
gene-LOC106785065	LOC106785065	331	104	589	299	363	405	414	131	106	126
gene-LOC106785140	LOC106785140	147	213	236	233	224	213	135	217	159	214
gene-LOC106785139	LOC106785139	233	146	219	294	296	316	232	153	125	219
gene-LOC106785108	LOC106785108	3518	1703	3203	2942	3517	3571	3132	1754	1594	2121
gene-LOC106785057	LOC106785057	82	10	28	35	51	36	99	16	18	24
gene-LOC106785132	LOC106785132	113	71	111	130	112	158	95	84	74	88
gene-LOC106785131	LOC106785131	2446	1672	2651	2370	2686	2843	2397	1671	1672	1909
gene-LOC106785122	LOC106785122	818	582	647	628	614	832	600	605	541	548
gene-LOC106785058	LOC106785058	78	682	53	93	75	80	71	826	935	1224
gene-LOC106785123	LOC106785123	190	108	153	135	184	191	228	140	124	107
gene-LOC106785126	LOC106785126	11799	3406	10863	8267	11097	11572	13017	3565	3165	3649
gene-LOC106785146	LOC106785146	352	362	395	422	396	509	292	415	407	438
gene-LOC106785059	LOC106785059	1	3	0	0	0	1	0	6	3	4
gene-LOC106785061	LOC106785061	3	6	3	0	0	2	1	0	3	0
gene-LOC106785062	LOC106785062	5	2	4	2	0	2	4	0	1	1
gene-LOC106785067	LOC106785067	6	0	0	0	2	5	3	9	0	6
gene-LOC106785063	LOC106785063	1	1	0	0	0	0	0	0	0	0
gene-LOC106785064	LOC106785064	0	0	1	2	2	0	2	1	0	0
gene-LOC106785090	LOC106785090	213	154	121	211	175	155	190	92	111	123
gene-LOC106785094	LOC106785094	307	219	363	305	250	354	216	178	232	188
gene-LOC106785097	LOC106785097	4	0	5	0	0	0	1	0	0	0
gene-LOC106785095	LOC106785095	124	259	162	171	178	216	115	117	151	122
gene-LOC106785093	LOC106785093	218	179	287	255	243	239	256	161	167	164
gene-LOC106785092	LOC106785092	191	331	471	424	421	377	151	332	330	416
gene-LOC106785096	LOC106785096	904	217	888	763	747	996	976	267	330	280
gene-LOC106785152	LOC106785152	64	29	78	31	43	76	49	26	31	29
gene-LOC106785099	LOC106785099	3797	1806	3888	2796	3270	3738	3436	1983	1528	2037
gene-LOC106785100	LOC106785100	86	522	463	379	351	346	114	318	443	388
gene-LOC106785101	LOC106785101	0	0	0	0	0	0	0	1	0	0
gene-LOC106785143	LOC106785143	1445	528	1250	1073	1106	1546	1511	552	448	657
gene-LOC106785151	LOC106785151	327	127	345	232	383	288	404	212	155	197
gene-LOC106785150	LOC106785150	59	19	64	42	51	49	55	14	32	23
gene-LOC106785098	LOC106785098	3825	1244	2825	2692	2566	3904	2713	1630	1447	1903
gene-LOC106785234	LOC106785234	1721	714	2244	1395	1703	1746	2020	677	691	832
gene-LOC106785159	LOC106785159	8	9	20	6	14	6	10	21	10	11
gene-LOC106785229	LOC106785229	849	85	64	112	373	192	138	1180	282	482
gene-LOC106785153	LOC106785153	1	0	0	4	1	0	1	0	0	0
gene-LOC106785227	LOC106785227	581	371	605	802	877	1530	448	541	465	676
gene-LOC106785215	LOC106785215	2420	1123	1863	1657	2091	2486	1952	990	1021	1079
gene-LOC106785216	LOC106785216	929	403	758	832	910	955	798	443	427	528
gene-LOC106785217	LOC106785217	308	134	248	210	227	329	242	96	76	125
gene-LOC106785219	LOC106785219	445	270	559	395	327	624	411	298	211	209
gene-LOC106785220	LOC106785220	6	3	12	9	5	13	5	0	5	4
gene-LOC106785154	LOC106785154	1	0	0	0	0	0	0	1	0	0
gene-LOC106785160	LOC106785160	5639	2858	7485	5689	4189	6025	5000	2535	2340	2970
gene-LOC106785163	LOC106785163	417	313	1232	628	766	595	507	308	389	419
gene-LOC106785162	LOC106785162	1196	567	772	732	919	1092	895	630	565	578
gene-LOC106785191	LOC106785191	4607	1956	4866	4118	4157	4750	6024	1792	1999	2274
gene-LOC106785241	LOC106785241	368	374	779	460	477	408	370	506	423	559
gene-LOC106785225	LOC106785225	278	129	334	241	275	309	334	77	137	165
gene-LOC106785223	LOC106785223	4	0	6	2	3	4	6	0	0	0
gene-LOC106785224	LOC106785224	1	127	59	86	31	31	1	125	110	140
gene-LOC106785221	LOC106785221	503	233	873	467	528	549	685	224	187	285
gene-LOC106785222	LOC106785222	603	222	431	393	465	599	671	251	234	320
gene-LOC106785155	LOC106785155	2839	116	78	19	1462	243	122	1363	227	343
gene-LOC106785187	LOC106785187	2260	1076	1513	1403	1917	2354	2008	1073	1155	1230
gene-LOC106785188	LOC106785188	1615	1379	1641	1448	1619	1813	1949	714	1143	938
gene-LOC106785231	LOC106785231	2192	1168	2198	1797	2065	2091	2305	1253	1209	1342
gene-LOC106785189	LOC106785189	1048	642	2211	1225	1006	1586	1544	407	454	554
gene-LOC106785190	LOC106785190	678	472	779	778	623	754	764	465	627	382
gene-LOC106785174	LOC106785174	24	13	37	29	11	37	14	4	22	18
gene-LOC106785173	LOC106785173	1485	352	1505	1024	1090	1232	1272	502	403	400
gene-LOC106785175	LOC106785175	0	0	5	0	2	3	5	0	0	2
gene-LOC106785156	LOC106785156	18	5	45	18	38	38	28	5	3	8
gene-LOC106785230	LOC106785230	641	349	585	535	633	572	670	366	276	346
gene-LOC106785199	LOC106785199	2300	2707	2364	2630	2574	2699	2696	2535	3052	2745
gene-LOC106785200	LOC106785200	1125	726	884	1001	1038	1401	1302	671	557	821
gene-LOC106785198	LOC106785198	801	268	531	536	557	785	806	322	239	404
gene-LOC106785201	LOC106785201	38	16	81	57	57	95	56	26	32	38
gene-LOC106785206	LOC106785206	3511	1604	5523	2943	2735	4570	3927	1747	1816	1903
gene-LOC106785235	LOC106785235	558	216	631	491	470	684	543	282	202	263
gene-LOC106785226	LOC106785226	377	283	240	337	325	314	423	204	307	278
gene-LOC106785177	LOC106785177	2897	1301	2953	2193	2371	3480	2728	1299	1183	1328
gene-LOC106785178	LOC106785178	127	123	63	62	156	107	108	94	86	118
gene-LOC106785158	LOC106785158	1551	35	62	93	1067	521	1373	519	193	265
gene-LOC106785176	LOC106785176	511	314	520	400	493	548	453	280	293	336
gene-LOC106785237	LOC106785237	71	24	96	37	47	74	49	30	20	32
gene-LOC106785185	LOC106785185	3056	1291	2039	1990	2276	2893	2483	1188	1075	1299
gene-LOC106785232	LOC106785232	586	453	904	811	672	812	565	555	402	547
gene-LOC106785233	LOC106785233	746	385	911	731	699	800	688	354	380	405
gene-LOC106785204	LOC106785204	21	151	30	44	41	31	15	141	151	122
gene-LOC106785205	LOC106785205	321	173	334	265	295	328	313	167	162	168
gene-LOC106785203	LOC106785203	1122	701	1262	1203	1250	1145	1055	717	745	814
gene-LOC106785202	LOC106785202	1285	636	1051	1034	1160	1236	1106	638	665	632
gene-LOC106785211	LOC106785211	35	239	70	71	86	67	24	179	203	263
gene-LOC106785212	LOC106785212	388	638	639	595	571	603	395	715	638	881
gene-LOC106785209	LOC106785209	107	210	70	107	102	125	72	209	223	276
gene-LOC106785208	LOC106785208	1235	837	1525	1282	1233	1549	1157	899	787	900
gene-LOC106785210	LOC106785210	142	198	513	290	232	327	130	192	177	205
gene-LOC106785214	LOC106785214	12	13	17	16	13	17	24	21	30	18
gene-LOC106785213	LOC106785213	0	0	2	0	2	0	0	0	2	0
gene-LOC106785238	LOC106785238	301	295	347	304	328	378	231	312	320	314
gene-LOC106785167	LOC106785167	770	302	1210	577	761	838	955	334	284	466
gene-LOC106785172	LOC106785172	116	126	215	211	186	176	152	147	176	177
gene-LOC106785171	LOC106785171	139	109	118	117	98	158	88	110	77	103
gene-LOC106785165	LOC106785165	190	526	560	435	255	384	172	534	404	440
gene-LOC106785168	LOC106785168	666	874	928	898	912	987	597	762	780	879
gene-LOC106785170	LOC106785170	1449	595	1574	1212	1363	1578	1563	591	607	715
gene-LOC106785166	LOC106785166	315	202	415	246	283	416	343	185	183	212
gene-LOC106785240	LOC106785240	772	858	980	1071	1126	1039	619	919	889	1132
gene-LOC106785197	LOC106785197	99	102	187	146	108	157	112	118	96	123
gene-LOC106785194	LOC106785194	193	4	63	91	62	90	86	36	27	12
gene-LOC106785195	LOC106785195	85	9	6	22	29	27	28	38	3	5
gene-LOC106785192	LOC106785192	2075	1114	2067	1554	1758	2256	2001	928	958	1068
gene-LOC106785196	LOC106785196	84	308	142	120	118	143	100	295	319	414
gene-LOC106785183	LOC106785183	3173	1718	2724	3021	3566	3571	3725	1743	1790	2003
gene-LOC106785179	LOC106785179	311	469	366	374	344	344	258	412	433	468
gene-LOC106785182	LOC106785182	295	143	297	235	309	386	344	165	189	169
gene-LOC106785184	LOC106785184	125	97	161	126	132	170	127	108	78	88
gene-LOC106785181	LOC106785181	15389	1708	1027	1509	9777	7490	6959	5567	2901	4656
gene-LOC106785180	LOC106785180	159	100	119	111	127	137	121	103	85	117
gene-LOC106785239	LOC106785239	1036	364	1390	855	1119	1267	1019	442	453	576
gene-LOC106785258	LOC106785258	292	94	212	246	239	221	250	74	58	109
gene-LOC106785257	LOC106785257	4914	2712	3847	3311	4914	5134	4459	2102	2119	2878
gene-LOC106785261	LOC106785261	349	218	350	359	389	431	353	254	202	276
gene-LOC106785259	LOC106785259	7379	6315	7966	8527	7984	9278	5772	4416	5383	5313
gene-LOC106785262	LOC106785262	144	237	237	175	105	150	152	147	156	147
gene-LOC106785263	LOC106785263	1125	710	1213	814	668	1017	1140	598	561	460
gene-LOC106785264	LOC106785264	21	1	1	9	26	13	8	19	1	14
gene-LOC106785266	LOC106785266	282	195	54	145	391	357	173	296	119	199
gene-LOC106785265	LOC106785265	258	366	373	284	276	362	281	265	319	321
gene-LOC106785267	LOC106785267	874	535	1162	920	1018	1249	1103	496	482	602
gene-LOC106785276	LOC106785276	109	40	97	68	79	101	103	47	24	48
gene-LOC106785277	LOC106785277	186	91	240	188	213	232	189	148	108	177
gene-LOC106785242	LOC106785242	32835	11897	24262	19477	25619	32427	34477	12135	13062	14271
gene-LOC106785256	LOC106785256	1479	605	1561	1355	1478	1711	1629	693	673	736
gene-LOC106785255	LOC106785255	762	298	895	735	658	762	757	358	332	371
gene-LOC106785244	LOC106785244	302	588	575	410	484	497	198	886	602	805
gene-LOC106785250	LOC106785250	29	68	95	75	70	67	20	57	106	82
gene-LOC106785251	LOC106785251	3082	153	81	124	2673	724	473	1213	538	482
gene-LOC106785245	LOC106785245	11134	3025	3757	6559	8144	9344	6598	4886	3133	5892
gene-LOC106785247	LOC106785247	1882	1037	2786	1341	1439	2149	1517	882	739	831
gene-LOC106785248	LOC106785248	30	6	13	4	52	14	48	9	9	2
gene-LOC106785252	LOC106785252	5573	2822	7022	4813	5063	5933	5747	2369	2105	2509
gene-LOC106785253	LOC106785253	2	3	3	1	8	3	6	0	5	6
gene-LOC106785254	LOC106785254	266	104	272	208	220	257	218	109	100	138
gene-LOC106785275	LOC106785275	620	291	604	518	551	629	668	311	285	379
gene-LOC106785272	LOC106785272	2250	962	2293	2007	2113	2433	2400	995	971	1163
gene-LOC106785273	LOC106785273	86	62	161	109	131	118	88	73	68	80
gene-LOC106785274	LOC106785274	1096	640	688	701	1030	1132	1056	514	503	774
gene-LOC106785268	LOC106785268	5500	3168	7146	4874	4823	6335	5603	3153	2369	3002
gene-LOC106785279	LOC106785279	73	1	0	0	7	1	6	48	8	21
gene-LOC106785269	LOC106785269	647	390	1131	654	753	756	835	469	350	524
gene-LOC106785271	LOC106785271	283	155	294	239	263	290	206	187	148	198
gene-LOC106785243	LOC106785243	1829	417	1530	1010	1313	1168	1516	830	504	622
gene-LOC106785278	LOC106785278	540	44	10	10	298	108	160	312	273	291
gene-LOC106785353	LOC106785353	968	408	693	840	974	974	879	592	577	666
gene-LOC106785362	LOC106785362	66	26	50	33	100	96	95	14	30	26
gene-LOC106785361	LOC106785361	277	216	294	241	186	306	183	182	182	226
gene-LOC106785287	LOC106785287	240	173	229	203	283	258	289	179	165	211
gene-LOC106785304	LOC106785304	1456	872	970	1110	1420	1414	1461	806	798	898
gene-LOC106785301	LOC106785301	522	363	583	398	532	565	608	354	301	388
gene-LOC106785303	LOC106785303	1303	453	1762	1061	1181	1687	1314	427	500	606
gene-LOC106785302	LOC106785302	4311	8659	7747	6425	5236	6030	4553	4752	4270	5162
gene-LOC106785289	LOC106785289	405	178	559	472	449	522	376	308	261	323
gene-LOC106785350	LOC106785350	224	182	360	269	235	292	280	211	202	186
