Orthogroup	Apis_mellifera-longest-isoforms	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Megalopta_genalis-longest-isoforms
OG0000256	XP_006569827.1, XP_016769129.1, XP_016769130.1	Caust.v2_005072, Caust.v2_022602	XP_017887674.1, XP_017887675.1, XP_017887680.1, XP_026673093.1	XP_033337822.1, XP_033337825.1, XP_033337827.1
OG0000257	XP_006569922.2, XP_006569923.2, XP_026295588.1, XP_026295589.1, XP_392258.4	Caust.v2_001240, Caust.v2_002559	XP_017875909.1, XP_017878814.1	XP_033332739.1, XP_033332820.1, XP_033332903.1
OG0000258	XP_006570255.2, XP_016767780.2, XP_625160.3	Caust.v2_004532	XP_017886837.1, XP_017886842.1, XP_026672731.1, XP_026672732.1, XP_026672734.1, XP_026672735.1	XP_033326367.1, XP_033326369.1
OG0000259	XP_006570521.1, XP_006570528.1, XP_006570529.1, XP_016770188.1	Caust.v2_001409	XP_017878524.1, XP_017878525.1, XP_017878526.1, XP_026668660.1	XP_033342304.1, XP_033342316.1, XP_033342317.1
OG0000260	XP_006570613.1, XP_016768284.1	Caust.v2_012816, Caust.v2_017103	XP_017891089.1, XP_017891092.1, XP_026674826.1, XP_026674827.1, XP_026674828.1, XP_026674829.1, XP_026674830.1	XP_033320772.1
OG0000261	XP_006570944.1, XP_006570945.1, XP_016768085.1, XP_016768086.1, XP_016768087.1, XP_026297248.1, XP_026297249.1		XP_026672005.1	XP_033330511.1, XP_033330512.1, XP_033330513.1, XP_033330514.1
OG0000262	XP_006571410.1, XP_006571411.1, XP_006571412.1, XP_006571413.1, XP_006571414.1, XP_026299067.1	Caust.v2_008340, Caust.v2_019399	XP_017890795.1, XP_017890796.1, XP_017890797.1, XP_017890799.1	
OG0000263	XP_006571573.2, XP_016769000.2, XP_016769005.2, XP_016769015.2, XP_016769026.2, XP_016769028.2, XP_016769039.2		XP_017875950.1, XP_026667353.1, XP_026667354.1, XP_026667357.1	XP_033340192.1
OG0000264	XP_006571661.2, XP_006571662.2, XP_006571663.2, XP_006571665.2, XP_016768726.2, XP_392652.3	Caust.v2_010641	XP_017877982.1, XP_026668367.1, XP_026668368.1	XP_033326219.1, XP_033326220.1
OG0000265	XP_016766683.1, XP_026295392.1, XP_026295393.1, XP_026295394.1, XP_396821.3		XP_017882454.1, XP_017882455.1	XP_033326823.1, XP_033326833.1, XP_033326839.1, XP_033326846.1, XP_033326855.1
OG0000266	XP_016766701.1, XP_026295396.1, XP_026295397.1, XP_026295398.1, XP_026295403.1, XP_026295406.1, XP_026295408.1	Caust.v2_022401	XP_017882514.1, XP_026670583.1	XP_033329865.1, XP_033329866.1
OG0000267	XP_016767587.2, XP_016767588.2, XP_016767589.2, XP_016767590.2, XP_026296397.1	Caust.v2_003474	XP_017876219.1, XP_017876221.1, XP_017876222.1, XP_017876223.1	XP_033328198.1, XP_033328200.1
OG0000268	XP_016769201.1, XP_016769207.1, XP_026297910.1, XP_395849.4	Caust.v2_003625	XP_017885078.1, XP_026670292.1, XP_026670370.1, XP_026670457.1, XP_026670488.1	XP_033329296.1, XP_033329305.1
OG0000269	XP_016769367.1	Caust.v2_004819, Caust.v2_007511, Caust.v2_007512, Caust.v2_007514	XP_026672955.1	XP_033333347.1, XP_033333351.1, XP_033333356.1, XP_033333402.1, XP_033333661.1, XP_033333671.1
OG0000270	XP_016769813.2, XP_016769816.2, XP_016769819.2	Caust.v2_010460, Caust.v2_021088	XP_017879153.1, XP_026668870.1, XP_026668871.1, XP_026668872.1	XP_033320933.1, XP_033320936.1, XP_033320938.1
OG0000271	XP_016770061.1, XP_393148.4	Caust.v2_009116, Caust.v2_018354, Caust.v2_018823	XP_017886608.1, XP_017886609.1, XP_017886610.1, XP_017886611.1, XP_026672597.1	XP_033340983.1, XP_033340986.1
OG0000272	XP_016771018.1, XP_026300215.1, XP_393277.4	Caust.v2_013220, Caust.v2_019467	XP_017882570.1, XP_017882574.1, XP_026670622.1, XP_026670624.1, XP_026670625.1, XP_026670626.1	XP_033325087.1
OG0000273	XP_016771331.1, XP_026300589.1, XP_026300591.1, XP_026300593.1	Caust.v2_016051, Caust.v2_019736, Caust.v2_022212	XP_017876930.1	XP_033333891.1, XP_033333900.1, XP_033333908.1, XP_033333912.1
OG0000274	XP_026295437.1	Caust.v2_000570, Caust.v2_000576	XP_017875629.2, XP_017875631.2, XP_026667198.1, XP_026667199.1	XP_033333629.1, XP_033333631.1, XP_033333633.1, XP_033333635.1, XP_033333636.1
OG0000275	XP_026296228.1	Caust.v2_010711	XP_026666721.1, XP_026666731.1, XP_026666732.1, XP_026666733.1, XP_026666739.1, XP_026666741.1, XP_026666742.1, XP_026666743.1	XP_033326464.1, XP_033326469.1
OG0000276	XP_026296758.1, XP_026296762.1		XP_017891331.1, XP_017891332.1, XP_017891333.1, XP_017891334.1, XP_017891335.1, XP_017891336.1, XP_017891338.1, XP_026674896.1	XP_033327814.1, XP_033327825.1
OG0000277	XP_026296979.1, XP_026296981.1, XP_026296982.1, XP_026296986.1, XP_026296987.1, XP_026296988.1	Caust.v2_019962, Caust.v2_022045	XP_026670049.1	XP_033329158.1, XP_033329159.1, XP_033329161.1
OG0000278	XP_026297848.1, XP_026297849.1, XP_026297851.1, XP_026297852.1	Caust.v2_012076	XP_017875053.1, XP_017875059.1, XP_017875067.1, XP_017875076.1, XP_026666585.1	XP_033325885.1, XP_033325890.1
OG0000279	XP_026299033.1, XP_026299035.1, XP_026299036.1, XP_026299037.1, XP_026299038.1	Caust.v2_005018	XP_017891872.1, XP_026675197.1, XP_026675198.1	XP_033331500.1, XP_033331501.1, XP_033331505.1
OG0000280	XP_026299184.1, XP_026299247.1	Caust.v2_007147	XP_017891935.1, XP_017891938.1, XP_017891939.1, XP_026675181.1, XP_026675182.1, XP_026675183.1, XP_026675184.1, XP_026675185.1	XP_033331456.1
OG0000281	XP_026301059.1, XP_026301061.1, XP_026301064.1, XP_026301065.1, XP_026301071.1, XP_026301081.1, XP_026301083.1, XP_026301087.1	Caust.v2_016538	XP_017881271.1	XP_033341510.1, XP_033341515.1
OG0000282	XP_026302199.1, XP_026302200.1, XP_026302201.1, XP_026302206.1	Caust.v2_003796, Caust.v2_019675	XP_017890981.1, XP_017890990.1, XP_017890998.1, XP_017891012.1	XP_033338227.1, XP_033338229.1
OG0000283	NP_001014983.1, XP_006561567.2, XP_006561568.2, XP_006561569.2, XP_006561570.2	Caust.v2_006617, Caust.v2_006620	XP_017881752.1, XP_017881772.1	XP_033339150.1, XP_033339243.1
OG0000284	NP_001159378.1, XP_026300661.1, XP_026300662.1, XP_026300664.1	Caust.v2_004883, Caust.v2_004900, Caust.v2_019317, Caust.v2_020967	XP_017885012.1, XP_026671675.1	XP_033336473.1
OG0000285	NP_001177977.2, XP_026296891.1, XP_026296893.1, XP_026296894.1, XP_026296895.1, XP_026296898.1, XP_026296899.1	Caust.v2_008281	XP_017890860.1, XP_017890861.1, XP_017890862.1	
OG0000286	NP_001229365.1, NP_001229366.1, XP_026296324.1, XP_026296326.1	Caust.v2_003417	XP_017891807.1, XP_017891808.1	XP_033337185.1, XP_033337186.1, XP_033337187.1, XP_033337188.1
OG0000287	NP_001229444.1, NP_001229445.1, XP_026296315.1, XP_026296316.1	Caust.v2_003460	XP_017887341.1, XP_017887342.1, XP_017887344.1, XP_026672938.1, XP_026672939.1	XP_033328095.1
OG0000288	NP_001229913.1, XP_006563549.2, XP_016772002.2, XP_016772004.2	Caust.v2_021606	XP_017889350.1, XP_026674182.1, XP_026674208.1, XP_026674209.1	XP_033339803.1, XP_033339806.1
OG0000289	NP_001314880.1, XP_026302136.1, XP_026302139.1, XP_026302142.1	Caust.v2_005700	XP_026668921.1, XP_026668922.1, XP_026668923.1, XP_026668924.1	XP_033321553.1, XP_033321554.1
OG0000290	XP_001120194.1	Caust.v2_010194, Caust.v2_010198, Caust.v2_012953, Caust.v2_014340, Caust.v2_022351	XP_017883750.1, XP_017889879.1	XP_033323498.1, XP_033339724.1, XP_033339725.1
OG0000291	XP_001120613.2	Caust.v2_000174, Caust.v2_015672, Caust.v2_015673, Caust.v2_015674, Caust.v2_016206, Caust.v2_016207, Caust.v2_022008	XP_026667905.1	XP_033329817.1, XP_033339401.1
OG0000292	XP_001122053.2, XP_006557409.1, XP_016767497.1		XP_026668740.1, XP_026668741.1, XP_026668742.1, XP_026668743.1, XP_026668746.1, XP_026668747.1, XP_026668748.1	XP_033326803.1
OG0000293	XP_003251823.2, XP_006571924.2, XP_006571926.2	Caust.v2_002144	XP_017887315.1, XP_017887316.1, XP_017887317.1, XP_017887319.1	XP_033339029.1, XP_033339030.1, XP_033339034.1
OG0000294	XP_006557499.1, XP_006557500.1, XP_006557502.1, XP_026299404.1, XP_026299405.1	Caust.v2_013483	XP_017885221.1, XP_026671971.1, XP_026671972.1, XP_026671973.1	XP_033322951.1
OG0000295	XP_006557720.1	Caust.v2_016495	XP_017892919.1, XP_026666466.1, XP_026666468.1, XP_026666469.1, XP_026666470.1	XP_033330674.1, XP_033330675.1, XP_033330677.1, XP_033330678.1
OG0000296	XP_006557783.1, XP_006557784.1, XP_006557786.1, XP_006557790.1, XP_006557791.1, XP_026301723.1	Caust.v2_011259	XP_017893672.1, XP_017893674.1, XP_026666887.1	XP_033338810.1
OG0000297	XP_006558444.1, XP_006558445.1, XP_006558446.1, XP_006558447.1, XP_623442.2	Caust.v2_001823	XP_026672426.1, XP_026672428.1, XP_026672429.1, XP_026672430.1	XP_033321789.1
OG0000298	XP_006558459.1, XP_006558463.1, XP_006558464.1, XP_006558465.1		XP_017880731.1, XP_017880732.1, XP_017880737.1, XP_017880739.1, XP_026669660.1	XP_033326577.1, XP_033326593.1
OG0000299	XP_006558764.1, XP_006558765.1, XP_006558768.1, XP_006558769.1, XP_006558770.1, XP_016767337.1		XP_017885515.1, XP_017885520.1, XP_017885521.1, XP_026672163.1	XP_033336775.1
OG0000300	XP_006558995.1, XP_006558996.1, XP_006558997.1, XP_006558998.1, XP_026299787.1	Caust.v2_019260	XP_017880457.2, XP_017880459.2, XP_026669458.1, XP_026669459.1	XP_033328357.1
OG0000301	XP_006559060.2, XP_026299882.1	Caust.v2_003026, Caust.v2_003028, Caust.v2_014854, Caust.v2_021547	XP_017875082.1, XP_017875083.1, XP_026666919.1	XP_033332200.1, XP_033339982.1
OG0000302	XP_006559471.1, XP_006559472.1, XP_016772517.1, XP_623221.2	Caust.v2_003363	XP_017890686.1, XP_017890687.1, XP_026674610.1, XP_026674611.1	XP_033326289.1, XP_033335311.1
OG0000303	XP_006559510.2, XP_006559512.2, XP_006559513.2, XP_006559516.2, XP_016768821.2, XP_026298333.1, XP_026298334.1	Caust.v2_018632	XP_017882687.1, XP_017882688.1	XP_033332648.1
OG0000304	XP_006559878.1, XP_006559880.1, XP_006559881.1, XP_026297518.1		XP_017885560.1, XP_026672134.1, XP_026672136.1	XP_033333214.1, XP_033333216.1, XP_033333217.1, XP_033333218.1
OG0000305	XP_006560038.1, XP_006560039.1, XP_006560041.1, XP_006560042.1, XP_006560043.1, XP_392094.3	Caust.v2_006639	XP_017878174.1, XP_017878175.1, XP_026668399.1	XP_033322346.1
OG0000306	XP_006560976.2, XP_026295196.1, XP_026295197.1, XP_026295198.1	Caust.v2_000210	XP_017880593.1, XP_017880596.1, XP_017880597.1, XP_017880598.1, XP_017880599.1	XP_033321792.1
OG0000307	XP_006560996.1, XP_006560998.1, XP_006561001.1, XP_016766658.1		XP_017880821.1, XP_017880824.1, XP_017880827.1, XP_026669745.1, XP_026669746.1	XP_033321720.1, XP_033321722.1
OG0000308	XP_006561257.1, XP_006561258.1, XP_026299985.1		XP_017879892.1, XP_017888479.1, XP_017888482.1, XP_017888484.1, XP_017888485.1, XP_017888486.1, XP_017888487.1	XP_033335388.1
OG0000309	XP_006561312.1, XP_006561314.2, XP_026297235.1		XP_017889663.1, XP_017889666.1, XP_017889667.1, XP_026674130.1, XP_026674132.1, XP_026674134.1	XP_033322781.1, XP_033322782.1
OG0000310	XP_006562827.2, XP_006562828.2, XP_006562829.2, XP_016771610.2, XP_016771619.2, XP_016771626.2	Caust.v2_020306	XP_017882684.1, XP_026670671.1	XP_033326100.1, XP_033326106.1
OG0000311	XP_006563335.1, XP_016768156.1, XP_016768157.1, XP_016768159.1, XP_397542.4	Caust.v2_015064	XP_017890921.1, XP_017890922.1, XP_017890923.1	XP_033322880.1, XP_033322881.1
OG0000312	XP_006564600.1, XP_026297955.1, XP_026297956.1	Caust.v2_013553, Caust.v2_017639	XP_017892969.1, XP_017892970.1, XP_017892971.1, XP_017892972.1	XP_033337321.1, XP_033337326.1
OG0000313	XP_006564642.1, XP_006564643.1, XP_006564644.1, XP_006564645.1, XP_006564646.1, XP_006564647.1, XP_006564648.1, XP_006564650.1, XP_006564651.1	Caust.v2_010749		XP_033337436.1
OG0000314	XP_006566143.2, XP_006566149.2, XP_006566150.2, XP_016770091.2	Caust.v2_008003	XP_017882107.1, XP_026670453.1, XP_026670455.1	XP_033331429.1, XP_033331432.1, XP_033331433.1
OG0000315	XP_006566821.3, XP_016770452.2	Caust.v2_014790, Caust.v2_021805, Caust.v2_022282	XP_017879061.1, XP_017879062.1, XP_017879063.1, XP_017879064.1	XP_033335095.1, XP_033335097.1
OG0000316	XP_006567324.2, XP_016767122.2, XP_394491.6	Caust.v2_015122, Caust.v2_015128	XP_017878769.1, XP_026668698.1, XP_026668699.1	XP_033333830.1, XP_033333832.1, XP_033333841.1
OG0000317	XP_006567342.1, XP_006567344.1, XP_006567345.1	Caust.v2_012902, Caust.v2_012909	XP_017885750.1, XP_026674482.1, XP_026674491.1, XP_026674496.1, XP_026674500.1	XP_033341957.1
OG0000318	XP_006567931.2, XP_026296719.1	Caust.v2_005048	XP_017891580.1, XP_017891581.1, XP_017891582.1, XP_017891583.1	XP_033328188.1, XP_033337108.1, XP_033337109.1, XP_033337110.1
OG0000319	XP_006569380.2, XP_006569387.2, XP_006569388.2, XP_016767271.2, XP_016767272.2, XP_016767274.2	Caust.v2_007239	XP_017877958.1, XP_026668382.1	XP_033327075.1, XP_033327082.1
OG0000320	XP_006569528.1, XP_016768632.1, XP_016768633.1	Caust.v2_015244, Caust.v2_018972	XP_017887885.1, XP_017887886.1, XP_026673252.1, XP_026673253.1	XP_033340223.1, XP_033340224.1
OG0000321	XP_006569684.1, XP_006569687.1, XP_006569694.1, XP_016767864.1	Caust.v2_008490	XP_017885871.1, XP_017885872.1, XP_017885873.1, XP_017885874.1, XP_017885877.1	XP_033341085.1
OG0000322	XP_006570749.1, XP_006570750.1, XP_623158.2		XP_017884536.1, XP_017884538.1, XP_017884539.1, XP_017884540.1, XP_017884541.1, XP_017884543.1	XP_033329139.1, XP_033329140.1
OG0000323	XP_006571006.1, XP_006571012.1, XP_006571013.1, XP_006571014.1, XP_006571015.1	Caust.v2_020057		XP_033323554.1, XP_033323639.1, XP_033323888.1, XP_033324044.1, XP_033324215.1
OG0000324	XP_006571061.2, XP_016769240.2, XP_397003.5	Caust.v2_017222	XP_017875294.1, XP_026667052.1, XP_026667053.1, XP_026667054.1, XP_026667055.1, XP_026667056.1	XP_033328992.1
OG0000325	XP_006571083.1, XP_016770421.1, XP_026301886.1, XP_026301887.1	Caust.v2_010520	XP_017875693.1, XP_017875702.1, XP_026667191.1	XP_033326228.1, XP_033326235.1, XP_033326236.1
OG0000326	XP_006571303.2, XP_016771838.2, XP_016771847.2, XP_016771860.2, XP_016771863.2	Caust.v2_010530	XP_017875418.1, XP_017875436.1, XP_026667347.1, XP_026667361.1	XP_033328921.1
OG0000327	XP_006572216.1, XP_006572222.1, XP_006572223.1, XP_026297440.1, XP_026297441.1	Caust.v2_004864, Caust.v2_018692, Caust.v2_021106	XP_026671952.1	XP_033340472.1, XP_033340475.1
OG0000328	XP_006572335.2, XP_006572336.2, XP_006572337.2, XP_006572338.2	Caust.v2_002027	XP_017881196.1, XP_017881197.1	XP_033321934.1, XP_033321935.1, XP_033321936.1, XP_033321937.1
OG0000329	XP_016767355.2	Caust.v2_009215, Caust.v2_013442, Caust.v2_016352, Caust.v2_018732, Caust.v2_021495	XP_017890725.1, XP_026670924.1	XP_033328680.1, XP_033328812.1, XP_033333018.1
OG0000330	XP_016768222.2, XP_016768223.2, XP_026297348.1, XP_026297349.1, XP_026297354.1	Caust.v2_013632	XP_017888541.1, XP_026673557.1	XP_033329715.1, XP_033329716.1, XP_033329720.1
OG0000331	XP_016768275.1, XP_026297355.1, XP_026297356.1	Caust.v2_012318	XP_017889047.1, XP_017889048.1, XP_017889052.1, XP_017889053.1, XP_017889054.1	XP_033322829.1, XP_033322830.1
OG0000332	XP_016769305.2	Caust.v2_002225, Caust.v2_013546, Caust.v2_017968, Caust.v2_018320, Caust.v2_018322, Caust.v2_020987, Caust.v2_021040	XP_017886302.1, XP_017886304.1, XP_026672555.1	
OG0000333	XP_016770111.1	Caust.v2_014373	XP_017887863.1, XP_017887864.1, XP_026673240.1	XP_033330751.1, XP_033330759.1, XP_033330765.1, XP_033330770.1, XP_033330797.1, XP_033330812.1
OG0000334	XP_016770383.1		XP_017881426.1, XP_017881428.1, XP_017881431.1, XP_026669999.1, XP_026670000.1, XP_026670001.1, XP_026670002.1	XP_033329723.1, XP_033329731.1, XP_033329738.1
OG0000335	XP_016771242.1, XP_016771244.2, XP_026300361.1	Caust.v2_009057	XP_017891929.1, XP_017891931.1, XP_017891934.1, XP_026675275.1	XP_033334477.1, XP_033334485.1, XP_033334492.1
OG0000336	XP_016771512.2, XP_016771514.2, XP_392015.3	Caust.v2_016781, Caust.v2_016786, Caust.v2_021599	XP_017875447.1, XP_026667131.1, XP_026667134.1, XP_026667137.1	XP_033336268.1
OG0000337	XP_016772317.2, XP_026301135.1, XP_026301137.1, XP_026301138.1	Caust.v2_004658, Caust.v2_006739, Caust.v2_021544	XP_017889730.1, XP_026674073.1	XP_033341652.1, XP_033341657.1
OG0000338	XP_016772330.2, XP_026301146.1, XP_026301149.1, XP_026301150.1, XP_026301151.1	Caust.v2_002351	XP_017878276.1, XP_017878277.1, XP_026668480.1	XP_033324608.1, XP_033324609.1
OG0000339	XP_016772954.2, XP_016772956.2, XP_016772957.2, XP_016772958.2, XP_016772959.2, XP_016772960.2, XP_026297200.1, XP_625055.4	Caust.v2_005316	XP_026673778.1	XP_033333805.1
OG0000340	XP_016773222.2, XP_026298377.1, XP_392119.3	Caust.v2_007418	XP_017888284.1, XP_017888285.1, XP_026673431.1, XP_026673432.1, XP_026673433.1, XP_026673434.1	XP_033341421.1
OG0000341	XP_026294834.1, XP_026294835.1	Caust.v2_004952, Caust.v2_004953, Caust.v2_004954, Caust.v2_004955, Caust.v2_020211, Caust.v2_020212	XP_017882995.2, XP_026670829.1	XP_033337649.1
OG0000342	XP_026295420.1	Caust.v2_002566	XP_017875887.1	XP_033327666.1, XP_033327674.1, XP_033327680.1, XP_033327689.1, XP_033327699.1, XP_033327708.1, XP_033327713.1, XP_033327722.1
OG0000343	XP_026295467.1, XP_026295468.1, XP_026295469.1, XP_026295471.1, XP_026295472.1, XP_026295475.1	Caust.v2_005374	XP_017887095.1, XP_026672897.1	XP_033321884.1, XP_033321890.1
OG0000344	XP_026295670.1, XP_026295671.1, XP_026295673.1		XP_017893532.1, XP_026666712.1, XP_026666713.1, XP_026666714.1, XP_026666715.1, XP_026666716.1	XP_033321815.1, XP_033321821.1
OG0000345	XP_026295940.1		XP_026675050.1, XP_026675051.1, XP_026675053.1, XP_026675054.1, XP_026675055.1, XP_026675057.1, XP_026675058.1	XP_033336906.1, XP_033336909.1, XP_033337090.1
OG0000346	XP_026296037.1, XP_026296038.1, XP_026296039.1, XP_026296040.1	Caust.v2_004417	XP_017885797.1, XP_017885798.1, XP_017885799.1, XP_026672264.1	XP_033329789.1, XP_033329793.1
OG0000347	XP_026296778.1, XP_026296779.1	Caust.v2_014734	XP_017878279.1, XP_017878286.1, XP_017878316.1, XP_026668272.1, XP_026668275.1, XP_026668284.1	XP_033339666.1, XP_033339670.1
OG0000348	XP_026296841.1	Caust.v2_006527, Caust.v2_006528, Caust.v2_020032, Caust.v2_020683	XP_017891585.1, XP_017891586.1, XP_026675015.1, XP_026675016.1	XP_033328164.1, XP_033328165.1
OG0000349	XP_026297631.1, XP_026297635.1, XP_026297636.1, XP_026297638.1	Caust.v2_020612	XP_017881447.1, XP_017882259.1, XP_026670215.1, XP_026670248.1	XP_033329368.1, XP_033329373.1
OG0000350	XP_026297653.1, XP_026297657.1	Caust.v2_013437	XP_017883256.1, XP_017883257.1	XP_033333240.1, XP_033333241.1, XP_033333242.1, XP_033333244.1, XP_033333245.1, XP_033333250.1
OG0000351	XP_026297660.1, XP_026297662.1, XP_026297663.1	Caust.v2_013318	XP_017887947.1, XP_017887948.1, XP_017887949.1, XP_017887951.1, XP_017887952.1	XP_033331926.1, XP_033331939.1
OG0000352	XP_026297882.1, XP_026297883.1, XP_026297887.1, XP_026297888.1, XP_026297889.1	Caust.v2_012468, Caust.v2_012469, Caust.v2_019493	XP_017878880.1, XP_026668766.1	XP_033323280.1
OG0000353	XP_026298321.1, XP_026298326.1	Caust.v2_011573	XP_017891072.1, XP_017891075.1, XP_017891076.1, XP_017891077.1, XP_017891078.1, XP_026674784.1, XP_026674785.1	XP_033339311.1
OG0000354	XP_026298405.1, XP_026298407.1, XP_026298409.1, XP_026298413.1	Caust.v2_005477	XP_017888266.1, XP_017888268.1, XP_017888269.1, XP_017888270.1, XP_017888272.1	XP_033341396.1
OG0000355	XP_026298643.1, XP_026298645.1, XP_026298650.1, XP_026298651.1, XP_026298652.1	Caust.v2_000537	XP_017881320.1, XP_026669899.1, XP_026669900.1	XP_033321157.1, XP_033321158.1
OG0000356	XP_026298775.1, XP_026298777.1, XP_026298779.1, XP_026298782.1, XP_026298784.1, XP_026298787.1	Caust.v2_011291	XP_017889275.1	XP_033327908.1, XP_033327916.1, XP_033327917.1
OG0000357	XP_026299833.1, XP_026299835.1, XP_026299836.1, XP_026299837.1, XP_026299839.1, XP_026299840.1, XP_026299841.1	Caust.v2_017167	XP_017875093.1, XP_017875094.1, XP_017875095.1	
OG0000358	XP_026299956.1, XP_026299957.1	Caust.v2_005835, Caust.v2_018769, Caust.v2_020137, Caust.v2_021797	XP_026672623.1	XP_033331353.1, XP_033331354.1, XP_033331356.1, XP_033331357.1
OG0000359	XP_026300029.1, XP_026300031.1, XP_026300033.1, XP_026300034.1, XP_026300035.1	Caust.v2_006446	XP_026672626.1, XP_026672627.1, XP_026672629.1, XP_026672631.1	XP_033338514.1
OG0000360	XP_026300603.1, XP_026300604.1, XP_026300605.1, XP_026300606.1, XP_026300608.1, XP_026300609.1, XP_026300610.1, XP_026300611.1	Caust.v2_001253	XP_026672569.1	XP_033328616.1
OG0000361	XP_026300939.1, XP_026300940.1, XP_026300941.1, XP_392006.3	Caust.v2_011210, Caust.v2_011213	XP_026675311.1, XP_026675312.1, XP_026675314.1	XP_033336246.1, XP_033336247.1
OG0000362	XP_026300943.1, XP_026300944.1, XP_026300945.1, XP_026300946.1	Caust.v2_007860	XP_017884765.1, XP_026671714.1, XP_026671715.1, XP_026671716.1, XP_026671718.1	XP_033335868.1
OG0000363	XP_026300988.1, XP_026300990.1	Caust.v2_008953, Caust.v2_018442, Caust.v2_018443	XP_017887179.1, XP_026672901.1	XP_033323935.1, XP_033323936.1, XP_033323937.1, XP_033323938.1
OG0000364	XP_026301419.1, XP_026301420.1	Caust.v2_004700, Caust.v2_004701	XP_017892567.1, XP_017892568.1, XP_017892569.1, XP_017892570.1, XP_017892571.1, XP_026675508.1	XP_033327659.1
OG0000365	XP_026301963.1, XP_026301966.1	Caust.v2_011627, Caust.v2_011740	XP_017877053.1, XP_017877054.1, XP_017877058.1, XP_026667879.1, XP_026667883.1	XP_033341292.1, XP_033341294.1
OG0000366	XP_026302246.1	Caust.v2_006624, Caust.v2_006988, Caust.v2_021130, Caust.v2_021144	XP_017881717.1, XP_017881726.1, XP_026669762.1	XP_033339161.1, XP_033339162.1, XP_033339480.1
OG0000367	XP_026302259.1, XP_026302261.1, XP_026302262.1	Caust.v2_014944, Caust.v2_016994, Caust.v2_021235	XP_026675624.1, XP_026675626.1	XP_033323682.1, XP_033323684.1, XP_033323685.1
OG0000368		Caust.v2_009280, Caust.v2_009281, Caust.v2_015698, Caust.v2_020363	XP_017889701.1, XP_017889702.1	XP_033339844.1, XP_033340191.1, XP_033340605.1, XP_033340619.1, XP_033340632.1
OG0000369		Caust.v2_001608, Caust.v2_011241	XP_017882930.1, XP_017882931.1, XP_017882933.1	XP_033329912.1, XP_033335545.1, XP_033335549.1, XP_033335550.1, XP_033335551.1, XP_033341438.1
OG0000370		Caust.v2_006055	XP_017881585.1, XP_017881588.1, XP_026670064.1, XP_026670070.1, XP_026670071.1, XP_026670072.1, XP_026670073.1, XP_026670074.1	XP_033341194.1, XP_033341197.1
OG0000371		Caust.v2_013055, Caust.v2_016360, Caust.v2_017387, Caust.v2_019014, Caust.v2_019314, Caust.v2_019315, Caust.v2_020558, Caust.v2_022244, Caust.v2_022690	XP_017877003.1	XP_033330628.1
OG0000372		Caust.v2_018653	XP_017875795.1, XP_017876268.1, XP_017877688.1, XP_017885478.1, XP_017886196.1, XP_017888591.1, XP_017888671.1, XP_017889154.1, XP_017890417.1, XP_017890453.1	
OG0000373		Caust.v2_017518	XP_017885703.1, XP_017885706.1, XP_017885710.1, XP_026672212.1, XP_026672214.1, XP_026672215.1	XP_033321006.1, XP_033321007.1, XP_033321010.1, XP_033321011.1
OG0000374		Caust.v2_002958	XP_026671516.1, XP_026671523.1, XP_026671527.1, XP_026671529.1, XP_026671536.1, XP_026671541.1, XP_026671546.1, XP_026671560.1, XP_026671565.1, XP_026671576.1	
OG0000375		Caust.v2_017399, Caust.v2_019088, Caust.v2_020923	XP_017884135.1, XP_017884138.1, XP_017884141.1, XP_017884145.1, XP_026671383.1, XP_026671384.1	XP_033330028.1, XP_033330029.1
OG0000376			XP_017887013.1, XP_017887019.1, XP_017887020.1, XP_026672844.1, XP_026672845.1, XP_026672848.1, XP_026672850.1, XP_026672855.1, XP_026672857.1, XP_026672858.1	XP_033321919.1
OG0000377			XP_026667334.1	XP_033324691.1, XP_033324779.1, XP_033324863.1, XP_033324945.1, XP_033325291.1, XP_033325442.1, XP_033325520.1, XP_033325603.1, XP_033325760.1, XP_033325837.1
OG0000378				XP_033329028.1, XP_033329042.1, XP_033329043.1, XP_033329044.1, XP_033329055.1, XP_033329056.1, XP_033338704.1, XP_033338705.1, XP_033338706.1, XP_033338707.1, XP_033338713.1
OG0000379	NP_001011568.1, XP_016768775.2, XP_026297796.1, XP_026297797.1, XP_026297802.1	Caust.v2_009876	XP_017885483.1, XP_017885484.1	XP_033333128.1, XP_033333136.1
OG0000380	NP_001011577.1, XP_006567060.1, XP_006567063.1, XP_006567065.1	Caust.v2_007250	XP_017877911.1, XP_017877913.1, XP_017878059.1	XP_033327212.1, XP_033327213.1
OG0000381	NP_001011603.1, XP_006559243.1, XP_006559245.1, XP_026301801.1	Caust.v2_006009	XP_017877075.2	XP_033323613.1, XP_033323614.1, XP_033323615.1, XP_033324627.1
OG0000382	NP_001011608.1		XP_017886527.1, XP_017886530.1, XP_026672577.1, XP_026672581.1, XP_026672582.1, XP_026672583.1, XP_026672584.1	XP_033323555.1, XP_033323567.1
OG0000383	NP_001035320.1, XP_016770282.2, XP_393751.2	Caust.v2_014600	XP_017887444.1, XP_026673014.1	XP_033327390.1, XP_033334748.1, XP_033334749.1, XP_033334751.1
